Time,accX,accY,accZ
1583284953762,0.04748267,0.25079754,9.999441
1583284953813,0.10341455,0.23296702,9.952894
1583284953862,0.062831156,0.24815868,9.977537
1583284953912,0.08538471,0.23903504,9.95368
1583284953962,0.11299301,0.2482264,9.967635
1583284954013,0.06200637,0.23824413,9.963481
1583284954062,0.092960976,0.25149098,9.96475
1583284954112,0.07103792,0.23286161,9.955185
1583284954163,0.09684962,0.25091323,9.956347
1583284954212,0.07690255,0.2469205,9.959283
1583284954263,0.08775011,0.25660402,9.960857
1583284954313,0.08943668,0.24352294,9.944116
1583284954363,0.090817206,0.24409178,9.955854
1583284954413,0.07883548,0.24525134,9.965191
1583284954462,0.101373196,0.257523,9.960917
1583284954513,0.074418284,0.24780862,9.975171
1583284954563,0.08391537,0.23189507,9.970104
1583284954613,0.08418269,0.249316,9.973775
1583284954663,0.081586644,0.23424743,9.954377
1583284954713,0.077626444,0.24372828,9.972263
1583284954762,0.08165482,0.25015837,9.983374
1583284954812,0.08595956,0.22723615,9.953444
1583284954863,0.080367625,0.23696662,9.958102
1583284954913,0.084312044,0.26305118,9.98238
1583284954963,0.07111188,0.23417246,9.961052
1583284955012,0.099603474,0.2365863,9.94805
1583284955062,0.07880457,0.24474163,9.963063
1583284955113,0.09825121,0.2421295,9.968678
1583284955162,0.09435041,0.244525,9.961951
1583284955213,0.08436072,0.24335495,9.957079
1583284955263,0.066161126,0.24035247,9.967253
1583284955312,0.08911241,0.2349661,9.952071
1583284955362,0.087487034,0.244525,9.967521
1583284955412,0.077296,0.23610225,9.951868
1583284955462,0.08840797,0.23124748,9.971192
1583284955512,0.08700074,0.24884789,9.964536
1583284955562,0.06839097,0.23966028,9.968037
1583284955612,0.09100835,0.23788849,9.960342
1583284955663,0.061487123,0.254107,9.981507
1583284955712,0.07937078,0.24228437,9.947567
1583284955763,0.08265106,0.24375938,9.954736
1583284955812,0.080919966,0.24821559,9.966385
1583284955862,0.079076245,0.239734,9.95079
1583284955913,0.07968678,0.22775336,9.963902
1583284955963,0.08508204,0.24001393,9.9558525
1583284956012,0.08443113,0.25971225,9.976685
1583284956062,0.08390133,0.23368783,9.953781
1583284956112,0.08409917,0.25631633,9.966291
1583284956163,0.06567748,0.2419445,9.960063
1583284956213,0.0771747,0.24621913,9.950813
1583284956262,0.061873533,0.24720538,9.991004
1583284956312,0.11164842,0.22353607,9.938653
1583284956363,0.06323138,0.24348694,9.974873
1583284956412,0.08810413,0.24306214,9.962873
1583284956462,0.06765871,0.22647938,9.959028
1583284956512,0.086867,0.24707635,9.986719
1583284956563,0.077272505,0.24759957,9.958124
1583284956613,0.06884262,0.24250937,9.964466
1583284956662,0.095376804,0.24502039,9.990949
1583284956713,0.09031383,0.23711447,9.956523
1583284956762,0.07730025,0.23974162,9.95843
1583284956812,0.094900295,0.24456123,9.957594
1583284956862,0.058865506,0.24654825,9.96798
1583284956913,0.10232057,0.24937384,9.980029
1583284956962,0.077554986,0.22393253,9.939573
1583284957013,0.0690639,0.2564468,9.9788475
1583284957062,0.11146439,0.22823253,9.9324665
1583284957113,0.0748895,0.23674496,9.958316
1583284957163,0.07961505,0.26204836,9.993663
1583284957212,0.07531259,0.23779021,9.959353
1583284957263,0.08933614,0.22979571,9.946342
1583284957312,0.07510379,0.26115593,9.984575
1583284957362,0.08878857,0.20523621,9.900702
1583284957412,0.09510212,0.26138628,9.991929
1583284957463,0.033559542,0.26811492,9.991237
1583284957512,0.10253206,0.20236985,9.929223
1583284957563,0.08988486,0.2482996,9.976426
1583284957613,0.057368424,0.24808295,9.97615
1583284957663,0.12735997,0.21944064,9.935957
1583284957712,0.068643056,0.26019597,9.98941
1583284957762,0.077923104,0.234943,9.962395
1583284957813,0.092745915,0.24699372,9.967166
1583284957862,0.06515859,0.23930426,9.931073
1583284957912,0.07565388,0.2395152,9.98647
1583284957963,0.092138276,0.23137318,9.953704
1583284958012,0.059828833,0.2537745,9.973184
1583284958062,0.09895163,0.23525922,9.943923
1583284958112,0.06960696,0.2567327,9.975911
1583284958162,0.072695546,0.23871534,9.96526
1583284958213,0.09178595,0.24748442,9.966893
1583284958262,0.045388613,0.24558714,9.993376
1583284958312,0.11447947,0.23131122,9.937531
1583284958362,0.078457296,0.24831364,9.974569
1583284958413,0.102318436,0.22436653,9.942739
1583284958463,0.06479333,0.2599468,9.976069
1583284958512,0.07267322,0.2482533,9.99012
