Time,accX,accY,accZ
1583283568487,17.570704,8.298719,14.500199
1583283568538,14.740149,23.4179,17.084826
1583283568588,10.244786,29.49704,17.512978
1583283568638,10.054359,22.778233,11.881775
1583283568688,13.64115,9.933825,8.349116
1583283568738,19.115587,2.1348143,8.426464
1583283568787,24.065903,-4.5120006,8.438663
1583283568837,24.65896,-14.657633,10.131218
1583283568888,16.790497,-29.434357,10.937407
1583283568937,-2.828145,-40.54243,6.55602
1583283568988,-15.483852,-36.609146,3.2071252
1583283569037,3.2873826,-26.800293,4.1593003
1583283569087,20.034801,-18.246006,6.434177
1583283569137,22.873945,-10.889056,9.439461
1583283569188,21.989681,-3.8422003,11.758012
1583283569237,18.83705,7.878708,15.149633
1583283569287,13.311424,21.921331,17.041483
1583283569337,9.095568,28.695446,17.031559
1583283569388,10.2914505,24.158422,13.822635
1583283569437,14.312228,13.214757,9.585755
1583283569488,19.973194,4.882128,8.194286
1583283569537,26.881891,-1.4422145,7.448318
1583283569588,33.42447,-11.352328,7.8012233
1583283569637,26.77146,-27.27819,10.923765
1583283569687,2.794468,-42.37961,8.292453
1583283569737,-15.590088,-42.79629,4.5289087
1583283569788,0.5827656,-30.115116,6.7958603
1583283569837,23.946222,-19.4894,7.016876
1583283569888,27.625292,-11.894457,9.19369
1583283569937,24.946522,-5.61406,10.282745
1583283569988,19.327538,2.0049362,12.693167
1583283570037,17.378777,15.538171,16.361055
1583283570087,12.285182,28.355581,17.44288
1583283570138,9.984301,28.291182,15.840309
1583283570187,12.439175,17.509565,11.384801
1583283570238,17.174425,8.257357,8.993305
1583283570288,25.019495,1.6455121,8.429269
1583283570338,31.685736,-6.614712,8.845408
1583283570387,32.51035,-16.316254,12.8101015
1583283570438,18.321278,-32.969765,11.152432
1583283570487,-7.106524,-41.3319,5.386984
1583283570538,-14.788349,-34.679104,3.880951
1583283570588,4.3255377,-24.106867,6.648859
1583283570638,21.473642,-17.034765,7.1945267
1583283570688,24.670456,-9.885466,9.350112
1583283570738,23.462135,-4.7670484,10.424056
1583283570787,18.476667,-1.4414433,10.985548
1583283570837,17.105423,5.9801316,14.225864
1583283570887,11.953591,9.014823,14.7132845
1583283570938,7.2377396,9.975043,13.384996
1583283570988,4.589312,4.58242,9.363108
1583283571038,-0.9750016,-4.941556,5.3411126
1583283571088,-4.410315,-7.0025387,4.534733
1583283571138,-2.938136,-8.492369,8.213364
1583283571187,1.5186442,-11.386427,8.46348
1583283571237,2.6580615,-12.214041,4.964593
1583283571287,0.561301,-7.291582,1.8496158
1583283571337,5.5952716,-9.157059,1.0466298
1583283571388,7.4650216,-20.26365,-0.55985373
1583283571438,6.382176,-8.574547,7.846698
1583283571487,7.6463523,-3.2578819,6.917777
1583283571537,5.9255886,-5.6384535,6.2419543
1583283571588,3.7499702,-9.391634,5.175343
1583283571637,3.885995,-7.045122,3.8879275
1583283571687,4.248098,-7.5999665,2.368063
1583283571738,4.5874777,-8.047661,2.3243947
1583283571787,4.62501,-7.5385113,3.3124325
1583283571838,5.0333443,-7.518483,4.710719
1583283571888,5.521455,-6.9029255,6.3628583
1583283571937,5.6321445,-7.8519144,5.2109027
1583283571988,4.534859,-8.450726,2.659406
1583283572038,3.4351778,-6.5177474,3.5313659
1583283572088,3.4838657,-4.7851615,4.5801306
1583283572137,3.3779273,-4.4105916,4.1194997
1583283572187,5.965782,-9.293575,3.5750728
1583283572238,6.8102527,-11.818175,2.8208053
1583283572287,4.093526,-5.9852057,3.2673092
1583283572337,4.367987,-6.9396057,3.3173223
1583283572387,4.3377523,-8.857432,3.6167402
1583283572437,4.905069,-9.037854,2.3339279
