Time,accX,accY,accZ
1583283705863,7.127469,-2.7162337,-1.1037269
1583283705912,8.266654,-3.8573928,-1.0226948
1583283705962,10.295723,-4.641555,-0.5194831
1583283706012,10.700136,-5.047736,-0.41349074
1583283706062,12.146108,-6.4918923,0.6519767
1583283706112,11.288267,-6.4205594,0.78784096
1583283706162,8.376177,-5.1090155,1.1916462
1583283706212,7.55524,-5.7781563,1.0243442
1583283706263,7.03281,-5.631678,-0.42436522
1583283706313,6.8689003,-5.5837793,-1.5972672
1583283706362,7.7575536,-4.694657,-1.9813249
1583283706413,9.586462,-5.069486,-1.5979316
1583283706462,10.674163,-5.8044553,-1.9000725
1583283706513,13.497313,-5.589105,-2.1310704
1583283706562,14.886878,-6.283172,-3.4511366
1583283706613,10.571074,-4.579382,-3.2886243
1583283706662,10.901487,-3.470024,-2.0321422
1583283706713,11.293955,-3.5154428,-2.6610122
1583283706763,9.715531,-2.3602548,-1.9264555
1583283706813,8.540055,-1.6041267,-1.4238701
1583283706862,8.1440935,-1.8663316,-1.6974887
1583283706913,7.580328,-1.6449478,-1.9513698
1583283706963,8.091846,-1.333586,-2.184794
1583283707012,9.518839,-1.7369325,-2.2661328
1583283707062,9.790716,-2.1679409,-1.9547415
1583283707112,10.261224,-2.5781877,-1.2054206
1583283707163,8.7078495,-3.362421,-0.16983372
1583283707212,10.156061,-4.1081944,1.0926994
1583283707262,12.338827,-5.0553145,1.610059
1583283707313,11.354854,-5.094888,0.5950012
1583283707363,9.861551,-4.0622396,-0.024645388
1583283707412,10.319532,-3.458344,-0.38070217
1583283707462,10.006969,-3.643671,0.6516261
1583283707513,9.531528,-2.8582375,1.2681439
1583283707563,8.83709,-2.2092168,1.3117213
1583283707612,8.268406,-2.2091157,0.9343053
1583283707662,8.32451,-2.526911,-0.058187008
1583283707713,11.505732,-3.0930696,-1.5306592
1583283707762,17.08719,-4.72825,-4.082739
1583283707812,13.165698,-3.9594183,-4.41189
1583283707863,12.601482,-2.9363103,-3.3041403
1583283707912,12.86253,-2.6803167,-3.246915
1583283707963,12.669966,-1.851426,-2.373357
1583283708012,12.109256,-1.8330013,-1.5535424
1583283708063,10.964589,-1.412237,-1.8974745
1583283708113,9.177146,-1.2288077,-1.4120957
1583283708162,8.455341,-1.0042541,-0.738042
1583283708212,8.865998,-0.9101174,-0.029087111
1583283708263,8.159193,-0.6772026,0.5281586
1583283708313,8.541299,-2.3863192,1.0218911
1583283708362,7.0221796,-0.032622114,2.038865
1583283708412,13.578667,-3.2679684,1.922623
1583283708462,17.413134,-5.8727894,1.8036004
1583283708513,13.430143,-5.573048,0.53393734
1583283708563,9.36405,-2.8273666,0.2749091
1583283708612,9.596842,-3.530946,0.9890018
1583283708663,9.087456,-2.0750563,0.49904996
1583283708713,9.149868,-1.211049,0.08210083
1583283708762,10.675545,-1.3669034,-0.7419231
1583283708813,12.674461,-3.450039,-1.4706827
1583283708863,13.46213,-4.875893,-2.1595695
1583283708913,12.735838,-5.4746103,-1.6663296
1583283708962,12.922721,-4.5288463,-2.2609339
1583283709012,16.020456,-2.928843,-3.8660562
1583283709062,15.042193,-1.1424972,-3.8518693
1583283709112,13.178199,-0.6030463,-1.8849875
1583283709162,11.14839,-0.682694,-1.5242534
1583283709213,9.274682,-1.576318,-1.6665161
1583283709262,8.143508,-1.0564095,-1.1310632
1583283709312,7.683131,0.053364158,-0.74922156
1583283709362,7.2199073,0.20508866,0.20467938
1583283709413,5.6512384,0.011902809,-0.084839284
1583283709462,6.921703,-0.6690575,-0.69274753
1583283709513,10.369515,-1.7924469,-1.3093374
1583283709563,15.061231,-2.440673,-1.8851138
1583283709613,18.203678,-4.49126,-1.01742
1583283709663,13.35419,-5.450807,-0.9697349
1583283709712,10.583107,-4.252948,-0.30431038
1583283709762,11.972817,-3.6988919,-0.540649
1583283709812,11.614837,-4.388362,-0.5959101
1583283709863,10.361742,-4.794659,-0.1321613
1583283709912,10.205798,-4.7766657,-0.09563162
1583283709962,11.971435,-4.962701,-1.578046
1583283710013,15.800733,-4.7422924,-3.0048864
1583283710062,14.124313,-3.6173568,-2.3912563
1583283710113,13.830037,-2.7833467,-2.9049702
1583283710162,14.540247,-1.9716437,-3.5608897
