Time,accX,accY,accZ
1583282006569,-0.4185835,-3.4229856,9.25247
1583282006589,-0.4760755,-3.248114,9.01292
1583282006609,-0.555127,-3.03731,8.873981
1583282006628,-0.61741,-3.549947,9.000942
1583282006648,-0.296413,-3.3223746,8.696714
1583282006668,-0.219757,-3.5667155,8.682341
1583282006689,-0.5239855,-3.5427606,8.739833
1583282006708,-0.593455,-3.703259,9.149464
1583282006728,-0.262876,-3.3080015,9.041666
1583282006749,-0.119146,-2.951072,9.377036
1583282006768,0.4006775,-2.189303,9.355476
1583282006788,0.613877,-1.614383,9.283611
1583282006808,0.5348255,-1.8227915,9.786667
1583282006828,0.48452,-1.7221805,10.13641
1583282006848,0.3815135,-2.4408305,10.229834
1583282006868,0.1180085,-3.3463295,10.122037
1583282006888,0.0940535,-3.329561,10.246602
1583282006908,0.110822,-3.382262,10.28493
1583282006927,0.3383945,-2.630075,9.954351
1583282006948,0.096449,-2.519882,9.769898
1583282006967,-0.0400945,-2.6564255,9.662101
1583282006988,0.316835,-2.596538,9.468065
1583282007008,0.4437965,-2.792969,9.319544
1583282007027,0.1659185,-2.5606055,9.678869
1583282007047,0.2761115,-2.150975,9.652518
1583282007067,0.201851,-2.3498015,9.436923
1583282007087,-0.1311235,-2.610911,9.832181
1583282007108,0.1611275,-2.955863,9.820204
1583282007127,0.4150505,-3.109175,9.499207
1583282007147,0.2138285,-3.1642716,9.671682
1583282007167,0.091658,-2.8241105,9.403386
1583282007187,0.0030245,-2.955863,9.353081
1583282007207,-0.032908,-3.6577444,8.962614
1583282007227,-0.0353035,-3.7871015,8.979383
1583282007247,-0.258085,-3.109175,9.281216
1583282007266,-0.1311235,-3.1642716,8.481119
1583282007286,-0.0209305,-4.1080985,8.354157
1583282007306,-0.507217,-4.9369416,9.106344
1583282007327,-0.9408025,-5.0423436,9.357872
1583282007347,-0.5191945,-4.9752693,8.605685
1583282007366,-0.315577,-4.8554945,8.078675
1583282007387,-0.588664,-4.373999,8.253547
1583282007406,-0.7826995,-4.239851,8.665572
1583282007427,-1.249822,-3.2648826,8.974592
1583282007446,-0.4281655,-2.927117,7.748096
1583282007466,-0.344323,-7.162361,7.427099
1583282007486,-1.7313175,-5.590913,8.802116
1583282007506,-0.5814775,-5.0088067,8.152935
1583282007526,-0.363487,-4.881845,8.210427
1583282007546,-0.9216385,-4.2805743,8.998547
1583282007566,-0.3946285,-3.5140145,8.881167
1583282007585,-0.1838245,-3.593066,8.912309
1583282007606,-0.4760755,-3.8398025,9.048853
1583282007625,-0.531172,-3.789497,8.96501
1583282007646,-0.238921,-3.866153,8.754206
1583282007666,-0.013744,-3.6337895,8.957824
1583282007686,0.024584,-3.008564,8.984174
1583282007705,0.1755005,-2.9678404,8.05472
1583282007725,0.034166,-3.9212494,8.105025
1583282007745,-0.6772975,-4.0410247,9.101554
1583282007765,-0.3802555,-3.1594806,9.515975
1583282007785,0.8558225,-2.6612165,9.063226
1583282007805,0.6785555,-2.792969,7.7888193
1583282007825,0.6737645,-2.7905736,8.790138
1583282007845,0.8222855,-3.032519,9.518371
1583282007865,0.9276875,-3.506828,9.106344
1583282007885,0.3288125,-4.244642,9.161441
1583282007905,-0.066445,-4.8794494,9.199769
1583282007925,0.062912,-6.098759,9.808226
1583282007945,0.719279,-5.116604,8.440395
1583282007966,1.246289,-4.5344977,8.842839
1583282007985,1.054649,-4.225478,9.089576
1583282008005,0.949247,-5.3010573,9.343499
1583282008024,1.4690706,-6.96593,7.7409096
1583282008044,1.984103,-7.900175,8.133772
1583282008064,1.509794,-4.383581,8.332598
1583282008084,1.3013855,-4.7117643,8.361344
1583282008105,1.303781,-4.3955584,8.179286
1583282008124,0.680951,-3.066056,8.009206
1583282008144,0.513266,-2.7905736,7.4917774
1583282008164,0.6354365,-4.551266,7.752887
1583282008185,0.4150505,-5.81609,8.02837
1583282008204,0.5444075,-6.5515084,8.15054
1583282008224,0.910919,-7.7109303,8.097839
1583282008245,0.8031215,-8.37688,8.090652
1583282008264,0.7025105,-6.9922805,8.17689
1583282008284,0.7983305,-5.6939197,7.824752
1583282008304,0.8079125,-5.0183883,7.0007
1583282008324,0.954038,-6.2544665,6.7827096
1583282008344,0.8606135,-8.240336,7.6402984
1583282008364,0.791144,-7.9696445,7.451054
1583282008384,0.7408385,-7.0401907,6.7060537
1583282008404,0.8510315,-7.5576186,7.2666006
1583282008423,0.906128,-6.932393,6.938417
1583282008444,0.5204525,-6.4604797,6.5479503
1583282008464,0.412655,-6.0388713,7.0845423
1583282008484,0.082076,-6.2784214,7.3193016
1583282008507,0.4677515,-7.076123,7.139639
1583282008527,0.815099,-7.2222486,7.403144
1583282008547,0.302462,-6.3431,7.2570186
1583282008567,0.1850825,-5.916701,6.938417
1583282008587,0.2329925,-6.4700613,7.0510054
1583282008607,0.283298,-7.334837,6.9647675
1583282008626,0.412655,-6.9443703,7.0270505
1583282008647,-0.004162,-6.5706725,7.053401
1583282008667,-0.2604805,-6.961139,6.6006513
1583282008687,0.0557255,-7.612715,6.248513
1583282008706,0.187478,-6.7958493,6.8641567
1583282008726,-0.5862685,-6.079595,6.4760857
1583282008746,-0.3323455,-6.961139,6.219767
1583282008765,0.335999,-8.305015,5.7909727
1583282008787,0.1994555,-8.5493555,6.1359243
1583282009025,0.556385,-7.7971687,6.555137
1583282009045,0.9133145,-7.919339,6.670121
1583282009065,0.556385,-6.846155,5.414879
1583282009086,-0.071236,-8.54696,5.793368
1583282009105,-0.04249,-8.956591,5.70713
1583282009125,-0.2269435,-8.736204,3.3667264
1583282009161,-0.28904635,-8.755491,4.1910324
