Time,accX,accY,accZ
1583282568013,0.38059664,-4.6145344,8.722018
1583282568062,0.43807557,-4.6842117,8.832923
1583282568112,0.11446118,-2.3776445,9.437103
1583282568162,0.6740167,-5.7405286,7.9472213
1583282568213,0.25860083,-4.762747,8.577366
1583282568263,0.45623365,-5.100716,8.471081
1583282568312,0.42735276,-5.2187204,8.174527
1583282568362,0.14921445,-4.722397,8.635877
1583282568413,0.4690565,-5.10623,8.280351
1583282568462,0.13942587,-4.2696085,8.840154
1583282568512,0.47345433,-5.815264,7.9236712
1583282568563,0.2504701,-4.7151885,8.408852
1583282568612,0.2724427,-4.51533,8.909626
1583282568662,0.4846266,-4.584317,8.812939
1583282568712,0.43179885,-5.0098166,8.250933
1583282568762,0.2923857,-4.679757,8.475181
1583282568813,0.3647156,-4.3688345,8.736515
1583282568862,0.29228508,-4.8412037,8.645851
1583282568912,0.26271835,-4.5321794,8.774975
1583282568963,0.41494206,-4.358688,8.781737
1583282569012,0.3544717,-4.671521,8.658409
1583282569062,0.33440754,-4.676383,8.656136
1583282569112,0.33700135,-4.5717773,8.736316
1583282569163,0.411932,-4.6425204,8.910412
1583282569213,0.13243392,-4.7022347,8.316664
1583282569262,0.69887954,-3.978973,8.864055
1583282569312,0.0618726,-3.952463,8.890178
1583282569362,-0.09471291,-5.667466,8.185768
1583282569412,0.6780081,-3.8556776,9.10408
1583282569463,0.48122174,-4.977252,8.566406
1583282569512,0.07518515,-4.4971924,8.855328
1583282569562,0.24472605,-4.673493,8.464513
1583282569613,0.4991094,-3.8272448,8.795311
1583282569663,0.26575348,-3.9073038,8.876096
1583282569712,0.37427542,-4.7306232,8.899136
1583282569762,0.24094614,-4.281599,9.051354
1583282569812,0.39214897,-4.4351525,8.673929
1583282569863,0.56416494,-4.2266016,8.789015
1583282569913,0.14830375,-3.5759168,9.189246
1583282569962,0.091623455,-4.7316947,8.686237
1583282570013,0.2803473,-3.719665,9.054339
1583282570063,0.48599473,-3.8452451,8.606093
1583282570113,0.3173126,-4.313249,9.023147
1583282570163,0.14912523,-2.5949535,9.678207
1583282570213,0.02384048,-5.9397974,7.6076536
1583282570262,0.6124242,-7.348668,7.3934903
1583282570313,-0.07185143,-3.794566,9.035716
1583282570362,0.25766003,-5.844353,7.9627104
1583282570412,0.10148832,-5.351227,8.337656
1583282570463,0.20201369,-5.5004396,7.8755884
1583282570513,0.15610722,-4.0721183,8.805063
1583282570563,-0.10696696,-4.191778,9.216352
1583282570613,0.061440006,-4.146549,8.611399
1583282570663,0.3780004,-3.1818442,8.957457
1583282570712,0.16334447,-4.884307,8.477831
1583282570763,0.37038857,-3.5210917,9.5176525
1583282570812,0.045802116,-3.0253305,9.389491
1583282570863,-0.15152587,-3.7392037,8.958631
1583282570912,0.21227032,-3.798393,9.195458
1583282570962,0.2158643,-3.5276692,9.290931
1583282571012,0.24344133,-4.9613285,8.553498
1583282571063,0.41188926,-3.225569,9.573068
1583282571112,-0.25296667,-2.8937736,9.204604
1583282571163,0.030106664,-4.4849253,8.891637
1583282571213,0.7592875,-3.0102775,9.009815
1583282571263,0.4424309,-3.2150304,8.900567
1583282571312,0.24305385,-3.956471,9.277317
1583282571362,0.086046845,-4.6071396,8.677464
1583282571413,0.46641636,-3.6897526,9.25005
1583282571463,0.27195945,-3.7079659,9.05641
1583282571513,0.3050911,-4.328169,8.842076
1583282571563,0.27428097,-4.345609,8.863113
1583282571613,0.21536064,-4.406454,8.824307
1583282571662,0.22645524,-4.0707145,8.846545
1583282571712,0.41112977,-3.72949,9.203829
1583282571763,0.281986,-2.5074503,9.591155
1583282571812,0.009097919,-4.501502,8.497399
1583282571863,0.1470667,-7.5962763,6.7676945
1583282571912,0.19284442,-6.176115,7.648293
1583282571962,0.06629512,-4.5267267,8.576607
1583282572012,0.03665866,-5.215566,8.279846
1583282572062,0.23724173,-4.699635,8.768666
1583282572112,0.14846575,-4.966971,8.403008
1583282572162,0.39977756,-4.3199406,8.95015
1583282572213,0.32874817,-4.718231,8.8627
1583282572263,-0.18137807,-6.4422226,7.7940946
1583282572313,-0.04343161,-4.020747,8.445113
1583282572362,0.38637173,-3.072217,8.972478
1583282572412,0.17322902,-5.1150136,8.701384
1583282572462,0.22584549,-3.6246758,9.414952
1583282572513,0.018006839,-3.877163,8.914818
1583282572562,0.3494878,-4.662848,8.714485
1583282572613,0.47656852,-4.416386,8.717019
1583282572663,0.29126242,-3.8166013,8.985096
1583282572712,0.23659463,-4.6357512,8.839033
1583282572763,0.09781956,-4.449708,8.726884
1583282572813,0.255791,-4.4107995,9.032102
1583282572862,-0.004912749,-5.113596,8.353653
1583282572912,0.39769325,-3.2290065,8.878052
1583282572962,0.2893193,-4.3665323,8.696054
1583282573012,0.2773707,-4.48474,8.994642
1583282573063,0.20348415,-4.3469596,8.839881
1583282573113,0.24895011,-4.3869777,8.803341
1583282573163,0.2824518,-4.2587523,8.899509
1583282573212,0.44931626,-4.1986566,8.91877
1583282573263,0.43523297,-4.45279,9.06332
1583282573313,0.22687638,-4.412511,8.647515
1583282573362,0.39464518,-3.7276373,8.61698
1583282573413,0.45755348,-4.632849,8.728266
1583282573463,0.07614646,-3.21351,9.627531
1583282573513,0.27851373,-4.4957857,8.576925
1583282573563,0.3808619,-4.936631,8.514513
1583282573613,0.11938931,-4.226352,8.825722
1583282573663,0.32386413,-3.7489023,9.148352
1583282573713,0.29562274,-4.3532977,8.9369335
1583282573762,0.17754394,-4.520846,8.722123
1583282573812,0.55986106,-4.7565703,8.603023
1583282573862,0.30053514,-3.6339614,9.018831
1583282573912,0.2841671,-4.411089,8.976298
1583282573962,5.7795644E-4,-5.2059584,8.547137
1583282574013,0.6114668,-3.1754546,9.10659
1583282574062,0.22884612,-4.111042,8.379473
1583282574112,0.20043427,-4.8737497,8.554819
1583282574163,0.32858846,-3.9792552,9.278296
1583282574212,0.25819352,-3.2577786,9.3261
1583282574262,0.11898126,-3.9012713,8.974914
1583282574313,0.25390255,-7.099655,7.0990014
1583282574362,0.047025383,-5.391506,8.107007
1583282574412,-0.03555596,-4.456434,8.628352
1583282574462,0.30159244,-4.5996966,8.622401
1583282574512,0.26265693,-4.5116677,8.852364
1583282574562,0.28931576,-4.441594,8.873416
1583282574613,0.49736094,-5.321946,8.020693
1583282574662,0.058987916,-5.693402,7.9857683
1583282574712,0.07847908,-5.0052304,8.471529
1583282574763,0.19001648,-4.47209,8.885297
1583282574812,-0.11932092,-4.662372,8.573313
1583282574863,0.21051767,-4.619174,8.68471
1583282574913,0.14582422,-4.343304,8.356862
1583282574963,0.2300219,-4.447151,8.603702
1583282575012,0.32772145,-3.6000767,9.672121
1583282575063,5.7972595E-4,-5.04991,8.332125
1583282575112,0.23462972,-4.5003576,8.789049
1583282575163,0.19012037,-4.1562552,9.150071
1583282575213,0.24640235,-4.4534817,8.50274
1583282575263,0.31681797,-4.9744096,8.384741
1583282575312,0.19993219,-3.9103804,8.979061
1583282575362,-0.03397714,-3.109084,9.385084
1583282575412,0.44023785,-6.256521,7.801618
1583282575462,0.43652245,-4.90115,8.666053
1583282575512,0.16406351,-3.8137841,8.889583
