Time,accX,accY,accZ
1583282087652,1.859537,-4.33088,8.552984
1583282087672,1.20317,-3.6864905,8.996152
1583282087692,1.2391025,-3.4229856,9.206956
1583282087713,1.7277845,-4.163195,8.969801
1583282087733,1.979312,-5.1812825,8.780557
1583282087753,1.600823,-4.383581,8.646408
1583282087773,1.4834435,-3.7391915,8.74702
1583282087793,1.5840545,-3.9643686,9.003338
1583282087812,1.528958,-3.870944,9.029689
1583282087832,1.6750835,-4.04342,8.852422
1583282087852,1.7661124,-4.2230825,8.780557
1583282087872,1.4930255,-4.04342,8.802116
1583282087892,1.5073985,-4.100912,8.873981
1583282087912,1.677479,-4.048211,8.809302
1583282087932,1.6463375,-3.942809,8.873981
1583282087952,1.543331,-3.9308314,8.974592
1583282087972,1.533749,-3.8493845,8.883563
1583282087991,1.481048,-3.9020855,8.818885
1583282088013,1.495421,-3.885317,8.897936
1583282088033,1.6655015,-4.134449,8.862003
1583282088052,1.701434,-4.2518287,8.797325
1583282088072,1.53854,-4.0889344,8.809302
1583282088091,1.5409355,-4.0074873,8.89554
1583282088112,1.6175915,-4.1655903,8.93866
1583282088131,1.8331865,-4.3332753,8.816489
1583282088151,1.6463375,-4.66625,8.862003
1583282088171,1.3588775,-3.535574,8.6368265
1583282088192,1.648733,-4.18715,8.77337
1583282088212,1.5792634,-4.465028,8.86919
1583282088231,1.552913,-4.4434686,8.708692
1583282088252,1.5457265,-4.163195,8.665572
1583282088271,1.619987,-4.2278733,8.720669
1583282088291,1.567286,-4.4243045,8.658386
1583282088311,1.5792634,-4.397954,8.653595
1583282088331,1.629569,-4.546475,8.639222
1583282088351,1.6559196,-4.6063623,8.569753
1583282088370,1.562495,-4.3668127,8.646408
1583282088391,1.481048,-4.254224,8.7039
1583282088410,1.58645,-4.369208,8.711087
1583282088430,2.146997,-5.2100286,8.378113
1583282088451,1.25108,-4.5632434,8.502679
1583282088471,1.514585,-3.7535646,8.763788
1583282088490,1.5792634,-4.651877,8.814094
1583282088511,1.5696815,-4.4003496,8.608081
1583282088531,1.639151,-4.3859763,8.58173
1583282088550,1.68227,-4.565639,8.667968
1583282088570,1.533749,-4.350044,8.675155
1583282088590,1.524167,-4.436282,8.651199
1583282088610,1.643942,-4.2901564,8.694319
1583282088630,1.509794,-4.124867,8.768579
1583282088650,1.4978164,-4.321298,8.761393
1583282088670,1.653524,-4.350044,8.670363
1583282088690,1.581659,-4.2566195,8.648804
1583282088710,2.2547946,-4.8986135,7.9469223
1583282088730,0.8174945,-3.5762975,9.190187
1583282088750,1.236707,-3.2840464,9.120717
1583282088770,1.2534755,-3.8350115,8.814094
1583282088790,1.845164,-5.0183883,8.600894
1583282088810,1.96973,-5.174096,8.48591
1583282088829,1.8475595,-5.0806713,8.665572
1583282088850,1.5265625,-4.627922,8.634431
1583282088869,1.63436,-4.153613,8.538611
1583282088889,1.7709035,-5.4399967,8.598498
1583282088909,1.4163696,-3.6960726,8.596103
1583282088930,1.5169805,-4.124867,8.706296
1583282088949,1.6894565,-4.982456,8.778161
1583282088969,1.505003,-4.498565,8.406858
1583282088989,1.5696815,-4.201523,8.660782
1583282089009,1.6463375,-4.383581,8.737437
1583282089029,1.524167,-4.594385,8.612871
1583282089049,1.615196,-4.4722147,8.514656
1583282089069,1.572077,-4.316507,8.682341
1583282089088,1.552913,-4.4267,8.72546
1583282089110,1.433138,-4.556057,8.646408
1583282089129,1.605614,-4.2662015,8.620058
1583282089149,1.6271735,-4.1176805,8.737437
1583282089169,1.5265625,-4.709369,8.358949
1583282089188,1.8571415,-4.6494813,8.967405
1583282089208,1.097768,-3.37268,8.962614
1583282089229,1.2247295,-3.540365,8.948241
1583282089249,1.308572,-4.024256,8.933868
1583282089269,1.845164,-5.102231,8.658386
1583282089288,1.945775,-4.718951,8.481119
1583282089309,1.979312,-5.43281,8.461955
1583282089329,1.706225,-5.3298035,8.588917
1583282089348,1.548122,-4.33088,8.483515
1583282089368,0.8941505,-2.160557,8.802116
1583282089388,2.2068844,-6.3023763,8.818885
1583282089408,1.073813,-3.894899,8.550589
1583282089428,1.6702925,-4.345253,8.576939
1583282089448,1.648733,-4.52252,8.723064
1583282089469,1.5217716,-4.393163,8.569753
1583282089488,1.5648905,-4.340462,8.622454
1583282089508,1.5600995,-4.369208,8.655991
1583282089528,1.471466,-4.2662015,8.720669
1583282089547,1.691852,-4.4482594,8.287084
1583282089568,1.366064,-4.6542726,8.876376
1583282089588,2.16137,-5.681942,8.665572
1583282089608,1.361273,-4.790816,8.440395
1583282089627,1.1576555,-3.2121816,8.775765
1583282089647,1.6319644,-3.823034,8.885959
1583282089667,1.567286,-4.814771,8.694319
1583282089687,1.4163696,-3.9835324,8.830862
1583282089708,1.481048,-3.4685,9.123113
1583282089728,1.5888455,-3.4708955,9.096763
1583282089748,1.6223825,-3.626603,8.909913
1583282089768,1.5696815,-3.971555,8.871586
1583282089787,1.528958,-3.933227,8.859608
1583282089808,1.576868,-3.7439826,8.984174
1583282089828,1.605614,-3.70805,9.118322
1583282089847,1.6607105,-3.6721175,9.029689
1583282089867,1.576868,-2.951072,9.075203
1583282089887,1.6319644,-2.2683544,8.921891
1583282089908,1.25108,-6.544322,8.667968
1583282089927,1.7756945,-5.265125,8.55538
1583282089947,1.461884,-3.679304,8.651199
1583282089967,1.6607105,-3.9739504,8.9171
1583282089987,1.533749,-4.1655903,8.883563
1583282090007,1.5121895,-4.1799636,8.706296
1583282090027,1.5121895,-4.0745616,8.833258
1583282090047,1.552913,-4.1128893,8.802116
1583282090067,1.5936365,-4.0889344,8.75181
1583282090086,1.6032186,-4.249433,8.802116
1583282090106,1.5648905,-4.1991277,8.852422
1583282090126,1.5265625,-4.04342,8.878772
1583282090146,1.543331,-4.0410247,8.787743
1583282090166,1.552913,-4.211105,8.715878
1583282090186,1.557704,-4.2039185,8.713483
1583282090206,1.5984275,-4.1080985,8.775765
1583282090226,1.596032,-4.2087097,8.811698
1583282090246,1.562495,-4.18715,8.744624
1583282090266,2.1589744,-5.1285815,8.193659
1583282090286,1.528958,-5.250752,8.845235
1583282090306,1.0905815,-3.636185,9.041666
1583282090326,1.2774305,-3.5667155,8.89554
1583282090346,1.3636684,-2.79776,9.024898
1583282090366,1.897865,-4.3428574,8.830862
1583282090386,1.53854,-4.4482594,8.737437
1583282090406,1.5648905,-4.2374554,8.754206
1583282090426,1.466675,-3.9787414,8.876376
1583282090445,1.5169805,-3.4613135,8.941055
1583282090465,1.552913,-3.952391,8.9530325
1583282090485,1.5313535,-3.9308314,8.921891
1583282090505,1.639151,-4.13924,8.818885
1583282090526,1.5026075,-3.8445935,8.845235
1583282090545,1.457093,-3.6816995,9.000942
1583282090565,1.5553085,-3.904481,9.003338
1583282090585,1.6511285,-4.1799636,8.905123
1583282090606,1.495421,-3.8350115,8.926682
1583282090625,1.4546975,-3.6769085,9.024898
1583282090645,1.528958,-3.6529534,8.960219
1583282090665,1.552913,-3.5667155,8.86919
1583282090685,1.605614,-4.009883,8.86919
1583282090705,1.658315,-4.7405105,8.828466
1583282090725,1.5505176,-3.458918,8.713483
1583282090744,1.452302,-4.71416,8.802116
1583282090764,1.6175915,-4.5488706,8.778161
1583282090784,1.485839,-3.8685484,8.74702
1583282090805,1.5888455,-4.096121,8.830862
1583282090825,1.5505176,-4.158404,8.792534
1583282090845,1.591241,-4.0170693,8.763788
1583282090864,1.596032,-4.115285,8.811698
1583282090883,1.519376,-4.2182913,8.790138
1583282090905,1.5361445,-4.2135005,8.77337
1583282090924,1.6128005,-4.2135005,8.75181
1583282090944,2.0248265,-5.2723117,8.459559
1583282090964,1.2822216,-4.57043,8.926682
1583282090983,1.29899,-3.5810885,8.986569
1583282091004,1.361273,-2.8480656,8.919496
1583282091024,1.7709035,-4.2566195,8.775765
1583282091043,1.5457265,-4.6446905,8.667968
1583282091064,1.5361445,-4.2039185,8.797325
1583282091083,1.471466,-3.8589666,8.919496
1583282091104,1.4738615,-3.7008636,8.943451
1583282091124,1.4930255,-3.7248185,8.9171
1583282091143,1.519376,-3.9260404,8.93866
1583282091163,1.562495,-4.0362334,8.948241
1583282091183,1.596032,-4.148822,8.816489
1583282091203,1.519376,-3.985928,8.833258
1583282091223,1.505003,-3.722423,8.943451
1583282091244,1.4978164,-3.8206384,8.991361
1583282091263,1.495421,-3.880526,8.897936
1583282091283,1.5888455,-3.957182,8.893145
