Time,rotX,rotY,rotZosboxe
1583285436862,1.8723228E-4,-3.705779E-4,-0.0010449041
1583285436913,1.8723228E-4,-3.705779E-4,-0.001825368
1583285436963,7.02549E-5,6.944225E-4,0.0012887395
1583285437013,-4.9075135E-4,3.0740583E-4,-9.943224E-4
1583285437062,8.4428734E-4,-3.705779E-4,-0.001015251
1583285437113,3.2513763E-4,5.565169E-4,-6.0730614E-4
1583285437163,-7.4573595E-4,-3.705779E-4,-6.0730614E-4
1583285437212,5.885897E-4,3.0779745E-5,-6.0730614E-4
1583285437263,5.808353E-4,6.944225E-4,-0.0012787029
1583285437312,1.8723228E-4,0.0016365787,-7.301499E-4
1583285437363,0.0012522325,-3.705779E-4,-4.6083145E-4
1583285437413,4.1920494E-4,4.593609E-5,4.5769382E-4
1583285437463,-1.9121531E-4,7.869676E-6,-2.2885855E-4
1583285437513,0.0011438244,5.860147E-4,-6.0730614E-4
1583285437562,1.8723228E-4,5.327924E-4,4.5769382E-4
1583285437613,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285437662,-5.144761E-4,-3.705779E-4,0.0011594025
1583285437713,-8.777677E-4,-3.705779E-4,5.509462E-4
1583285437762,3.5878283E-4,5.2287197E-4,4.5769382E-4
1583285437813,8.3791453E-4,-3.705779E-4,4.5769382E-4
1583285437862,-4.971243E-4,3.1377887E-4,4.5769382E-4
1583285437912,-8.777677E-4,-2.5997404E-4,4.5769382E-4
1583285437962,0.0010927982,-2.111434E-4,4.5769382E-4
1583285438013,-2.4224154E-4,6.944225E-4,2.8220005E-5
1583285438062,-1.7825526E-4,-7.046028E-4,9.220652E-5
1583285438113,1.8723228E-4,-4.6602637E-4,4.5769382E-4
1583285438162,1.2641423E-5,6.944225E-4,2.8310297E-4
1583285438212,1.0811142E-5,2.5013275E-4,-6.0730614E-4
1583285438262,5.383784E-4,3.4327665E-4,1.0654796E-4
1583285438313,-0.0017805548,0.0016783159,4.5769382E-4
1583285438362,-8.777677E-4,6.944225E-4,-6.0730614E-4
1583285438412,-4.1879632E-4,6.944225E-4,-1.48335E-4
1583285438462,1.8723228E-4,-3.4587923E-5,-2.7131615E-4
1583285438512,1.8723228E-4,6.284714E-4,-6.0730614E-4
1583285438563,1.8723228E-4,-0.0012314897,-4.0321797E-4
1583285438612,1.8723228E-4,1.035491E-4,4.5769382E-4
1583285438663,9.313988E-4,-4.9744267E-5,4.5769382E-4
1583285438713,0.0012522325,-3.705779E-4,-5.565109E-4
1583285438763,-3.0602678E-5,4.7658756E-4,4.5769382E-4
1583285438812,-8.777677E-4,1.11815985E-4,9.400877E-4
1583285438862,-1.2533518E-4,-5.801022E-5,0.0015226942
1583285438912,1.8723228E-4,-0.00139305,5.0022174E-4
1583285438962,-6.502564E-4,-3.705779E-4,-3.7979474E-4
1583285439012,6.8478205E-4,-3.705779E-4,4.5769382E-4
1583285439062,4.8464292E-4,-3.705779E-4,4.5769382E-4
1583285439113,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285439162,1.8723228E-4,9.370898E-4,-6.0730614E-4
1583285439212,1.8723228E-4,0.0012467164,-6.0730614E-4
1583285439263,1.8723228E-4,-8.772407E-5,-6.0730614E-4
1583285439312,-8.647372E-4,6.813919E-4,4.4466322E-4
1583285439362,1.8723228E-4,-0.0014355779,4.5769382E-4
1583285439413,1.8723228E-4,-9.085308E-4,4.5769382E-4
1583285439463,9.843191E-4,4.2650895E-4,4.5769382E-4
1583285439513,1.8723228E-4,6.9229584E-4,-6.0517946E-4
1583285439563,1.8723228E-4,-9.780703E-5,7.304647E-4
1583285439612,-3.5497115E-4,1.5221909E-4,4.382874E-4
1583285439662,-8.777677E-4,-3.705779E-4,-6.0730614E-4
1583285439712,-8.6048595E-4,-3.532963E-4,4.404122E-4
1583285439762,1.8723228E-4,4.0920125E-4,-6.0730614E-4
1583285439813,1.8723228E-4,-9.2052063E-4,-5.7363417E-5
1583285439862,1.8723228E-4,2.0517269E-4,4.5769382E-4
1583285439912,1.8723228E-4,-3.705779E-4,4.3225987E-4
1583285439962,1.8723228E-4,-7.453561E-5,-3.112643E-4
1583285440013,-3.782598E-4,6.944225E-4,-1.0779826E-4
1583285440062,-4.287483E-5,-1.4047092E-4,-6.0730614E-4
1583285440112,1.0452594E-4,-2.8787134E-4,4.1634077E-4
1583285440162,-0.0016321582,0.0011382033,-9.179157E-4
1583285440213,-2.9711868E-4,-3.705779E-4,-0.001091657
1583285440262,0.00103792,-3.705779E-4,-6.0730614E-4
1583285440313,-8.777677E-4,-3.156662E-4,-6.0730614E-4
1583285440363,-8.777677E-4,3.697197E-4,-2.8260378E-4
1583285440412,-8.777677E-4,-3.705779E-4,4.5769382E-4
1583285440463,-8.777677E-4,4.936368E-4,-4.0652044E-4
1583285440512,-8.069397E-4,-4.4140592E-4,-6.0730614E-4
1583285440562,1.8723228E-4,-0.001095471,-6.0730614E-4
1583285440613,1.8723228E-4,2.3956876E-4,2.8400682E-6
1583285440662,0.0010674173,6.944225E-4,4.5769382E-4
1583285440712,1.8723228E-4,-3.705779E-4,-6.0730614E-4
1583285440763,-1.6803097E-4,-1.5314668E-5,-6.0730614E-4
1583285440813,-2.1355425E-4,3.0208845E-5,-6.0730614E-4
1583285440863,0.0011449648,5.8715465E-4,-6.0730614E-4
1583285440912,0.001089462,-3.705779E-4,-4.4453563E-4
1583285440963,-2.4557777E-4,-3.705779E-4,2.4883542E-5
1583285441013,-8.777677E-4,3.3227121E-4,-6.0730614E-4
1583285441063,9.512028E-5,-2.7846592E-4,-6.0730614E-4
1583285441113,9.305077E-6,-3.705779E-4,-4.2937882E-4
1583285441163,-4.298021E-4,7.7387784E-5,4.5769382E-4
1583285441212,1.8723228E-4,-7.4158795E-4,-2.6031118E-4
1583285441263,1.8723228E-4,-4.475331E-4,3.8073864E-4
1583285441312,-6.8483246E-4,-3.705779E-4,-4.1437102E-4
1583285441363,-2.7542922E-4,-3.705779E-4,-4.9676746E-6
1583285441412,-1.4516723E-4,-3.705779E-4,1.2529455E-4
1583285441462,-8.151529E-4,-3.705779E-4,4.5769382E-4
1583285441512,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285441563,1.8723228E-4,1.068851E-4,9.3515683E-4
1583285441613,-5.602703E-4,-5.3080264E-5,2.7689151E-5
1583285441662,-8.777677E-4,-3.705779E-4,-6.0730614E-4
1583285441712,1.8723228E-4,-3.705779E-4,2.3511332E-4
1583285441763,1.8723228E-4,-8.631977E-4,-6.0730614E-4
1583285441813,1.8723228E-4,-2.8363895E-5,-6.0730614E-4
1583285441862,1.8723228E-4,-2.4889316E-4,3.3600908E-4
1583285441913,0.0012522325,-3.705779E-4,0.0013743397
1583285441962,8.338393E-4,-7.8897085E-4,3.930088E-5
1583285442012,8.75665E-4,-7.4714515E-4,8.112658E-5
1583285442063,2.9376138E-4,-3.705779E-4,-5.0077727E-4
1583285442112,1.8723228E-4,-2.0706747E-4,4.5769382E-4
1583285442162,1.8723228E-4,2.6087277E-4,2.4144538E-5
1583285442213,1.8723228E-4,-3.705779E-4,-6.0730614E-4
1583285442263,1.8723228E-4,6.0305E-4,0.0013399497
1583285442313,1.8723228E-4,5.1575666E-4,2.7902797E-4
1583285442363,1.8723228E-4,7.778453E-5,-1.589437E-4
1583285442413,1.8723228E-4,6.944225E-4,-2.602362E-4
1583285442463,1.8723228E-4,-2.935459E-4,3.8066227E-4
1583285442512,0.0010592247,-5.6358567E-4,2.6468607E-4
1583285442563,1.8723228E-4,-5.094842E-4,-0.0010703527
1583285442613,1.8723228E-4,-3.866339E-5,-9.3922066E-4
1583285442663,1.8723228E-4,-3.705779E-4,3.9581908E-4
1583285442713,1.8723228E-4,4.8625935E-4,-6.0730614E-4
1583285442763,1.8723228E-4,1.07625034E-4,3.4909975E-4
1583285442813,1.8723228E-4,-8.497387E-5,7.4329786E-4
1583285442862,-8.7769225E-4,-3.705779E-4,-6.072307E-4
1583285442912,4.5719685E-4,-3.705779E-4,1.8772949E-4
1583285442962,0.0012522325,-3.705779E-4,-6.730296E-5
1583285443013,4.421902E-4,-3.705779E-4,4.5769382E-4
1583285443062,-8.6268596E-4,-3.8565975E-4,-5.922243E-4
1583285443113,1.8723228E-4,-8.653379E-4,4.5769382E-4
1583285443163,1.8723228E-4,6.944225E-4,-9.74657E-5
1583285443213,-6.379656E-4,6.944225E-4,-6.0730614E-4
1583285443263,0.002287018,-3.705779E-4,-5.7709217E-4
1583285443312,6.528507E-4,-7.088715E-5,1.5800307E-4
1583285443363,-3.0745275E-4,6.944225E-4,-6.0730614E-4
1583285443412,0.001027587,-1.459322E-4,2.3304857E-4
1583285443463,1.8723228E-4,6.4984336E-4,-5.62727E-4
1583285443512,5.018498E-4,-5.596038E-5,4.5769382E-4
1583285443562,6.675754E-4,1.0976521E-4,4.5769382E-4
1583285443612,1.8723228E-4,-3.705779E-4,-3.970014E-4
1583285443662,-8.18033E-4,-3.705779E-4,-6.0730614E-4
1583285443712,1.8723228E-4,-3.705779E-4,-2.7753226E-4
1583285443762,-0.0010123926,2.292348E-4,4.5769382E-4
1583285443813,-0.0045385216,0.0015596738,4.5769382E-4
1583285443862,-0.0029385933,6.944225E-4,3.8851937E-4
1583285443912,-0.0022812197,3.5597058E-4,-2.688542E-4
1583285443963,-0.0048332424,2.379138E-4,4.5769382E-4
1583285444013,-0.0062027676,0.0015736255,-4.2150915E-4
1583285444062,-0.00645592,0.0016750381,4.5769382E-4
1583285444112,-0.011169884,6.944225E-4,8.121175E-4
1583285444162,-0.020967387,0.0031922702,0.0027716178
1583285444213,-0.011955245,0.0067434255,0.0027581928
1583285444263,0.0031851134,-0.00520278,-0.0015737466
1583285444312,1.6445352E-4,3.5460806E-4,1.1787983E-4
1583285444362,-0.0013031496,4.801862E-4,8.830759E-4
1583285444412,9.415465E-4,-3.705779E-4,-4.519634E-4
1583285444462,0.0030219108,0.016293138,-0.0014921455
1583285444513,0.35211128,0.99860805,0.005803571
1583285444563,0.4698227,1.1985401,-0.03056307
1583285444613,-0.08811712,-0.38482457,-0.3261538
1583285444662,0.010190272,0.08405697,0.10683043
1583285444713,0.028016621,0.020417208,0.03510002
1583285444763,0.0059966985,-0.027544087,-0.03350119
1583285444812,-6.277064E-4,-0.00844625,-0.03280737
1583285444862,0.0053572077,0.0047993977,-0.027580885
1583285444912,0.0022372925,-0.012560792,-0.02847229
1583285444963,0.0036889366,-0.021561911,-0.009902533
1583285445013,-0.0026124986,-0.0066442234,2.9958598E-4
1583285445063,-0.0026365928,-0.0033799899,-0.0032940684
1583285445112,4.8143673E-5,2.7715648E-4,-0.005932306
1583285445163,0.0012522325,0.006802886,-0.010302501
1583285445212,-7.450591E-4,0.003156194,-0.014319597
1583285445262,-6.7382504E-4,-0.0025005774,-0.015721248
1583285445312,1.8723228E-4,-6.121327E-4,-0.016582306
1583285445363,1.8723228E-4,0.0025052447,-0.011361549
1583285445413,0.0012021417,0.0018095132,-0.004052759
1583285445462,4.0598528E-4,-3.705779E-4,-0.003802306
1583285445513,0.0012522325,-3.705779E-4,-0.0047721206
1583285445563,0.0027655978,0.0011427882,-0.00971572
1583285445612,0.0023524384,0.00381901,-0.017436069
1583285445663,0.0025472562,0.0031993496,-0.011317087
1583285445713,0.0023736185,-3.1419145E-4,-0.003802306
1583285445763,0.002028328,-0.0014355779,-0.0030262102
1583285445812,0.002317232,-3.905478E-4,-0.002737306
1583285445863,4.3485302E-4,0.001264181,-0.0019199266
1583285445913,-2.8933224E-4,-0.0013982872,-0.0037650159
1583285445962,-0.0019427676,-1.63591E-4,-0.0040883105
1583285446013,1.676752E-4,-3.607995E-4,-0.0027470845
1583285446063,4.5839848E-4,-3.705779E-4,-0.0024661398
1583285446113,0.0012522325,-3.705779E-4,-0.0011305506
1583285446162,-3.665511E-4,-3.705779E-4,-0.0014166976
1583285446212,1.8723228E-4,-3.705779E-4,4.425291E-4
1583285446262,-9.2562754E-5,-3.705779E-4,-6.0730614E-4
1583285446313,-8.777677E-4,-3.705779E-4,-6.0730614E-4
1583285446363,-5.2120537E-5,-3.705779E-4,-6.0730614E-4
1583285446413,1.8723228E-4,-0.0014061253,4.282412E-4
1583285446463,-1.07730855E-4,-3.705779E-4,-6.0730614E-4
1583285446512,-3.073765E-4,-3.705779E-4,-6.0730614E-4
1583285446563,1.8723228E-4,-3.705779E-4,-6.0730614E-4
1583285446612,0.0012092505,-3.705779E-4,-0.0016293239
1583285446663,1.8723228E-4,-6.0684513E-5,-6.0730614E-4
1583285446713,7.7208725E-4,1.0956731E-4,-6.0730614E-4
1583285446763,3.972227E-4,-3.705779E-4,-6.0730614E-4
1583285446813,1.2815406E-4,-3.1149946E-4,-0.0016723059
Time,rotX,rotY,rotZosboxe
1583285436862,1.8723228E-4,-3.705779E-4,-0.0010449041
1583285436913,1.8723228E-4,-3.705779E-4,-0.001825368
1583285436963,7.02549E-5,6.944225E-4,0.0012887395
1583285437013,-4.9075135E-4,3.0740583E-4,-9.943224E-4
1583285437062,8.4428734E-4,-3.705779E-4,-0.001015251
1583285437113,3.2513763E-4,5.565169E-4,-6.0730614E-4
1583285437163,-7.4573595E-4,-3.705779E-4,-6.0730614E-4
1583285437212,5.885897E-4,3.0779745E-5,-6.0730614E-4
1583285437263,5.808353E-4,6.944225E-4,-0.0012787029
1583285437312,1.8723228E-4,0.0016365787,-7.301499E-4
1583285437363,0.0012522325,-3.705779E-4,-4.6083145E-4
1583285437413,4.1920494E-4,4.593609E-5,4.5769382E-4
1583285437463,-1.9121531E-4,7.869676E-6,-2.2885855E-4
1583285437513,0.0011438244,5.860147E-4,-6.0730614E-4
1583285437562,1.8723228E-4,5.327924E-4,4.5769382E-4
1583285437613,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285437662,-5.144761E-4,-3.705779E-4,0.0011594025
1583285437713,-8.777677E-4,-3.705779E-4,5.509462E-4
1583285437762,3.5878283E-4,5.2287197E-4,4.5769382E-4
1583285437813,8.3791453E-4,-3.705779E-4,4.5769382E-4
1583285437862,-4.971243E-4,3.1377887E-4,4.5769382E-4
1583285437912,-8.777677E-4,-2.5997404E-4,4.5769382E-4
1583285437962,0.0010927982,-2.111434E-4,4.5769382E-4
1583285438013,-2.4224154E-4,6.944225E-4,2.8220005E-5
1583285438062,-1.7825526E-4,-7.046028E-4,9.220652E-5
1583285438113,1.8723228E-4,-4.6602637E-4,4.5769382E-4
1583285438162,1.2641423E-5,6.944225E-4,2.8310297E-4
1583285438212,1.0811142E-5,2.5013275E-4,-6.0730614E-4
1583285438262,5.383784E-4,3.4327665E-4,1.0654796E-4
1583285438313,-0.0017805548,0.0016783159,4.5769382E-4
1583285438362,-8.777677E-4,6.944225E-4,-6.0730614E-4
1583285438412,-4.1879632E-4,6.944225E-4,-1.48335E-4
1583285438462,1.8723228E-4,-3.4587923E-5,-2.7131615E-4
1583285438512,1.8723228E-4,6.284714E-4,-6.0730614E-4
1583285438563,1.8723228E-4,-0.0012314897,-4.0321797E-4
1583285438612,1.8723228E-4,1.035491E-4,4.5769382E-4
1583285438663,9.313988E-4,-4.9744267E-5,4.5769382E-4
1583285438713,0.0012522325,-3.705779E-4,-5.565109E-4
1583285438763,-3.0602678E-5,4.7658756E-4,4.5769382E-4
1583285438812,-8.777677E-4,1.11815985E-4,9.400877E-4
1583285438862,-1.2533518E-4,-5.801022E-5,0.0015226942
1583285438912,1.8723228E-4,-0.00139305,5.0022174E-4
1583285438962,-6.502564E-4,-3.705779E-4,-3.7979474E-4
1583285439012,6.8478205E-4,-3.705779E-4,4.5769382E-4
1583285439062,4.8464292E-4,-3.705779E-4,4.5769382E-4
1583285439113,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285439162,1.8723228E-4,9.370898E-4,-6.0730614E-4
1583285439212,1.8723228E-4,0.0012467164,-6.0730614E-4
1583285439263,1.8723228E-4,-8.772407E-5,-6.0730614E-4
1583285439312,-8.647372E-4,6.813919E-4,4.4466322E-4
1583285439362,1.8723228E-4,-0.0014355779,4.5769382E-4
1583285439413,1.8723228E-4,-9.085308E-4,4.5769382E-4
1583285439463,9.843191E-4,4.2650895E-4,4.5769382E-4
1583285439513,1.8723228E-4,6.9229584E-4,-6.0517946E-4
1583285439563,1.8723228E-4,-9.780703E-5,7.304647E-4
1583285439612,-3.5497115E-4,1.5221909E-4,4.382874E-4
1583285439662,-8.777677E-4,-3.705779E-4,-6.0730614E-4
1583285439712,-8.6048595E-4,-3.532963E-4,4.404122E-4
1583285439762,1.8723228E-4,4.0920125E-4,-6.0730614E-4
1583285439813,1.8723228E-4,-9.2052063E-4,-5.7363417E-5
1583285439862,1.8723228E-4,2.0517269E-4,4.5769382E-4
1583285439912,1.8723228E-4,-3.705779E-4,4.3225987E-4
1583285439962,1.8723228E-4,-7.453561E-5,-3.112643E-4
1583285440013,-3.782598E-4,6.944225E-4,-1.0779826E-4
1583285440062,-4.287483E-5,-1.4047092E-4,-6.0730614E-4
1583285440112,1.0452594E-4,-2.8787134E-4,4.1634077E-4
1583285440162,-0.0016321582,0.0011382033,-9.179157E-4
1583285440213,-2.9711868E-4,-3.705779E-4,-0.001091657
1583285440262,0.00103792,-3.705779E-4,-6.0730614E-4
1583285440313,-8.777677E-4,-3.156662E-4,-6.0730614E-4
1583285440363,-8.777677E-4,3.697197E-4,-2.8260378E-4
1583285440412,-8.777677E-4,-3.705779E-4,4.5769382E-4
1583285440463,-8.777677E-4,4.936368E-4,-4.0652044E-4
1583285440512,-8.069397E-4,-4.4140592E-4,-6.0730614E-4
1583285440562,1.8723228E-4,-0.001095471,-6.0730614E-4
1583285440613,1.8723228E-4,2.3956876E-4,2.8400682E-6
1583285440662,0.0010674173,6.944225E-4,4.5769382E-4
1583285440712,1.8723228E-4,-3.705779E-4,-6.0730614E-4
1583285440763,-1.6803097E-4,-1.5314668E-5,-6.0730614E-4
1583285440813,-2.1355425E-4,3.0208845E-5,-6.0730614E-4
1583285440863,0.0011449648,5.8715465E-4,-6.0730614E-4
1583285440912,0.001089462,-3.705779E-4,-4.4453563E-4
1583285440963,-2.4557777E-4,-3.705779E-4,2.4883542E-5
1583285441013,-8.777677E-4,3.3227121E-4,-6.0730614E-4
1583285441063,9.512028E-5,-2.7846592E-4,-6.0730614E-4
1583285441113,9.305077E-6,-3.705779E-4,-4.2937882E-4
1583285441163,-4.298021E-4,7.7387784E-5,4.5769382E-4
1583285441212,1.8723228E-4,-7.4158795E-4,-2.6031118E-4
1583285441263,1.8723228E-4,-4.475331E-4,3.8073864E-4
1583285441312,-6.8483246E-4,-3.705779E-4,-4.1437102E-4
1583285441363,-2.7542922E-4,-3.705779E-4,-4.9676746E-6
1583285441412,-1.4516723E-4,-3.705779E-4,1.2529455E-4
1583285441462,-8.151529E-4,-3.705779E-4,4.5769382E-4
1583285441512,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285441563,1.8723228E-4,1.068851E-4,9.3515683E-4
1583285441613,-5.602703E-4,-5.3080264E-5,2.7689151E-5
1583285441662,-8.777677E-4,-3.705779E-4,-6.0730614E-4
1583285441712,1.8723228E-4,-3.705779E-4,2.3511332E-4
1583285441763,1.8723228E-4,-8.631977E-4,-6.0730614E-4
1583285441813,1.8723228E-4,-2.8363895E-5,-6.0730614E-4
1583285441862,1.8723228E-4,-2.4889316E-4,3.3600908E-4
1583285441913,0.0012522325,-3.705779E-4,0.0013743397
1583285441962,8.338393E-4,-7.8897085E-4,3.930088E-5
1583285442012,8.75665E-4,-7.4714515E-4,8.112658E-5
1583285442063,2.9376138E-4,-3.705779E-4,-5.0077727E-4
1583285442112,1.8723228E-4,-2.0706747E-4,4.5769382E-4
1583285442162,1.8723228E-4,2.6087277E-4,2.4144538E-5
1583285442213,1.8723228E-4,-3.705779E-4,-6.0730614E-4
1583285442263,1.8723228E-4,6.0305E-4,0.0013399497
1583285442313,1.8723228E-4,5.1575666E-4,2.7902797E-4
1583285442363,1.8723228E-4,7.778453E-5,-1.589437E-4
1583285442413,1.8723228E-4,6.944225E-4,-2.602362E-4
1583285442463,1.8723228E-4,-2.935459E-4,3.8066227E-4
1583285442512,0.0010592247,-5.6358567E-4,2.6468607E-4
1583285442563,1.8723228E-4,-5.094842E-4,-0.0010703527
1583285442613,1.8723228E-4,-3.866339E-5,-9.3922066E-4
1583285442663,1.8723228E-4,-3.705779E-4,3.9581908E-4
1583285442713,1.8723228E-4,4.8625935E-4,-6.0730614E-4
1583285442763,1.8723228E-4,1.07625034E-4,3.4909975E-4
1583285442813,1.8723228E-4,-8.497387E-5,7.4329786E-4
1583285442862,-8.7769225E-4,-3.705779E-4,-6.072307E-4
1583285442912,4.5719685E-4,-3.705779E-4,1.8772949E-4
1583285442962,0.0012522325,-3.705779E-4,-6.730296E-5
1583285443013,4.421902E-4,-3.705779E-4,4.5769382E-4
1583285443062,-8.6268596E-4,-3.8565975E-4,-5.922243E-4
1583285443113,1.8723228E-4,-8.653379E-4,4.5769382E-4
1583285443163,1.8723228E-4,6.944225E-4,-9.74657E-5
1583285443213,-6.379656E-4,6.944225E-4,-6.0730614E-4
1583285443263,0.002287018,-3.705779E-4,-5.7709217E-4
1583285443312,6.528507E-4,-7.088715E-5,1.5800307E-4
1583285443363,-3.0745275E-4,6.944225E-4,-6.0730614E-4
1583285443412,0.001027587,-1.459322E-4,2.3304857E-4
1583285443463,1.8723228E-4,6.4984336E-4,-5.62727E-4
1583285443512,5.018498E-4,-5.596038E-5,4.5769382E-4
1583285443562,6.675754E-4,1.0976521E-4,4.5769382E-4
1583285443612,1.8723228E-4,-3.705779E-4,-3.970014E-4
1583285443662,-8.18033E-4,-3.705779E-4,-6.0730614E-4
1583285443712,1.8723228E-4,-3.705779E-4,-2.7753226E-4
1583285443762,-0.0010123926,2.292348E-4,4.5769382E-4
1583285443813,-0.0045385216,0.0015596738,4.5769382E-4
1583285443862,-0.0029385933,6.944225E-4,3.8851937E-4
1583285443912,-0.0022812197,3.5597058E-4,-2.688542E-4
1583285443963,-0.0048332424,2.379138E-4,4.5769382E-4
1583285444013,-0.0062027676,0.0015736255,-4.2150915E-4
1583285444062,-0.00645592,0.0016750381,4.5769382E-4
1583285444112,-0.011169884,6.944225E-4,8.121175E-4
1583285444162,-0.020967387,0.0031922702,0.0027716178
1583285444213,-0.011955245,0.0067434255,0.0027581928
1583285444263,0.0031851134,-0.00520278,-0.0015737466
1583285444312,1.6445352E-4,3.5460806E-4,1.1787983E-4
