Time,accX,accY,accZ
1583285437463,0.52892697,0.08758968,9.944453
1583285437513,0.53389305,0.09884427,9.958167
1583285437562,0.52060187,0.09636755,9.946438
1583285437613,0.5348255,0.09451569,9.941403
1583285437663,0.5221987,0.09986595,9.949449
1583285437713,0.52221876,0.101214506,9.963095
1583285437763,0.52532375,0.085489675,9.94067
1583285437812,0.5160618,0.105586,9.955815
1583285437862,0.5250704,0.10250736,9.960509
1583285437912,0.5362259,0.075034365,9.918852
1583285437963,0.5249997,0.11133804,9.951712
1583285438012,0.5304589,0.097394414,9.954273
1583285438062,0.5330398,0.084097266,9.938405
1583285438112,0.5396165,0.09471585,9.9550295
1583285438163,0.52002054,0.10165893,9.955608
1583285438212,0.5310338,0.08762703,9.945578
1583285438262,0.52600735,0.10884935,9.974409
1583285438313,0.51399577,0.101889595,9.943262
1583285438363,0.5298802,0.088121854,9.955047
1583285438412,0.52218646,0.093939275,9.951294
1583285438463,0.5309185,0.091213,9.953467
1583285438512,0.5234414,0.10020163,9.931731
1583285438562,0.53344834,0.10033595,9.962557
1583285438612,0.5265725,0.0983995,9.951415
1583285438663,0.5386343,0.10007335,9.949791
1583285438713,0.5170325,0.084826276,9.938269
1583285438763,0.5273665,0.097419545,9.962464
1583285438812,0.54621077,0.092523456,9.948067
1583285438863,0.51847374,0.09459789,9.93589
1583285438913,0.5409597,0.10750321,9.962786
1583285438962,0.5365461,0.09207328,9.952142
1583285439013,0.5218861,0.09089854,9.940783
1583285439063,0.53359586,0.09945707,9.948892
1583285439112,0.5419504,0.09612714,9.954228
1583285439162,0.52545565,0.09579182,9.943132
1583285439213,0.5318957,0.09973082,9.945656
1583285439263,0.5450437,0.07665194,9.961389
1583285439313,0.5160132,0.11697731,9.952103
1583285439363,0.5378005,0.101027794,9.95385
1583285439413,0.5289471,0.0875339,9.94477
1583285439462,0.5198499,0.11393283,9.968078
1583285439512,0.5372258,0.08404563,9.944794
1583285439563,0.53102696,0.09728975,9.956134
1583285439613,0.513397,0.10554235,9.950692
1583285439662,0.54237616,0.09405564,9.952645
1583285439712,0.51797926,0.098554984,9.947125
1583285439762,0.52096456,0.104773775,9.946053
1583285439813,0.53830105,0.09476702,9.94956
1583285439863,0.5182181,0.1046801,9.94956
1583285439912,0.53271604,0.091213,9.945285
1583285439962,0.5397463,0.09254477,9.964331
1583285440012,0.5238231,0.096004,9.945151
1583285440063,0.52420837,0.09037024,9.932792
1583285440113,0.5256156,0.114144824,9.977005
1583285440162,0.5348255,0.08602289,9.94477
1583285440213,0.53090733,0.08315365,9.94477
1583285440262,0.5352928,0.09981613,9.9677305
1583285440313,0.5318124,0.08415002,9.942868
1583285440363,0.5233739,0.087882705,9.954147
1583285440412,0.5367169,0.09522242,9.957807
1583285440462,0.5322926,0.090624005,9.948971
1583285440512,0.5300345,0.09025132,9.940616
1583285440562,0.5315645,0.10272699,9.947266
1583285440613,0.5320807,0.0946564,9.947864
1583285440662,0.52805465,0.09683541,9.953936
1583285440712,0.5245884,0.10740136,9.954158
1583285440763,0.5333729,0.09909736,9.9494095
1583285440812,0.5271874,0.096004,9.950957
1583285440863,0.5326713,0.096004,9.947888
1583285440912,0.53243,0.10152724,9.956182
1583285440962,0.5314565,0.10363896,9.963408
1583285441013,0.5284536,0.09289043,9.948076
1583285441063,0.527639,0.104135685,9.951127
1583285441113,0.5456024,0.090818554,9.947959
1583285441163,0.53155565,0.10583304,9.946024
1583285441212,0.5333726,0.09823745,9.936586
1583285441263,0.55517334,0.097880214,9.959115
1583285441312,0.5150019,0.10907509,9.933226
1583285441363,0.5374173,0.10110917,9.944553
1583285441413,0.54320234,0.101695165,9.956747
1583285441462,0.523693,0.08740787,9.952237
1583285441513,0.5275136,0.0936712,9.9443035
1583285441562,0.53284156,0.092618145,9.948818
1583285441613,0.51734287,0.09310237,9.953384
1583285441662,0.54781073,0.08652875,9.929069
1583285441712,0.5174486,0.0980066,9.962716
1583285441763,0.53488874,0.09782966,9.93887
1583285441812,0.54145795,0.09831322,9.950244
1583285441862,0.5191518,0.073485374,9.910068
1583285441912,0.53427744,0.11077034,9.960537
1583285441962,0.5144637,0.09557623,9.940235
1583285442012,0.52863157,0.10360091,9.952486
1583285442062,0.53817886,0.08666227,9.949561
1583285442112,0.52230126,0.096371785,9.95786
1583285442163,0.5207072,0.10132504,9.939533
1583285442213,0.542012,0.08817764,9.942374
1583285442263,0.5310621,0.09894529,9.957704
1583285442312,0.5300345,0.09719388,9.942374
1583285442363,0.5300345,0.1023065,9.947416
1583285442412,0.5235751,0.11110415,9.946278
1583285442462,0.53823036,0.09687034,9.924596
1583285442513,0.53199583,0.10711324,9.951731
1583285442562,0.5300345,0.09902438,9.953206
1583285442613,0.5349813,0.07711924,9.930832
1583285442662,0.5259394,0.11478,9.950425
1583285442713,0.52461207,0.10569479,9.940861
1583285442762,0.5429891,0.08534638,9.945746
1583285442812,0.52015835,0.101557426,9.93694
1583285442863,0.53482413,0.10079551,9.963932
1583285442912,0.53543276,0.09414889,9.93394
1583285442962,0.537221,0.09377727,9.937785
1583285443012,0.52993286,0.11834017,9.966532
1583285443062,0.5277068,0.08871573,9.906951
1583285443113,0.5292234,0.08868551,9.946863
1583285443162,0.5192038,0.10423535,9.955397
1583285443213,0.52733755,0.08408997,9.920403
1583285443263,0.5254474,0.10612968,9.954827
1583285443312,0.5290595,0.11194223,9.958312
1583285443362,0.5230181,0.08308392,9.926888
1583285443412,0.5252435,0.11099468,9.956354
1583285443462,0.5151712,0.09191491,9.94038
1583285443512,0.5559498,0.1037355,9.953807
1583285443562,0.5307876,0.10018383,9.953413
1583285443612,0.5329637,0.09789615,9.948614
1583285443663,0.5369523,0.09573528,9.9540825
1583285443712,0.5339135,0.09937235,9.962171
1583285443762,0.53182435,0.11486519,9.98084
1583285443813,0.53737,0.10498767,9.944323
1583285443862,0.5156615,0.085426845,9.926695
1583285443912,0.5232743,0.105586,9.958361
1583285443963,0.5368792,0.09053055,9.963938
1583285444013,0.52493757,0.08319067,9.958195
1583285444063,0.52436644,0.09410595,9.996593
1583285444112,0.56273925,0.072846204,10.064463
1583285444163,0.5747984,0.099727295,9.937611
1583285444212,0.35882565,0.020987578,9.644293
1583285444263,0.56228447,0.053901006,10.025552
1583285444312,0.54379267,0.10660231,9.984776
1583285444362,0.498425,0.05000762,9.915542
1583285444412,0.5449552,0.07060097,9.972964
1583285444462,0.5065955,0.09386769,9.786256
1583285444513,0.080239624,0.33756372,9.333102
1583285444563,-0.6467587,0.6265689,10.272424
1583285444613,-0.66824687,0.13107765,10.064442
1583285444663,-0.47462028,0.4111882,9.808949
1583285444713,-0.52369344,0.5376522,9.906399
1583285444763,-0.49516746,0.5117719,10.011299
1583285444813,-0.49862435,0.41444975,9.910921
1583285444863,-0.5208926,0.4671332,9.92112
1583285445075,-0.47368,0.4577245,9.880091
1583285445095,-0.4808665,0.455329,9.959143
1583285445115,-0.459307,0.4673065,9.930396
1583285445135,-0.4712845,0.484075,9.928001
1583285445155,-0.492844,0.4768885,9.951956
1583285445175,-0.4856575,0.474493,9.932792
1583285445195,-0.47368,0.4625155,9.932792
1583285445215,-0.4760755,0.464911,9.9208145
1583285445234,-0.492844,0.4481425,9.918419
1583285445254,-0.488053,0.469702,9.925606
1583285445275,-0.4904485,0.4673065,9.930396
1583285445295,-0.497635,0.4625155,9.959143
1583285445315,-0.4904485,0.4529335,9.942374
1583285445335,-0.488053,0.4816795,9.904046
1583285445355,-0.4856575,0.488866,9.939979
1583285445374,-0.4664935,0.4433515,9.951956
1583285445394,-0.464098,0.436165,9.925606
1583285445414,-0.497635,0.4577245,9.9208145
1583285445434,-0.5048215,0.4625155,9.913628
1583285445455,-0.502426,0.474493,9.942374
1583285445474,-0.492844,0.469702,9.942374
1583285445494,-0.478471,0.469702,9.935187
1583285445514,-0.488053,0.4816795,9.930396
1583285445534,-0.4760755,0.474493,9.916023
1583285445554,-0.488053,0.484075,9.954351
1583285445574,-0.4856575,0.4768885,9.916023
1583285445594,-0.5000305,0.488866,9.908837
1583285445614,-0.4904485,0.455329,9.930396
1583285445634,-0.488053,0.4146055,9.918419
1583285445654,-0.4808665,0.4433515,9.90165
1583285445674,-0.4712845,0.4433515,9.937583
1583285445694,-0.4808665,0.4768885,9.975911
1583285445714,-0.5096125,0.4816795,9.956747
1583285445733,-0.5000305,0.4673065,9.932792
1583285445753,-0.4856575,0.479284,9.904046
1583285445773,-0.478471,0.4816795,9.94477
1583285445793,-0.4664935,0.4433515,9.961538
1583285445813,-0.4664935,0.445747,9.925606
1583285445833,-0.5000305,0.479284,9.918419
1583285445852,-0.492844,0.4768885,9.906442
1583285445872,-0.492844,0.4720975,9.9208145
1583285445893,-0.488053,0.455329,9.925606
1583285445913,-0.4856575,0.464911,9.928001
1583285445933,-0.483262,0.4577245,9.9208145
1583285445953,-0.4952395,0.474493,9.932792
1583285445973,-0.464098,0.479284,9.968724
1583285445994,-0.464098,0.4625155,9.951956
1583285446013,-0.4904485,0.450538,9.904046
1583285446032,-0.507217,0.4577245,9.908837
1583285446052,-0.507217,0.4577245,9.932792
1583285446072,-0.478471,0.4720975,9.956747
Time,accX,accY,accZ
1583285437463,0.52892697,0.08758968,9.944453
1583285437513,0.53389305,0.09884427,9.958167
1583285437562,0.52060187,0.09636755,9.946438
1583285437613,0.5348255,0.09451569,9.941403
1583285437663,0.5221987,0.09986595,9.949449
1583285437713,0.52221876,0.101214506,9.963095
1583285437763,0.52532375,0.085489675,9.94067
1583285437812,0.5160618,0.105586,9.955815
1583285437862,0.5250704,0.10250736,9.960509
1583285437912,0.5362259,0.075034365,9.918852
1583285437963,0.5249997,0.11133804,9.951712
1583285438012,0.5304589,0.097394414,9.954273
1583285438062,0.5330398,0.084097266,9.938405
1583285438112,0.5396165,0.09471585,9.9550295
1583285438163,0.52002054,0.10165893,9.955608
1583285438212,0.5310338,0.08762703,9.945578
1583285438262,0.52600735,0.10884935,9.974409
1583285438313,0.51399577,0.101889595,9.943262
1583285438363,0.5298802,0.088121854,9.955047
1583285438412,0.52218646,0.093939275,9.951294
1583285438463,0.5309185,0.091213,9.953467
1583285438512,0.5234414,0.10020163,9.931731
1583285438562,0.53344834,0.10033595,9.962557
1583285438612,0.5265725,0.0983995,9.951415
1583285438663,0.5386343,0.10007335,9.949791
