Time,rotX,rotY,rotZosboxe
1583282275437,5.4298947E-4,-2.2608228E-4,-1.9605132E-4
1583282275487,3.8337964E-4,5.1372685E-4,-1.4085788E-4
1583282275537,1.765415E-5,1.4800159E-4,-1.4085788E-4
1583282275588,0.0013522496,7.2853034E-4,-1.4085788E-4
1583282275638,-3.8502645E-4,-2.955743E-4,-0.0011649623
1583282275688,-4.6681706E-4,-1.075007E-4,-1.4085788E-4
1583282275737,-4.6681706E-4,2.3016147E-4,-1.4085788E-4
1583282275788,-4.6681706E-4,-0.0011021001,-1.4085788E-4
1583282275837,-4.6681706E-4,-3.676759E-4,-1.4085788E-4
1583282275887,5.9818313E-4,7.2853034E-4,-1.4085788E-4
1583282275938,5.9818313E-4,2.1929294E-4,-1.4085788E-4
1583282275988,-1.8092291E-4,4.426362E-4,6.3824793E-4
1583282276037,-4.6681706E-4,-3.1959452E-4,-1.2398232E-4
1583282276087,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282276137,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282276187,5.9818313E-4,4.559434E-4,-1.4085788E-4
1583282276238,5.9818313E-4,-3.3392198E-4,9.2159444E-4
1583282276288,5.9818313E-4,-3.3646962E-4,1.2602285E-4
1583282276338,5.9818313E-4,-3.3646962E-4,3.870232E-4
1583282276387,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282276437,5.9818313E-4,7.17551E-4,-1.4085788E-4
1583282276488,5.9818313E-4,-5.5452343E-5,-1.4085788E-4
1583282276537,5.9818313E-4,1.7789472E-4,-1.4085788E-4
1583282276587,-2.2209762E-4,-3.3646962E-4,-1.4085788E-4
1583282276637,5.9818313E-4,-3.1114975E-4,-1.4085788E-4
1583282276688,5.9818313E-4,4.3317117E-4,-4.362166E-4
1583282276738,5.9818313E-4,-9.0143457E-4,-6.408924E-4
1583282276788,-2.3643929E-4,2.677748E-4,6.9376454E-4
1583282276838,-4.6681706E-4,-3.013122E-4,-1.4085788E-4
1583282276888,-1.6162149E-4,4.2333454E-4,-1.4085788E-4
1583282276937,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282276987,-2.4644425E-4,-3.3646962E-4,-1.4085788E-4
1583282277037,-4.6681706E-4,-2.8697168E-4,8.7464415E-4
1583282277088,-1.4727935E-4,4.0899264E-4,-1.4085788E-4
1583282277138,9.057578E-6,-9.2559494E-4,4.482679E-4
1583282277187,-0.0013256174,0.0011749319,0.0017829426
1583282277237,6.619741E-4,-0.0014014691,7.965602E-4
1583282277287,9.970565E-4,-4.0227966E-4,-8.7279454E-4
1583282277337,-4.6681706E-4,0.0011904277,4.6224473E-4
1583282277388,-4.6681706E-4,-0.0010177512,5.1001087E-5
1583282277437,-4.6681706E-4,8.058958E-4,-0.0011284922
1583282277487,-1.1941185E-4,0.0010987204,2.0654732E-4
1583282277537,-1.8788734E-5,-3.3646962E-4,3.071702E-4
1583282277587,-4.6681706E-4,-3.3646962E-4,-1.4085788E-4
1583282277638,5.9818313E-4,6.36823E-4,7.407274E-4
1583282277688,5.9818313E-4,-3.3646962E-4,-8.4438873E-4
1583282277737,5.9818313E-4,2.945005E-4,4.9011223E-4
1583282277788,5.9818313E-4,-1.7179083E-4,2.3821369E-5
1583282277837,5.9818313E-4,-3.3646962E-4,-0.0011008794
1583282277888,5.9818313E-4,3.6217738E-5,2.3182947E-4
1583282277938,-4.4543296E-5,8.5804146E-5,2.8141588E-4
1583282277988,-4.6681706E-4,-3.3646962E-4,-1.4085788E-4
1583282278037,0.0015461934,7.2853034E-4,-1.4085788E-4
1583282278088,5.9818313E-4,3.4179818E-4,-1.4085788E-4
1583282278137,5.9818313E-4,-3.3646962E-4,5.1539484E-4
1583282278187,5.9818313E-4,-3.3646962E-4,9.241421E-4
1583282278237,5.9818313E-4,-0.0011390094,-1.4085788E-4
1583282278287,5.9818313E-4,7.2853034E-4,-1.4085788E-4
1583282278337,5.9818313E-4,7.2853034E-4,-1.4085788E-4
1583282278387,5.9818313E-4,-2.121022E-4,-1.4085788E-4
1583282278438,-0.0013869597,7.2853034E-4,-1.4085788E-4
1583282278488,-5.1920535E-5,3.1363405E-4,-5.557542E-4
1583282278538,-8.622836E-5,-3.3646962E-4,-5.2144635E-4
1583282278587,-4.6681706E-4,-0.0012906287,-1.4085788E-4
1583282278637,-0.001531817,-0.0010830732,1.834007E-5
1583282278688,-0.0011029078,2.996209E-4,0.0013530515
1583282278738,-4.6681706E-4,-0.0010349303,5.9221964E-4
1583282278788,5.0168345E-4,-4.3296907E-4,-1.4085788E-4
1583282278838,5.9818313E-4,-1.6374467E-4,7.5141713E-4
1583282278888,5.9818313E-4,2.8680218E-4,-5.825858E-4
1583282278938,5.9818313E-4,-0.001046774,-4.955528E-4
1583282278987,5.9818313E-4,5.5772066E-4,8.38737E-4
1583282279037,-2.8224918E-4,0.001424395,-0.0012058576
1583282279088,1.4392333E-4,-3.3646962E-4,-7.5159804E-4
1583282279138,-0.0011912023,3.8791588E-4,-1.4085788E-4
1583282279187,-5.3789234E-4,7.2853034E-4,-1.4085788E-4
1583282279238,-4.6681706E-4,-1.3771188E-4,7.2538434E-4
1583282279287,-9.349509E-4,2.603964E-4,-6.089916E-4
1583282279338,-0.001531817,0.0011398755,-4.6768505E-4
1583282279388,-0.0025392582,-2.213521E-4,8.6658355E-4
1583282279437,-0.0017442524,-1.2403447E-4,-1.4085788E-4
1583282279487,-0.002114342,2.4605542E-4,-1.4085788E-4
1583282279538,-2.7938746E-5,-0.0018403474,-1.4085788E-4
1583282279587,-0.0024670304,0.00264222,0.0019026184
1583282279637,-0.0010786091,0.0021787188,4.7093444E-4
1583282279687,5.9818313E-4,-8.3247107E-4,-7.098564E-4
1583282279738,-0.0024659773,0.0031947712,6.251824E-4
1583282279787,-0.0015896577,8.442118E-4,-1.1193752E-4
1583282279837,3.5724952E-4,-0.0023268014,-0.0012058576
1583282279888,-0.0019978445,0.0023038732,-6.955152E-4
1583282279938,-0.002883736,0.0020804498,-1.4085788E-4
1583282279988,5.449944E-4,-3.0101044E-4,-1.4085788E-4
1583282280038,-7.1730546E-4,-3.995155E-4,-1.4085788E-4
1583282280088,-0.001531817,0.0018187226,3.7904596E-4
1583282280137,8.3801174E-4,-0.0016412977,9.241421E-4
1583282280188,-4.5678206E-4,0.0028334432,-1.3584038E-4
1583282280238,-7.3735986E-4,-3.3646962E-4,-1.4085788E-4
1583282280287,0.0011289376,-3.3646962E-4,3.933874E-4
1583282280338,-2.0548701E-4,-3.3646962E-4,1.2047216E-4
1583282280388,5.8967504E-4,0.0017680065,-0.0011973495
1583282280438,-1.8826942E-4,-0.0011229217,-1.4085788E-4
1583282280487,5.0015282E-5,-3.3646962E-4,-1.4085788E-4
1583282280538,3.5099406E-4,-3.3646962E-4,6.7695277E-4
1583282280588,5.7533314E-4,7.0568034E-4,-1.4085788E-4
1583282280637,-1.7415173E-4,2.4886103E-4,1.5180744E-4
1583282280688,5.9818313E-4,6.6930475E-4,3.620293E-4
1583282280737,-0.0010661219,-3.3646962E-4,-1.4085788E-4
1583282280788,5.9818313E-4,7.2853034E-4,-1.4085788E-4
1583282280838,5.9818313E-4,1.15700066E-4,-4.4727325E-4
1583282280887,2.1728221E-5,-8.250149E-4,-6.2940293E-4
1583282280938,-4.6681706E-4,5.093762E-4,0.0015508346
1583282280987,5.5110897E-4,-3.3646962E-4,-1.8793205E-4
1583282281037,-4.6681706E-4,-6.535826E-4,-8.8874437E-4
1583282281087,7.065886E-4,-2.2806367E-4,4.4584507E-4
1583282281137,-4.957011E-5,-9.842217E-4,6.7765824E-5
1583282281187,-0.001531817,-2.1526776E-4,9.241421E-4
1583282281237,-0.0012011778,1.4033448E-4,5.93503E-4
1583282281287,1.3386179E-4,-5.280748E-4,-1.4085788E-4
1583282281338,5.9818313E-4,0.0017935308,0.001600577
1583282281388,-3.9339298E-4,-0.001254621,-0.0011324335
1583282281437,2.532024E-4,7.2853034E-4,5.491036E-4
1583282281488,1.4773221E-4,7.2853034E-4,7.60044E-4
1583282281538,0.0014824271,-0.0010399576,-0.0010251016
1583282281588,5.9818313E-4,0.0018828143,0.0018998589
1583282281638,5.9818313E-4,0.0010632956,-1.529986E-4
1583282281687,5.9818313E-4,4.7716312E-5,-3.8521877E-4
1583282281737,0.0014967676,8.949456E-4,0.0018227273
1583282281787,5.9818313E-4,-0.0012986604,-0.0021680486
1583282281837,2.253349E-4,3.637839E-5,-8.731289E-5
1583282281888,1.7607003E-4,7.2853034E-4,7.0336834E-4
1583282281938,-3.1404546E-4,-0.0010959264,-0.001053086
1583282281987,0.0015462143,4.945928E-4,8.0717355E-4
1583282282037,2.129476E-4,-0.0014014691,-9.113287E-4
1583282282087,1.8793787E-4,5.6279544E-4,-3.0659325E-4
1583282282138,5.9818313E-4,8.6873723E-4,9.241421E-4
1583282282188,-3.3708382E-4,-0.0011420026,-0.002011391
1583282282237,1.9912585E-4,7.2853034E-4,6.572567E-4
1583282282287,-4.6681706E-4,5.9434213E-5,-6.872413E-4
1583282282337,4.7159987E-4,-0.0012748856,-0.0013324409
1583282282387,4.5482372E-4,0.0015068119,0.0017024237
1583282282438,-5.3419266E-5,-7.498674E-4,-1.4085788E-4
1583282282487,5.9818313E-4,-3.5639852E-5,0.0012249718
1583282282537,-3.5447767E-4,-2.2413023E-4,8.3820894E-5
1583282282587,-3.092375E-4,-1.7888984E-4,-0.0019556987
1583282282638,5.9818313E-4,7.2853034E-4,2.860669E-4
1583282282687,5.9818313E-4,3.1566713E-5,-4.6978472E-4
1583282282738,5.9818313E-4,-3.3646962E-4,-2.3885537E-4
1583282282787,4.2695622E-4,5.573034E-4,7.5291516E-4
1583282282837,-2.5551766E-5,-3.3646962E-4,-1.4085788E-4
1583282282887,5.9818313E-4,3.7429156E-4,5.699033E-4
1583282282937,-3.8234657E-4,7.2853034E-4,-5.638739E-5
1583282282987,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282283037,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282283088,5.9818313E-4,3.8448256E-4,-1.4085788E-4
1583282283138,5.9818313E-4,7.2853034E-4,-1.4085788E-4
1583282283188,5.9818313E-4,5.333144E-4,-1.4085788E-4
1583282283238,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282283288,5.9818313E-4,-3.3646962E-4,5.944362E-4
1583282283338,5.9818313E-4,-3.3646962E-4,-8.04225E-5
1583282283387,5.9818313E-4,-3.3646962E-4,6.853882E-5
1583282283437,5.9818313E-4,-3.3646962E-4,4.4536078E-4
1583282283488,0.001347003,-3.3646962E-4,-1.4085788E-4
1583282283538,6.443241E-4,6.8238936E-4,-1.4085788E-4
1583282283588,5.9818313E-4,5.048029E-4,7.0041465E-4
1583282283637,1.05060404E-4,1.5665311E-4,-1.4085788E-4
1583282283688,2.9634451E-4,-3.463123E-5,6.223037E-4
1583282283738,5.9818313E-4,-0.0013688803,-1.0826904E-4
1583282283788,5.9818313E-4,-9.9045224E-5,-1.4085788E-4
1583282283838,5.9818313E-4,2.2106664E-4,-1.4085788E-4
1583282283887,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282283938,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282283988,5.9818313E-4,-3.3646962E-4,1.11337285E-4
1583282284037,5.9818313E-4,-3.3646962E-4,9.241421E-4
1583282284088,5.9818313E-4,4.5190984E-4,1.3576262E-4
1583282284137,-4.6040257E-4,7.2853034E-4,-1.4085788E-4
1583282284187,3.353695E-4,-5.9928326E-4,-1.4085788E-4
1583282284237,-4.6681706E-4,-8.686157E-4,-1.4085788E-4
1583282284288,3.3546193E-4,-3.3646962E-4,-1.4085788E-4
1583282284337,5.9106713E-4,-0.0013872366,-1.4085788E-4
1583282284387,-4.6681706E-4,4.513748E-4,-1.4085788E-4
1583282284438,7.9959165E-5,-8.8324584E-4,-1.4085788E-4
1583282284487,5.9818313E-4,-5.8505125E-4,-1.4085788E-4
1583282284537,5.7672523E-4,-3.3646962E-4,-1.4085788E-4
1583282284587,-4.6681706E-4,-3.3646962E-4,-1.4085788E-4
1583282284638,9.390386E-5,-3.3646962E-4,-1.4085788E-4
1583282284687,-2.3257732E-4,4.942906E-4,-9.716181E-4
1583282284737,-4.6681706E-4,-3.3646962E-4,-0.0011708741
1583282284787,-4.6681706E-4,-3.3646962E-4,-1.4085788E-4
1583282284837,-4.6681706E-4,-3.3646962E-4,-1.4085788E-4
1583282284887,-4.6681706E-4,-0.001180755,-1.4085788E-4
1583282284938,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282284988,5.9818313E-4,-1.7350074E-5,-1.4085788E-4
1583282285037,9.594718E-6,7.2853034E-4,-1.4085788E-4
1583282285088,3.9181113E-4,-1.3009738E-4,-1.4085788E-4
1583282285138,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282285187,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282285237,5.9818313E-4,-3.3646962E-4,4.5974925E-4
1583282285287,5.9818313E-4,-3.3646962E-4,5.4161996E-5
1583282285337,-3.919464E-4,-3.3646962E-4,-1.4085788E-4
1583282285387,5.9818313E-4,-3.3646962E-4,2.0405184E-4
Time,rotX,rotY,rotZosboxe
1583282275437,5.4298947E-4,-2.2608228E-4,-1.9605132E-4
1583282275487,3.8337964E-4,5.1372685E-4,-1.4085788E-4
1583282275537,1.765415E-5,1.4800159E-4,-1.4085788E-4
1583282275588,0.0013522496,7.2853034E-4,-1.4085788E-4
1583282275638,-3.8502645E-4,-2.955743E-4,-0.0011649623
1583282275688,-4.6681706E-4,-1.075007E-4,-1.4085788E-4
1583282275737,-4.6681706E-4,2.3016147E-4,-1.4085788E-4
1583282275788,-4.6681706E-4,-0.0011021001,-1.4085788E-4
1583282275837,-4.6681706E-4,-3.676759E-4,-1.4085788E-4
1583282275887,5.9818313E-4,7.2853034E-4,-1.4085788E-4
1583282275938,5.9818313E-4,2.1929294E-4,-1.4085788E-4
1583282275988,-1.8092291E-4,4.426362E-4,6.3824793E-4
1583282276037,-4.6681706E-4,-3.1959452E-4,-1.2398232E-4
1583282276087,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282276137,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282276187,5.9818313E-4,4.559434E-4,-1.4085788E-4
1583282276238,5.9818313E-4,-3.3392198E-4,9.2159444E-4
1583282276288,5.9818313E-4,-3.3646962E-4,1.2602285E-4
1583282276338,5.9818313E-4,-3.3646962E-4,3.870232E-4
1583282276387,5.9818313E-4,-3.3646962E-4,-1.4085788E-4
1583282276437,5.9818313E-4,7.17551E-4,-1.4085788E-4
1583282276488,5.9818313E-4,-5.5452343E-5,-1.4085788E-4
1583282276537,5.9818313E-4,1.7789472E-4,-1.4085788E-4
1583282276587,-2.2209762E-4,-3.3646962E-4,-1.4085788E-4
