Time,rotX,rotY,rotZosboxe
1583284556287,-0.47919327,2.77792,-5.6824
1583284556338,-1.0012203,4.645632,-5.6538734
1583284556387,-0.32092384,6.9790015,-4.53385
1583284556438,-1.537626,7.1750493,-3.2694342
1583284556487,-3.0812907,4.4670286,-0.5866482
1583284556538,-0.9481883,2.581523,1.1296188
1583284556587,0.97900915,0.43792853,0.74260575
1583284556637,0.36676478,-3.1585312,0.78351915
1583284556688,-0.6593543,-5.2485976,0.7736956
1583284556738,0.13289098,-6.3275228,1.2039752
1583284556788,0.8929114,-6.973165,1.592266
1583284556837,0.7940701,-6.511133,1.9747294
1583284556887,-0.0139533505,-4.823171,1.8943943
1583284556938,-2.0212631,-2.047742,0.3714608
1583284556987,-1.1442572,2.1350856,-0.5837629
1583284557037,0.2989431,4.9773993,-1.2117376
1583284557087,-0.38867086,5.258985,-1.6542424
1583284557138,0.26341125,5.900148,-1.383389
1583284557187,0.116279885,6.2292075,-0.96221656
1583284557237,0.12264226,4.853921,-0.2134703
1583284557288,-0.23810498,3.020855,0.1731996
1583284557338,-0.49943987,1.3923408,0.34844467
1583284557388,0.06563697,-1.4266932,0.2710976
1583284557437,-0.52927643,-3.94146,0.09122758
1583284557488,-0.11325615,-4.984086,0.6373429
1583284557538,0.8658228,-5.169433,1.2993237
1583284557587,1.2151372,-5.2313075,2.212748
1583284557637,-0.49837622,-4.874024,1.7824017
1583284557688,-1.2943537,-3.1644235,0.44135568
1583284557738,-1.8756807,0.5391403,-0.6473186
1583284557787,0.343083,4.0663137,-0.71651745
1583284557838,1.1479664,4.35176,-1.3218625
1583284557887,0.36988637,5.1403513,-1.1627811
1583284557937,0.07226533,5.3403,-0.96657956
1583284557987,0.030239088,4.8679247,-0.5698182
1583284558037,-0.042076305,3.6822064,-0.06032616
1583284558087,-0.2352156,0.9756041,0.015773606
1583284558138,0.23096372,-1.6398295,0.2521683
1583284558187,0.23354681,-3.6402895,0.45129973
1583284558238,0.54978365,-4.6619887,1.1677372
1583284558287,0.63704574,-4.9875536,1.8949745
1583284558337,-0.041718476,-4.921198,1.972829
1583284558388,0.3315649,-4.238797,1.610972
1583284558437,-0.08768787,-2.6476057,1.0886512
1583284558488,-3.0819166,0.06753866,-0.51431406
1583284558538,-0.22243764,3.5560296,-1.1371466
1583284558587,1.8411715,4.8902965,-1.4701713
1583284558637,-0.49573964,5.186227,-1.6430899
1583284558688,-2.0468862,5.2392864,-1.0700214
1583284558738,-1.8529063,4.5451045,-0.10575628
1583284558788,-0.15870327,3.866782,0.5020226
1583284558838,0.95925426,1.4190083,0.2404214
1583284558888,0.876248,-1.1927159,-0.024323218
1583284558938,0.25356683,-3.225752,-0.15695098
1583284558988,-0.2781572,-4.451818,0.17631727
1583284559038,0.49805155,-5.0776196,0.7217137
1583284559088,1.2219899,-5.2476845,1.3334806
1583284559137,1.0654141,-4.9038086,1.6236589
1583284559187,-0.0025087332,-2.894574,0.8437041
1583284559238,-0.3035776,0.52584726,-0.21625118
1583284559288,-0.18780114,2.7519279,-0.8210956
1583284559337,0.030766562,3.5913465,-1.1011338
1583284559388,-0.45529985,3.9968457,-1.1896377
1583284559437,-0.7925863,4.4823327,-0.97354794
1583284559487,-0.6779134,4.440506,-0.57476187
