Time,accX,accY,accZ
1583282808237,-1.2433285,-8.513893,4.189463
1583282808287,-1.2228439,-8.534329,4.1890235
1583282808338,-1.2033477,-8.561907,4.208983
1583282808387,-1.2076278,-8.5536,4.220419
1583282808437,-1.2121519,-8.525072,4.205386
1583282808487,-1.2548288,-8.524828,4.178693
1583282808538,-1.2421399,-8.555578,4.175295
1583282808587,-1.212328,-8.5409975,4.195664
1583282808638,-1.20545,-8.553842,4.220862
1583282808687,-1.2093583,-8.562113,4.2285867
1583282808738,-1.2242731,-8.504117,4.202685
1583282808787,-1.2541968,-8.514724,4.17401
1583282808838,-1.2017068,-8.6005945,4.188069
1583282808888,-1.222251,-8.536158,4.215095
1583282808938,-1.2270112,-8.512827,4.2201204
1583282808987,-1.2320647,-8.532016,4.189066
1583282809037,-1.2067151,-8.558124,4.141289
1583282809087,-1.2454082,-8.584329,4.1567583
1583282809138,-1.2006994,-8.582764,4.256956
1583282809188,-1.1676041,-8.568403,4.309348
1583282809238,-1.2901472,-8.362006,4.1322203
1583282809288,-1.3987151,-8.344661,4.0061107
1583282809337,-1.1837231,-8.628763,4.090348
1583282809388,-1.154312,-8.628577,4.2089276
1583282809437,-1.1516064,-8.605238,4.2785897
1583282809488,-1.1425267,-8.602684,4.3347697
1583282809537,-1.1550441,-8.45492,4.251008
1583282809588,-1.1881548,-8.509679,4.146093
1583282809638,-1.131013,-8.639464,4.122898
1583282809687,-1.0361862,-8.615957,4.1793823
1583282809737,-1.0398027,-8.627347,4.2576547
1583282809787,-1.0639465,-8.572223,4.2697916
1583282809837,-1.1242641,-8.477113,4.2184987
1583282809887,-1.1646488,-8.569851,4.1701503
1583282809937,-1.1737154,-8.575542,4.125165
1583282809987,-1.1506127,-8.569848,4.1631517
1583282810038,-1.1556151,-8.492574,4.19959
1583282810088,-1.1499618,-8.521459,4.191905
1583282810137,-1.0681838,-8.640681,4.191863
1583282810187,-1.0824941,-8.596882,4.2277474
1583282810238,-1.1152563,-8.509239,4.228878
1583282810287,-1.1228606,-8.516371,4.18172
1583282810337,-1.1251295,-8.619986,4.125066
1583282810387,-1.1189202,-8.563066,4.153176
1583282810438,-1.0705396,-8.557748,4.211231
1583282810487,-1.0126624,-8.635001,4.2539034
1583282810537,-1.056894,-8.556942,4.251066
1583282810588,-1.1068479,-8.5529175,4.2229447
1583282810637,-1.1123273,-8.570222,4.177592
1583282810688,-1.0719287,-8.5476675,4.184919
1583282810738,-1.1048481,-8.56682,4.2223077
1583282810787,-1.0464898,-8.575036,4.213467
1583282810837,-1.1201777,-8.548017,4.1908073
1583282810887,-1.1235454,-8.56742,4.198332
1583282810937,-1.088804,-8.550604,4.206609
1583282810988,-1.0754527,-8.565621,4.2299957
1583282811038,-1.0856295,-8.568981,4.2748814
1583282811088,-1.0869044,-8.534143,4.259919
1583282811137,-1.1499751,-8.5102005,4.2036867
1583282811187,-1.1159492,-8.575413,4.1459227
1583282811238,-1.083387,-8.563209,4.167343
1583282811287,-1.0852954,-8.534136,4.241847
1583282811337,-1.0901239,-8.499049,4.2530603
1583282811388,-1.0413767,-8.546007,4.2592583
1583282811438,-1.026758,-8.638106,4.278364
1583282811487,-1.0479417,-8.605516,4.271623
1583282811537,-0.985829,-8.549141,4.301245
1583282811587,-1.1125591,-8.582537,4.319218
1583282811637,-1.1701174,-8.460376,4.2129936
1583282811687,-1.1969526,-8.49395,4.1407957
1583282811737,-1.2839792,-8.538733,4.1303277
1583282811787,-1.2378279,-8.487067,4.100939
1583282811837,-1.2241918,-8.491338,4.0174203
1583282811887,-1.3736901,-8.462437,3.9684124
1583282811937,-1.2375841,-8.329332,4.0715656
1583282811988,-1.1163667,-8.349037,4.2768426
1583282812038,-0.83963335,-8.70584,4.416192
1583282812087,-0.5305006,-8.82357,4.382177
1583282812137,-0.5964033,-8.737968,4.214839
1583282812188,-0.6092726,-8.685718,4.050666
1583282812237,-0.7694622,-8.614641,4.050447
1583282812288,-0.6965675,-8.54272,4.2228317
1583282812337,-0.6272566,-8.897489,4.2824926
1583282812388,-0.49975815,-8.722956,4.141268
1583282812438,-0.42186195,-8.626293,4.033888
1583282812487,-0.64501494,-8.572425,3.94236
1583282812537,-0.77978194,-8.683644,3.9647348
1583282812587,-0.6339989,-8.636604,4.039447
1583282812637,-0.5282829,-8.787245,4.024749
1583282812688,-0.49666888,-8.941412,3.974875
1583282812738,-0.46534926,-8.626143,4.0817175
1583282812788,-0.90855247,-8.348746,4.17401
1583282812838,-0.61120737,-8.4692,4.2537074
1583282812888,-0.21534681,-8.753132,4.2344346
1583282812937,-0.08369119,-8.841105,4.101329
1583282812988,-0.25221315,-8.669509,3.9852278
1583282813038,-0.66664493,-8.548529,4.0492463
1583282813088,-0.41812688,-8.718101,4.1463013
1583282813138,-0.19774093,-8.789325,4.174429
1583282813188,-0.25261387,-8.674678,4.25766
1583282813238,-0.39270988,-8.814734,3.9323788
1583282813287,-0.5651513,-8.695301,3.9841256
1583282813338,-0.43644246,-8.781081,3.9364054
1583282813388,-0.41953146,-8.925631,3.563982
1583282813437,-0.7333633,-8.911878,4.548398
1583282813487,-0.984333,-8.417,4.6652665
1583282813537,-0.9272225,-8.528216,4.258855
1583282813588,-0.82786274,-8.7136545,3.7068279
1583282813638,-1.0285966,-8.7036705,3.580703
1583282813688,-1.0872967,-8.663513,3.8922658
1583282813737,-1.1608052,-8.524079,3.7976768
1583282813787,-0.96213734,-8.635285,3.8388646
1583282813837,-0.7955991,-8.654881,4.1056757
1583282813887,-0.8894972,-8.733843,3.9691863
1583282813937,-0.92417496,-8.77745,3.9721324
1583282813987,-0.94399637,-8.631122,3.9664962
1583282814038,-0.96116877,-8.566817,4.019807
1583282814087,-0.7590219,-8.46443,4.455133
1583282814138,-0.6902157,-8.405826,4.4244056
1583282814188,-0.6390941,-8.66542,4.539791
1583282814237,-0.65910435,-8.495358,4.610901
1583282814288,-0.67081684,-8.564012,4.3122487
1583282814337,-0.71722573,-8.524944,4.2558007
1583282814388,-0.7798278,-8.637685,4.2472606
1583282814438,-0.7004311,-8.71383,4.257328
1583282814487,-0.76527023,-8.535823,4.2600875
1583282814537,-0.8322759,-8.432889,4.2865987
1583282814587,-0.77175117,-8.645078,4.0697746
1583282814638,-0.83812827,-8.735788,4.0406046
1583282814688,-0.91481286,-8.610556,4.046983
1583282814737,-1.0198736,-8.6248455,4.1754904
1583282814788,-1.1361223,-8.637705,3.9723399
1583282814837,-1.0379313,-8.620535,4.0070906
1583282814887,-1.1100078,-8.624325,4.097208
1583282814937,-1.1179127,-8.605885,4.141506
1583282814988,-1.0777249,-8.550251,4.263954
1583282815038,-1.0177879,-8.427667,4.3196535
1583282815088,-1.0884087,-8.572962,4.1892543
1583282815138,-1.0484293,-8.593551,4.26607
1583282815187,-1.1002162,-8.792365,4.187409
1583282815237,-1.2790917,-8.610291,4.235745
1583282815288,-1.1802351,-8.324227,4.300085
1583282815338,-1.0667126,-8.447108,4.186702
1583282815387,-0.9674391,-8.765257,4.331255
1583282815438,-0.9940969,-8.613582,3.9515402
1583282815488,-1.0652735,-8.459785,4.1436443
1583282815537,-1.1187042,-8.438737,4.243257
1583282815587,-1.0363775,-8.584123,4.244232
1583282815637,-1.009448,-8.647811,4.2005634
1583282815687,-1.1056398,-8.727281,4.0326934
1583282815738,-1.1192551,-8.503258,3.9514453
1583282815788,-1.1515621,-8.555107,3.9483843
1583282815838,-1.0918816,-8.692681,4.001615
1583282815887,-0.99045604,-8.737135,3.9532282
1583282815937,-1.015859,-8.744751,3.9442198
1583282815987,-1.0647599,-8.720295,3.935211
1583282816037,-1.0513072,-8.662405,3.9910302
1583282816088,-1.1249534,-8.641128,3.9873264
1583282816137,-1.2084509,-8.657509,3.8214679
1583282816188,-1.2435044,-8.734674,3.829259
1583282816237,-1.3007271,-8.728573,3.7466187
1583282816287,-1.3249036,-8.808398,3.6984835
1583282816337,-1.3041271,-8.65865,3.8687768
1583282816387,-1.1987664,-8.680743,3.9851513
1583282816438,-1.3148515,-8.565281,4.0182533
1583282816487,-1.2085584,-8.494868,4.1548324
1583282816537,-1.1966102,-8.660291,4.076296
1583282816588,-1.3397926,-8.633054,4.049447
1583282816637,-1.3858,-8.781185,3.9105878
1583282816687,-1.4551609,-8.638033,3.886755
1583282816737,-1.4141855,-8.300775,4.10671
1583282816787,-1.2351822,-8.477207,4.0361633
1583282816838,-1.0202749,-8.782464,3.9829202
1583282816887,-1.0096433,-8.703041,4.1081033
1583282816938,-1.0752709,-8.644395,4.012806
1583282816987,-1.1404452,-8.508404,4.1027246
1583282817037,-1.1071419,-8.592093,4.1286044
1583282817088,-1.249802,-8.5939245,4.246138
1583282817138,-1.3263993,-8.409173,3.9100642
1583282817187,-1.258296,-9.131976,3.2885003
1583282817238,-1.4272695,-8.714403,4.004434
1583282817288,-1.3479112,-8.581156,3.9755294
1583282817337,-1.3262064,-8.5288725,4.1277747
1583282817387,-1.4074166,-8.591868,3.884008
1583282817437,-1.2823157,-8.749388,3.9568422
1583282817488,-1.2916704,-8.651161,3.971688
1583282817537,-1.3805571,-8.717257,4.0889177
1583282817587,-1.5153737,-8.657051,3.9911234
1583282817638,-1.435219,-8.506669,3.9294183
1583282817687,-1.314277,-8.339255,4.0863824
1583282817737,-1.0887127,-8.784491,4.087908
1583282817787,-1.0665665,-8.7231455,3.9374983
1583282817837,-1.1508516,-8.612039,4.034756
1583282817887,-1.1082098,-8.533276,4.1285367
1583282817937,-1.0846382,-8.596518,4.1478863
