Time,accX,accY,accZ
1583282337512,-0.4910511,0.5589232,9.908528
1583282337562,-0.49481484,0.5769333,9.907008
1583282337612,-0.48426852,0.5444255,9.891988
1583282337663,-0.49027786,0.5549448,9.910237
1583282337712,-0.48969474,0.5487145,9.905687
1583282337762,-0.49240756,0.55528533,9.906115
1583282337812,-0.4957377,0.5615363,9.899562
1583282337862,-0.49542716,0.5507737,9.897942
1583282337912,-0.48345372,0.5690864,9.91978
1583282337963,-0.4952395,0.5532613,9.893473
1583282338013,-0.49374956,0.5576932,9.885145
1583282338062,-0.49315828,0.5653054,9.90707
1583282338112,-0.48740232,0.5461435,9.901436
1583282338163,-0.5012324,0.5662123,9.917225
1583282338212,-0.4903215,0.5470718,9.897764
1583282338262,-0.49726352,0.5618455,9.913192
1583282338313,-0.47533065,0.54601777,9.912478
1583282338363,-0.5070105,0.5501987,9.878934
1583282338412,-0.49342763,0.55982506,9.896138
1583282338462,-0.4812256,0.5430729,9.901206
1583282338513,-0.49210662,0.5594396,9.915469
1583282338562,-0.49404597,0.5588214,9.905248
1583282338612,-0.49003085,0.5500281,9.901233
1583282338662,-0.502426,0.55825454,9.912174
1583282338713,-0.47977346,0.53912926,9.902995
1583282338763,-0.5021555,0.5737513,9.917336
1583282338813,-0.4921462,0.55787027,9.907961
1583282338863,-0.48292828,0.5591538,9.909413
1583282338912,-0.4856575,0.5634397,9.902904
1583282338963,-0.4919712,0.5454852,9.91036
1583282339013,-0.49465007,0.54276854,9.906744
1583282339062,-0.5020907,0.55777967,9.906719
1583282339113,-0.46805736,0.55467576,9.920948
1583282339162,-0.4982878,0.5583355,9.908511
1583282339212,-0.4940362,0.5601999,9.908306
1583282339263,-0.48394334,0.5477423,9.900463
1583282339313,-0.49424472,0.55634594,9.905198
1583282339363,-0.49609983,0.5615913,9.911126
1583282339413,-0.48236996,0.5468959,9.901688
1583282339463,-0.4983808,0.56304747,9.916691
1583282339512,-0.4804187,0.5524475,9.901202
1583282339562,-0.48682636,0.55309707,9.910396
1583282339612,-0.49484262,0.5541327,9.906427
1583282339662,-0.4912088,0.53674734,9.904132
1583282339713,-0.49469304,0.56758064,9.917872
1583282339763,-0.48918378,0.5452272,9.89502
1583282339813,-0.49046484,0.55732286,9.924272
1583282339863,-0.4918361,0.55241096,9.9054365
1583282339912,-0.503773,0.5418666,9.93893
1583282339963,-0.48144698,0.5682527,9.883312
1583282340013,-0.48613873,0.5621671,9.827521
1583282340063,-0.49887285,0.5581921,9.890721
1583282340113,-0.48255458,0.56587565,9.889928
1583282340162,-0.4910154,0.54718614,9.985237
1583282340213,-0.4760755,0.5535621,9.864846
1583282340263,-0.5027027,0.5708093,9.946163
1583282340313,-0.4732874,0.533604,9.880616
1583282340362,0.053694963,0.2194409,9.89117
1583282340412,1.5066123,-3.2925782,10.047119
1583282340462,-6.9644213,-0.0023260117,9.911128
1583282340512,-1.3712502,0.32858324,10.847481
1583282340562,-2.543999,4.1983156,13.0518465
1583282340613,0.17961264,4.6714635,10.355566
1583282340662,5.180654,4.030569,6.312272
1583282340713,6.311897,2.5562217,8.522307
1583282340762,7.4956207,2.0359218,7.347215
1583282340813,8.221043,0.59405047,4.0919886
1583282340862,10.8999815,1.2526612,6.6554556
1583282340912,7.5674534,3.184929,5.5789013
1583282340963,7.760685,2.8737917,3.4081445
1583282341013,2.77984,3.4605105,5.747822
1583282341150,-0.60616416,2.1531608,9.616852
1583282341200,-9.084906,1.3654149,6.738229
1583282341250,-14.942885,5.6402345,11.466473
1583282341300,-3.2137508,2.7347507,9.816967
1583282341350,-4.118047,2.5152154,9.235764
1583282341400,-3.266746,2.8180118,9.122345
1583282341450,-0.8720756,2.535204,9.181683
1583282341500,-1.0497217,2.6374526,10.04343
1583282341550,-1.185841,1.612632,9.483772
1583282341600,0.08095558,2.2635489,8.502673
1583282341650,-0.8371309,1.6207924,9.847099
1583282341700,-1.1900182,1.2500622,10.263142
1583282341750,-1.1242893,1.1885118,9.617218
1583282341800,-0.20541471,0.7275211,9.759214
1583282341850,0.37244928,1.3128607,10.6874695
1583282341900,0.9742795,1.1285971,10.271131
1583282341950,-0.6901318,2.415362,10.523304
1583282342000,0.048805684,0.26026818,10.413246
1583282342050,-0.5101911,0.12090331,10.219168
1583282342100,-0.7618625,0.30004072,10.112406
1583282342150,-1.8381279,1.0160075,9.051702
1583282342200,-2.5103798,1.1229076,8.658678
1583282342250,-2.3549004,1.2792926,8.180904
