Time,rotX,rotY,rotZosboxe
1582926009934,-0.0827803,0.21648176,0.6645497
1582926009985,8.4059034E-4,0.4116053,0.6611468
1582926010035,0.067242056,0.72720516,0.5945604
1582926010085,0.09194445,0.88979256,0.5005916
1582926010134,0.0019193972,0.8511732,0.381424
1582926010184,-0.043459684,0.80315745,0.27947184
1582926010234,-0.038155068,0.7551174,0.2137421
1582926010285,-0.1129166,0.73111,0.14757988
1582926010335,-0.25801432,0.62756956,0.04476557
1582926010385,-0.28937387,0.38848662,0.039723903
1582926010435,-0.2515251,0.28589398,0.051072083
1582926010485,-0.24851698,0.2994087,0.062387206
1582926010535,-0.2489992,0.2640148,0.05823958
1582926010585,-0.27730516,0.22551414,0.054481182
1582926010634,-0.27834082,0.21991998,0.050733764
1582926010684,-0.26330766,0.22725283,0.032589916
1582926010735,-0.22449079,0.25734842,0.021448651
1582926010785,-0.17246503,0.26368368,0.019323321
1582926010835,-0.13421147,0.23330282,0.019618679
1582926010885,-0.1021624,0.21330346,0.013069679
1582926010935,-0.073229,0.20676108,-0.01570787
1582926010985,-0.06354897,0.14999914,-0.02679148
1582926011035,-0.042477846,0.089015365,-0.012004024
1582926011085,-0.021360222,0.06180571,0.0021673494
1582926011135,-0.0071342606,0.051425852,0.019062933
1582926011185,-0.0025360314,0.038681846,0.025193905
1582926011235,-0.010071775,0.026355116,0.025193905
1582926011284,-1.1704676E-4,0.030297808,0.024298154
1582926011334,0.04101489,0.039458543,0.03212487
1582926011385,0.07356061,0.058548924,0.04465366
1582926011435,0.08457915,0.054393712,0.04245782
1582926011484,0.053708673,0.04697672,0.043279152
1582926011535,0.029182844,0.09208511,0.06765342
1582926011585,0.017316405,0.11268476,0.080102414
1582926011635,-0.01650539,0.12696236,0.07798526
1582926011684,-0.041344695,0.1340483,0.07737891
1582926011735,-0.049678996,0.104003444,0.073672
1582926011785,-0.048951633,0.064088285,0.04746691
1582926011835,-0.054081295,0.013854038,0.025833644
1582926011884,-0.045997135,5.693957E-4,0.0383763
1582926011935,-0.009040046,0.013103257,0.04084716
1582926011985,0.012448846,-0.0072398447,0.04079805
1582926012035,0.028768547,0.004530603,0.05932343
1582926012084,0.044073235,0.06293194,0.07598174
1582926012134,0.052506115,0.06778912,0.08343105
1582926012185,0.042825907,0.038898733,0.077472515
1582926012234,0.034371335,0.02243796,0.07881154
1582926012285,0.03505094,0.039359283,0.071706966
1582926012335,0.022196017,0.04421885,0.051692527
1582926012385,0.002246298,0.0278456,0.03737103
1582926012435,-0.0136929145,0.0033501713,0.032973528
1582926012485,-0.021709342,-0.02264284,0.021888763
1582926012535,-0.0361808,-0.063325346,0.011348907
1582926012585,-0.054175578,-0.08157921,0.01264027
1582926012635,-0.062792234,-0.10232633,0.0015787154
1582926012685,-0.06975066,-0.12529574,-0.012092707
1582926012735,-0.06952794,-0.13441622,-0.021379825
1582926012785,-0.06618427,-0.14238583,-0.026681393
1582926012834,-0.06165574,-0.13449289,-0.03190756
1582926012884,-0.04780679,-0.10571501,-0.025396347
1582926012935,-0.03379802,-0.08142772,-0.021666095
1582926012985,-0.021779094,-0.06342964,-0.023008265
1582926013035,-0.013685458,-0.063949615,-0.029436953
1582926013085,-0.0049811285,-0.054844063,-0.029271076
1582926013134,0.0012727645,-0.034747664,-0.032284588
1582926013185,0.010057171,-0.017398568,-0.03482185
1582926013234,0.014397518,-0.0173065,-0.035404645
1582926013285,0.019089602,-0.025056213,-0.037403557
1582926013335,0.016998008,-0.011778364,-0.026723016
1582926013385,0.002176554,0.0019887043,-0.014641159
1582926013435,-0.009335296,0.002583603,-0.008102123
1582926013485,-0.032884285,-0.019741714,-0.004978263
1582926013535,-0.020862654,-0.059310693,-0.004975685
1582926013585,0.023159962,-0.053949844,0.0010745118
1582926013634,0.046545677,-0.014044203,-0.009961693
1582926013685,0.040940184,0.00667061,-0.022610024
1582926013735,0.040521774,0.02751771,-0.025159875
1582926013785,0.04476865,0.03177157,-0.017635545
1582926013835,0.040473726,0.028092835,-0.010292557
1582926013884,0.033616412,0.016500296,-0.005288117
