Time,rotX,rotY,rotZosboxe
1583283016037,-0.05215746,0.06617432,0.06795726
1583283016088,-0.16792424,0.27604938,0.16835281
1583283016137,-0.11949122,0.75086546,0.4083914
1583283016188,-0.15375075,1.1040452,0.5155913
1583283016237,-0.6263391,0.8329654,0.21956699
1583283016288,-0.9564506,0.30216986,0.047515184
1583283016338,-0.5728085,0.07320189,5.6698825E-4
1583283016388,-0.871943,0.057391725,-0.10549249
1583283016437,-0.92583454,0.08863827,-0.27275515
1583283016487,-0.973601,0.037149776,-0.21136394
1583283016538,-0.64799315,0.30511168,-0.19232237
1583283016587,-0.3575026,0.4505589,-0.2099231
1583283016637,-0.18554418,0.41533887,-0.18245177
1583283016688,-0.04577429,0.317966,-0.12274632
1583283016738,-0.013422584,0.22862095,-0.010531177
1583283016788,0.018153694,0.13448042,-0.029990286
1583283016838,-0.091971114,0.16054249,-0.14354374
1583283016887,-0.1935928,0.27033067,-0.20924447
1583283016937,-0.1050349,0.26142326,-0.12823641
1583283016987,0.017321613,0.25189233,-0.03884548
1583283017037,-0.012156121,0.22175634,-0.019458413
1583283017088,-0.06777452,0.14106414,-0.04880335
1583283017138,0.047559503,0.19093327,-0.014625196
1583283017188,0.06792331,0.17808796,-0.04087379
1583283017238,-0.14022954,0.12067587,-0.14299756
1583283017288,0.0010539996,0.091499306,-0.0021145744
1583283017338,0.13344184,0.032481533,0.052547485
1583283017387,0.0355009,0.033590265,0.020073649
1583283017438,-0.07728375,-0.006776367,-0.0104681
1583283017487,-0.060331333,-0.05790787,-0.025191158
1583283017538,-0.040543962,-0.066611566,-0.0036092615
1583283017587,0.051840767,-0.06987282,0.036756743
1583283017637,-0.017382167,-0.07477094,-0.014193545
1583283017687,0.042540684,-0.054814216,0.05145861
1583283017737,0.16048774,-0.13235117,0.11100204
1583283017788,0.2649906,-0.16819526,0.18232563
1583283017837,0.19227901,-0.24548627,0.15026753
1583283017887,0.21641205,-0.15116057,0.088951595
1583283017938,0.14607382,-0.12210294,0.0961476
1583283017987,0.13826878,-0.12187008,0.08180879
1583283018037,0.11670255,-0.12475043,-0.028818965
1583283018088,0.0780169,-0.093688816,-0.04759574
1583283018137,0.07218947,-0.10145871,-9.961082E-4
1583283018188,0.11859791,-0.07845622,0.12003362
1583283018237,0.175456,-0.1855586,0.052354652
1583283018287,0.28293914,-0.1928821,0.12160468
1583283018337,0.3113237,-0.1925878,0.066419035
1583283018388,0.29880068,-0.32338428,-0.12221318
1583283018437,0.11071703,-0.077751175,0.002631099
1583283018488,0.35069457,0.15531069,0.2712059
1583283018538,0.3247749,0.26338255,0.24306549
1583283018587,0.016561002,0.3766256,0.003975899
1583283018637,0.055363614,0.20064615,-0.21990594
1583283018688,0.26564255,-0.055536557,-0.36947152
1583283018737,0.16470544,-0.1761385,-0.2893652
1583283018787,-0.033728644,-0.034104113,-0.06445409
1583283018837,0.010054685,0.048776116,-0.04876686
1583283018888,0.029232264,-0.11506386,-0.09400032
1583283018937,-0.05364324,-0.17157905,-0.09180557
