Time,rotX,rotY,rotZosboxe
1583285146625,-0.69938505,-0.5142381,1.2777269
1583285146675,1.5287395,-0.13416271,-0.15125328
1583285146725,2.5823767,-0.33170003,-0.6324805
1583285146775,2.5117087,-0.7607989,-0.2788048
1583285146825,1.0646011,-1.5737689,-0.6831263
1583285146874,-0.6873551,-1.6494751,-1.7099559
1583285146925,2.4223988,-1.8681988,-1.4812442
1583285146975,4.1833544,-1.855951,-1.382779
1583285147025,3.4291255,-0.28810602,-0.209446
1583285147075,-1.8688289,1.0600897,0.27451375
1583285147125,-4.2953563,0.24505752,0.8849186
1583285147175,-5.4368386,0.5341586,-0.21272819
1583285147225,-0.8172319,0.06410826,0.21342644
1583285147275,0.8694606,-0.2954272,0.32180563
1583285147325,-3.2646775,0.9490247,-0.68474084
1583285147375,-6.56661,1.4190422,-0.57557386
1583285147425,-5.592542,1.4008605,0.058973078
1583285147475,-3.3310852,1.0536144,0.6305854
1583285147525,-1.3027611,0.40777367,0.40906468
1583285147575,-0.13988991,0.4873839,-0.23672232
1583285147625,-0.07940793,0.6600647,-0.09414251
1583285147675,-0.5206872,0.33438295,-0.19225283
1583285147725,-0.8876335,-0.15009138,-0.03430903
1583285147775,-0.89060134,-0.004324583,-0.057387937
1583285147825,-0.7241561,-0.263766,-0.23857522
1583285147875,-1.1953089,0.01112557,-0.09433547
1583285147925,-1.7063787,0.36806807,0.020553514
1583285147975,-1.7562475,0.4052434,0.15782928
1583285148025,-0.75544304,0.18830396,0.4161682
1583285148075,-0.0761323,-0.029899923,0.3154422
1583285148124,-0.4908468,-0.067264184,0.25739852
1583285148175,-0.38618338,-0.0217644,-0.05576168
1583285148225,0.09100231,-0.006501367,-0.15222064
1583285148275,-0.28063297,-0.009125443,-0.21015191
1583285148324,-0.43238407,0.066306666,-0.3373703
1583285148375,-0.09845902,0.13667254,0.17349555
1583285148425,-0.03397396,0.11919682,0.020942368
1583285148475,-0.57514584,0.1354585,-0.108204305
1583285148525,-0.43098086,0.15233324,0.047638085
1583285148575,-0.27387357,0.34003282,0.19042253
1583285148625,-0.4370582,0.49553975,0.35305044
1583285148675,-0.6094779,0.1531632,0.044111665
1583285148725,-0.97349715,0.019234141,-0.2898489
1583285148775,-0.42928007,-0.07384336,0.20450033
1583285148825,-0.023630241,-0.097515464,0.61459213
1583285148875,0.0019781902,-0.43838516,1.8955426
