Time,rotX,rotY,rotZosboxe
1583284136088,-0.68846256,-4.7986913,-1.8534054
1583284136137,-0.40974483,-4.1841464,-2.238588
1583284136188,-1.7193334,-1.58893,-3.167882
1583284136238,-1.4581114,2.586395,-3.5949945
1583284136288,1.1079233,5.27895,-3.327315
1583284136337,1.0285206,5.9390864,-3.9249861
1583284136387,-1.281581,6.355677,-3.67338
1583284136437,-1.8159192,6.5443687,-2.0137928
1583284136487,-1.9851607,4.725548,-0.3466272
1583284136538,-1.1093888,3.2253106,-0.0144119505
1583284136587,0.8515712,0.17369206,0.23369466
1583284136637,0.5208929,-3.3062196,0.40672305
1583284136687,-0.35342625,-5.558907,0.5372371
1583284136737,0.43582907,-5.919572,1.1640781
1583284136787,0.08614264,-6.1201572,1.5455548
1583284136838,-0.09026962,-6.093761,1.9464504
1583284136888,-2.994488,-4.5894074,0.48819366
1583284136938,-1.045811,1.6721404,-0.98943055
1583284136988,1.2080787,5.5685797,-0.8569117
1583284137038,0.6048889,7.0230927,-1.3462867
1583284137087,0.83059806,7.3800716,-1.2203382
1583284137138,-1.5262192,5.489959,-0.6712432
1583284137188,-3.258648,3.6276827,-0.10612578
1583284137237,-1.0983558,2.1186047,0.36866197
1583284137287,1.3559031,-0.59191877,0.26670805
1583284137337,0.69478416,-3.7065728,-0.37737724
1583284137387,1.0394379,-5.8083897,0.055322003
1583284137438,2.1855814,-6.364265,1.049342
1583284137487,2.574904,-6.5295773,2.1171403
1583284137537,-0.16945961,-5.6315165,2.2247274
1583284137588,-3.5164545,-3.3323426,0.18426834
1583284137638,-2.0148044,0.83516306,-0.45571598
1583284137687,1.3007462,4.984619,-0.0336143
1583284137738,0.55978537,5.9230595,-0.48887184
1583284137788,0.17530791,6.2471976,-0.45041552
1583284137837,-0.9741001,5.8331337,-0.47033915
1583284137888,-2.4340189,3.6829145,0.11825265
1583284137938,-0.5657803,2.109755,1.0106065
1583284137987,0.46217468,-0.009605924,0.33900434
1583284138038,0.42634338,-2.6250262,-0.4224628
1583284138087,0.71184266,-4.631788,-0.29158095
1583284138138,2.1329165,-5.4687557,1.0195272
1583284138187,2.2184541,-5.473097,2.5229015
1583284138237,0.8149041,-5.5050826,2.7194505
1583284138288,-1.2906286,-3.4871254,0.45966887
1583284138338,-0.6624253,0.57303804,-1.003576
1583284138387,0.55695903,3.3875735,-1.7919706
1583284138438,0.43035004,4.6732783,-1.9991236
1583284138487,-0.12877926,5.026649,-1.9798851
1583284138537,0.2565631,4.939578,-1.5170237
1583284138587,0.74739033,4.508417,-0.42575642
1583284138637,1.2106104,3.2621665,0.24524878
1583284138688,0.23434663,1.5209888,-0.48580474
1583284138737,-0.65437764,-0.9857686,-0.25158474
1583284138787,-1.4611808,-3.2001283,0.41130313
1583284138837,-2.167785,-4.5140724,0.5714669
1583284138887,-0.48662496,-5.413504,1.0236317
1583284138938,0.3063653,-4.880873,1.5860865
1583284138988,-1.1749862,-4.673093,0.5647924
1583284139037,-1.3444968,-2.4501963,-0.5527704
1583284139088,-1.1648719,0.2591785,-0.90178216
1583284139138,0.5677784,3.8364422,-1.0045595
1583284139187,1.4354966,4.8297276,-0.85799
1583284139238,0.011153364,5.4467645,-0.84455997
1583284139288,-1.488665,5.3923254,-0.5523803
1583284139338,-1.7049905,3.6197572,0.42321008
1583284139388,-0.83601713,2.379273,0.5965393
1583284139437,0.5516785,0.99755174,0.42102355
1583284139487,0.8745405,-1.6439929,0.0994696
1583284139537,-0.38074479,-3.2807913,-0.24683784
1583284139587,0.80812204,-4.3515654,0.2957927
1583284139637,1.190583,-4.7346773,1.0552795
1583284139687,-0.5576431,-4.2724457,0.67712796
1583284139738,0.72538114,-3.4159002,0.42880324
1583284139787,0.99261147,-3.6424134,0.67652583
1583284139837,-0.97284627,-3.5253696,1.6281552
1583284139887,0.7587198,-1.8634222,3.3912513
1583284139937,2.3160574,0.59446687,4.3782997
1583284139988,3.1541173,2.661176,3.7271347
1583284140038,3.5047078,3.6579769,2.097399
1583284140088,3.5697877,4.0238843,0.830661
1583284140138,3.5060487,3.2875686,-0.6897353
1583284140187,2.2763906,2.3906658,-1.474679
1583284140238,1.2566506,1.5435866,-1.1293784
1583284140287,2.9146228,1.3445692,-0.32714576
1583284140337,0.16966072,0.27599832,0.6087706
1583284140387,-1.8136979,-0.65924937,0.58382744
1583284140438,-1.087911,0.51923305,-0.06335091
1583284140488,-0.63002867,0.54501003,-0.21314625
1583284140537,0.5441384,0.12919925,-0.20956007
1583284140587,0.5479417,0.05083691,-0.1247803
1583284140637,-0.05867572,-0.0514983,0.044530284
1583284140687,0.09983852,0.11552272,0.18895042
1583284140737,0.38558286,0.27288666,0.16079317
1583284140788,0.33426085,0.14336407,0.024588872
1583284140838,0.15151694,0.017543076,-0.06284811
1583284140888,0.06963469,-0.032395657,-0.08046786
1583284140938,0.021418024,-0.058848146,-0.09549488
1583284140988,0.024567876,-0.032731798,-0.05697835
1583284141037,0.01571491,0.01791612,-0.002622689
1583284141088,0.0017094016,0.01617908,0.0073197987
1583284141137,0.0058165016,-0.016108463,-0.0094405
1583284141188,0.02187933,-0.016574437,-0.007815773
1583284141237,0.020346928,9.01273E-4,-0.0075305756
1583284141288,0.032782152,0.009613469,-0.0019083342
1583284141338,0.050137665,0.013462534,0.005108905
1583284141388,0.053236183,0.013912726,0.019797437
1583284141437,0.03780411,0.0015774444,0.013267603
1583284141487,0.022394553,0.0025456029,-9.1327867E-4
1583284141537,0.011576242,8.1247604E-4,-0.006960719
1583284141587,0.014904951,1.4903303E-4,-0.00394315
1583284141637,0.018617027,-0.0017317389,0.008036231
1583284141687,0.012488845,-0.0048513343,0.0045131277
1583284141737,0.010114369,0.00528543,1.0743295E-4
1583284141788,0.009300783,0.013003532,0.010850556
1583284141837,0.008114745,0.019417977,0.017624699
1583284141888,0.016305361,0.007979952,0.016758706
1583284141937,0.013047338,0.0053391173,0.011077482
1583284141987,0.0013493514,0.007870603,-2.5407248E-4
1583284142037,-0.0022504842,4.1560316E-4,-0.008792727
1583284142087,0.008591193,7.202383E-4,-7.824898E-4
1583284142137,0.0019159988,3.3125514E-4,0.0037796993
1583284142187,-0.006426085,0.00355807,0.0037796993
1583284142238,-0.009217938,0.0030154749,2.600837E-4
1583284142288,-0.010043577,-0.008104397,-0.0048594205
1583284142338,-0.0030283257,-0.0069261934,-0.002021199
