Time,rotX,rotY,rotZosboxe
1583285416862,1.8723228E-4,-3.705779E-4,0.0013040039
1583285416912,-3.008499E-4,1.175045E-4,-3.0388124E-5
1583285416963,-1.1964701E-4,-6.369827E-5,-6.0730614E-4
1583285417012,1.8723228E-4,-3.705779E-4,4.208535E-4
1583285417063,1.8723228E-4,-3.705779E-4,2.2449484E-4
1583285417113,-3.1600532E-4,1.3265992E-4,-1.0406878E-4
1583285417162,-1.0449055E-4,6.944225E-4,4.5769382E-4
1583285417213,-8.560831E-4,6.944225E-4,-5.856217E-4
1583285417262,-6.1122584E-5,4.4606766E-4,-3.5895128E-4
1583285417313,-8.777677E-4,-3.705779E-4,-6.070081E-5
1583285417362,-8.777677E-4,-3.705779E-4,-6.0730614E-4
1583285417412,1.8070464E-4,6.878949E-4,-6.0730614E-4
1583285417462,9.889224E-4,6.944225E-4,-3.439961E-4
1583285417512,1.8723228E-4,6.944225E-4,4.5769382E-4
1583285417562,-6.639452E-4,0.0015456001,4.5769382E-4
1583285417612,0.0012522325,-3.705779E-4,-6.0730614E-4
1583285417663,9.146329E-4,-3.705779E-4,-2.6970683E-4
1583285417712,1.8723228E-4,2.3706071E-4,4.5769382E-4
1583285417763,-6.9044495E-4,-1.8325495E-4,-4.1998364E-4
1583285417813,-8.777677E-4,6.944225E-4,-6.0730614E-4
1583285417862,-5.250118E-4,3.416664E-4,-2.5455002E-4
1583285417913,1.8723228E-4,2.5221705E-4,4.5769382E-4
1583285417962,1.8723228E-4,6.944225E-4,4.5769382E-4
1583285418013,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285418063,-1.806796E-4,-2.6659109E-6,-2.781297E-4
1583285418113,-8.777677E-4,5.6471676E-5,-0.0010343555
1583285418163,3.0222E-5,-3.705779E-4,3.0068355E-4
1583285418212,7.420324E-5,-2.5754888E-4,3.446648E-4
1583285418263,-8.777677E-4,3.113551E-4,-2.2423873E-4
1583285418312,-2.2466085E-4,2.8252928E-4,0.001110801
1583285418363,-7.3591294E-4,6.944225E-4,-3.235964E-4
1583285418412,-7.49583E-4,-3.705779E-4,-6.0730614E-4
1583285418462,1.8723228E-4,-3.705779E-4,-2.0938646E-4
1583285418512,8.5468043E-4,-3.705779E-4,-2.0975433E-4
1583285418562,3.1402742E-4,-0.001308783,3.308989E-4
1583285418613,-8.777677E-4,-3.705779E-4,0.0013710852
1583285418662,-4.5612047E-4,-7.9222536E-4,-3.856006E-4
1583285418712,1.8723228E-4,-7.438911E-4,-9.806193E-4
1583285418763,1.8723228E-4,5.918839E-4,3.551552E-4
1583285418812,-7.110032E-4,-3.705779E-4,2.9092934E-4
1583285418863,-2.4957128E-4,-3.705779E-4,-6.0730614E-4
1583285418912,-1.7092552E-4,-3.705779E-4,9.953603E-5
1583285418962,0.0011641142,-3.705779E-4,4.5769382E-4
1583285419013,-6.958465E-4,-1.8865662E-4,-6.0730614E-4
1583285419063,1.8723228E-4,2.4246285E-4,-6.0730614E-4
1583285419112,-5.347668E-4,-3.705779E-4,-6.0730614E-4
1583285419163,-8.777677E-4,6.214599E-4,-6.0730614E-4
1583285419212,1.8723228E-4,4.9734535E-4,2.6061712E-4
1583285419262,1.8723228E-4,-3.705779E-4,-6.0730614E-4
1583285419313,1.8723228E-4,3.6657695E-4,1.2984825E-4
1583285419363,1.8723228E-4,-3.127721E-4,-5.4950034E-4
1583285419413,0.0010406532,-0.0012239986,2.4611456E-4
1583285419463,1.8723228E-4,-3.705779E-4,-6.0730614E-4
1583285419513,9.3872903E-4,-0.0011220747,-6.0730614E-4
1583285419562,2.3069757E-4,-4.140432E-4,4.1422853E-4
1583285419612,-7.2710274E-4,-0.0012849132,4.5769382E-4
1583285419663,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285419713,-5.028107E-4,-3.705779E-4,4.5769382E-4
1583285419763,8.231483E-5,5.895053E-4,4.5769382E-4
1583285419813,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285419862,1.8723228E-4,6.4582564E-5,4.5769382E-4
1583285419913,1.8723228E-4,6.944225E-4,-2.480452E-4
1583285419963,1.8723228E-4,6.944225E-4,-6.0730614E-4
1583285420013,1.8723228E-4,-3.705779E-4,-4.2702863E-4
1583285420062,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285420112,-5.3312303E-4,3.4977775E-4,-2.6266137E-4
1583285420162,1.12627284E-4,6.944225E-4,3.8308883E-4
1583285420213,1.8723228E-4,3.035562E-4,0.0015226942
1583285420262,6.523492E-4,-9.7046094E-4,5.924604E-4
1583285420312,5.175361E-4,-3.705779E-4,-0.0013420023
1583285420362,1.8723228E-4,-3.705779E-4,3.3716485E-4
1583285420413,0.0012522325,-0.0014355779,4.5769382E-4
1583285420462,7.7241927E-4,-9.5576467E-4,4.5769382E-4
1583285420512,-5.6262047E-4,3.7927506E-4,4.5769382E-4
1583285420562,-8.777677E-4,-3.2546883E-4,-0.001582088
1583285420613,1.8723228E-4,-3.705779E-4,-3.8556755E-5
1583285420663,1.8723228E-4,-3.705779E-4,0.0020771082
1583285420712,-6.3722034E-4,4.5387493E-4,1.14336144E-4
1583285420763,-8.777677E-4,-3.705779E-4,-0.0015838302
1583285420812,-5.7823665E-4,-7.1046874E-5,9.236322E-4
1583285420862,1.8723228E-4,6.944225E-4,-6.0730614E-4
1583285420912,1.8723228E-4,-1.4518714E-4,2.3230305E-4
1583285420963,1.4180469E-4,6.4899493E-4,0.0014318391
1583285421013,-5.630808E-4,-3.705779E-4,-2.9261922E-4
1583285421063,7.7195803E-4,-3.705779E-4,-1.2703193E-4
1583285421112,-4.5729696E-4,-3.705779E-4,2.4745846E-4
1583285421162,1.8723228E-4,-3.705779E-4,3.9788987E-4
1583285421212,-1.4261005E-4,-3.705779E-4,-9.3714846E-4
1583285421262,-8.777677E-4,2.2930419E-4,-4.725419E-4
1583285421312,-8.511357E-6,-1.748344E-4,4.5769382E-4
1583285421362,1.8723228E-4,-3.705779E-4,-6.0730614E-4
1583285421413,5.3141674E-4,-3.705779E-4,8.106278E-5
1583285421463,6.3753885E-4,2.4411594E-4,0.0015226942
1583285421513,1.8723228E-4,6.944225E-4,-2.4610665E-4
1583285421563,-0.0017645913,-4.596659E-4,-5.1821815E-4
1583285421612,1.8723228E-4,-0.0010787887,1.0090461E-4
1583285421662,-4.395966E-4,-3.705779E-4,-6.0730614E-4
1583285421712,1.909968E-5,-3.705779E-4,2.8956123E-4
1583285421763,-8.777677E-4,5.932534E-4,-6.0730614E-4
1583285421813,-1.3387518E-4,-3.705779E-4,-2.3536012E-4
1583285421862,6.1024737E-4,2.7140742E-4,4.5769382E-4
1583285421912,-7.2479167E-4,-2.1760166E-4,-4.543299E-4
1583285421962,7.0168986E-5,5.77359E-4,-4.902426E-4
1583285422012,-8.777677E-4,-3.705779E-4,7.059239E-5
1583285422062,-2.2062648E-4,-3.705779E-4,-6.0730614E-4
1583285422113,1.8723228E-4,-0.0012977575,3.1987345E-4
1583285422163,1.8723228E-4,-3.705779E-4,3.2557594E-4
1583285422212,5.8898295E-4,-3.705779E-4,-6.0730614E-4
1583285422262,5.804497E-4,3.012051E-4,6.447639E-5
1583285422312,1.8723228E-4,-2.4709944E-4,4.5769382E-4
1583285422362,1.8723228E-4,-2.2401707E-4,-6.0730614E-4
1583285422412,1.8723228E-4,2.7750432E-4,-6.0730614E-4
1583285422462,-4.9969566E-4,-3.705779E-4,-6.0730614E-4
1583285422513,7.8909216E-5,5.8609946E-4,3.4937076E-4
1583285422563,1.8723228E-4,-2.0886166E-4,2.9597757E-4
1583285422612,1.8723228E-4,2.8453767E-4,-6.0730614E-4
1583285422662,1.8723228E-4,2.7438952E-4,3.7661288E-5
1583285422713,1.8723228E-4,-2.2058468E-4,4.5769382E-4
1583285422763,6.7187124E-5,-3.705779E-4,4.5769382E-4
1583285422812,-8.777677E-4,-3.705779E-4,4.5769382E-4
1583285422862,-2.1764438E-4,-3.705779E-4,4.5769382E-4
1583285422912,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285422962,1.8723228E-4,-3.705779E-4,4.5769382E-4
1583285423012,-2.1800876E-4,-3.705779E-4,5.245302E-5
1583285423062,-2.0248804E-4,-3.705779E-4,-6.0730614E-4
1583285423112,1.8723228E-4,-3.705779E-4,3.3801328E-4
1583285423163,3.768981E-5,-3.705779E-4,4.5769382E-4
1583285423213,-4.5818568E-4,4.900433E-5,8.7727606E-4
1583285423262,-5.0238846E-4,4.8014335E-6,8.3307317E-4
1583285423312,8.189201E-5,-0.0013302378,4.5769382E-4
1583285423363,2.2533E-5,-2.0587863E-4,4.5769382E-4
1583285423412,-4.4303015E-4,6.944225E-4,2.295617E-5
1583285423462,0.0015967864,-7.151319E-4,-0.0013120831
1583285423512,0.002317232,-0.0014355779,-6.9748936E-4
1583285423563,1.8723228E-4,8.742772E-4,9.798398E-5
1583285423612,1.8723228E-4,8.7030977E-4,-0.0012277497
1583285423662,8.960039E-4,-3.705779E-4,1.01465266E-4
1583285423713,0.0012522325,6.0905097E-4,-5.219346E-4
1583285423762,-0.0017579586,-0.0010659597,-2.3768796E-4
1583285423813,-8.777677E-4,2.3924978E-4,0.0015226942
1583285423863,-1.53022E-4,-3.705779E-4,-6.51543E-4
1583285423912,-0.0018023356,-3.705779E-4,-6.775223E-4
1583285423962,-0.0013432973,4.945989E-4,0.0023878706
1583285424012,3.1250773E-4,-3.705779E-4,5.829693E-4
1583285424063,-8.777677E-4,-0.0011104792,1.3259519E-4
1583285424113,1.3217295E-4,-4.2563723E-4,0.002477576
1583285424162,-2.6932801E-5,-1.5641283E-4,2.4352875E-4
1583285424213,-8.777677E-4,6.944225E-4,-1.2310268E-4
1583285424262,6.3187385E-4,-6.0398597E-5,4.5769382E-4
1583285424313,0.0012522325,-3.705779E-4,4.5769382E-4
1583285424362,-8.777677E-4,6.944225E-4,4.5769382E-4
1583285424412,-3.784079E-4,1.9506272E-4,-4.1665975E-5
1583285424462,1.8723228E-4,-3.705779E-4,-6.0730614E-4
1583285424512,-8.5222546E-4,6.6888006E-4,-6.0730614E-4
1583285424562,1.8723228E-4,6.944225E-4,4.5769382E-4
1583285424612,-3.574727E-4,6.944225E-4,-8.701114E-5
1583285424662,-3.4186873E-5,-1.4915876E-4,2.3627467E-4
1583285424712,-8.291486E-4,-0.0013383399,4.090746E-4
1583285424763,1.8723228E-4,6.944225E-4,-9.259647E-4
1583285424812,1.8723228E-4,1.0572467E-4,-0.0010836085
1583285424863,-6.7150407E-4,-3.705779E-4,0.0011101672
1583285424912,1.8723228E-4,-3.705779E-4,-6.0730614E-4
1583285424963,-1.4658191E-4,-3.6763493E-5,6.032223E-5
1583285425013,-8.777677E-4,6.944225E-4,9.1884006E-4
1583285425062,-3.8755825E-6,-1.7947005E-4,4.5769382E-4
1583285425112,1.8723228E-4,-3.705779E-4,-5.291896E-4
1583285425162,1.8723228E-4,-3.705779E-4,8.0585014E-4
1583285425212,1.8723228E-4,-3.705779E-4,9.044991E-4
1583285425263,1.8723228E-4,5.176561E-4,-4.3054018E-4
1583285425312,-7.8449445E-4,-2.7730456E-4,-5.140328E-4
1583285425362,1.8723228E-4,3.311108E-4,4.5769382E-4
1583285425412,1.8723228E-4,-0.001003929,4.5769382E-4
1583285425462,1.8723228E-4,-5.3218845E-4,-4.456956E-4
1583285425513,1.8723228E-4,-3.705779E-4,5.660397E-4
1583285425562,1.8723228E-4,7.3644333E-6,0.0011447519
1583285425612,1.8723228E-4,4.641153E-5,4.5769382E-4
1583285425662,1.8723228E-4,-3.705779E-4,-4.1681342E-4
1583285425712,1.8723228E-4,-3.705779E-4,3.8751028E-4
1583285425762,-1.5349139E-4,-2.985401E-5,-6.0730614E-4
1583285425813,-8.777677E-4,6.944225E-4,-6.0730614E-4
1583285425862,2.4797628E-6,-1.858254E-4,2.729413E-4
1583285425913,1.0194548E-4,-2.852911E-4,4.5769382E-4
1583285425962,-8.777677E-4,3.390964E-4,4.5769382E-4
1583285426012,-2.524032E-4,-3.705779E-4,4.5769382E-4
1583285426063,1.8723228E-4,-3.705779E-4,4.5769382E-4
