Time,rotX,rotY,rotZosboxe
1583285266725,0.025233502,-0.13183208,0.045513883
1583285266774,-0.02744216,-0.10529013,0.0037136292
1583285266825,-0.020662472,-0.23897193,0.08102307
1583285266875,0.32364345,-0.7450218,0.23200583
1583285266925,0.009290645,-1.7549123,0.633135
1583285266975,-0.686791,-2.0328965,1.1284028
1583285267025,-0.4551801,-2.3452327,1.4888297
1583285267075,0.1381747,-1.5565925,0.9768244
1583285267125,0.4069146,-0.19505607,0.18772665
1583285267175,-0.28648767,0.57819104,-0.3836266
1583285267225,0.1444693,0.4054152,-0.30315906
1583285267275,-0.4089173,-0.43530497,0.11649385
1583285267325,-0.5124857,0.13229318,-0.23474598
1583285267375,-0.35582405,0.85148704,-0.6201119
1583285267425,-0.011637447,0.3695834,-0.19137666
1583285267475,0.15689696,-0.51499045,0.3493366
1583285267525,-0.0849822,-0.43642294,0.24033883
1583285267575,-0.11689396,0.33638665,-0.2584925
1583285267625,-0.14426033,0.39393538,-0.2772
1583285267675,0.09865506,-0.09827757,0.08187121
1583285267725,-0.04370247,-0.3654984,0.22743006
1583285267775,0.0040321397,0.075129636,-0.04015519
1583285267825,6.697406E-4,0.24692741,-0.16293338
1583285267875,-0.030290946,-0.08416492,0.023307983
1583285267925,-0.0343093,-0.1391822,0.062154997
1583285267975,0.0848476,0.023397844,0.005436115
1583285268025,0.0035445928,-0.10048314,0.09479144
1583285268075,-0.11266198,0.17853457,-0.08983612
1583285268125,-0.25528538,0.43222743,-0.27788955
1583285268175,-0.050725147,0.42258507,0.08545874
1583285268225,-0.42588365,0.6013397,-0.08546032
1583285268275,-0.11289274,0.6314959,-0.20416582
1583285268325,-0.4026051,0.48284447,-0.33865333
1583285268375,-0.27682966,0.6249242,-0.33656856
1583285268425,-0.2548046,0.7403157,-0.46043208
1583285268475,-0.32640833,0.70007384,-0.29980144
1583285268525,-0.07543753,0.51971406,-0.061565693
1583285268575,0.44721583,-0.38623545,0.32238853
1583285268625,0.1299474,-0.84813595,0.4193463
1583285268675,0.06476243,-0.09721708,0.29399845
1583285268725,-0.011417411,-0.14454634,0.17736346
1583285268774,0.0016256659,-0.54552543,0.09880096
1583285268825,-0.18912542,-0.49010068,0.114277944
1583285268875,-0.4286001,-0.058836088,0.061576072
1583285268925,-0.1685793,-0.062560335,0.07921079
1583285268975,0.02099487,-0.3161783,0.031554565
1583285269025,-0.20545223,-0.017325774,-0.06897628
1583285269075,-0.120318055,-0.23166749,0.05647755
1583285269125,0.0633816,-0.64741564,0.28846768
1583285269175,0.034220178,-0.074937716,0.081804425
1583285269225,-0.028345836,0.07310008,-0.06741403
1583285269275,0.024607487,0.3735119,-0.2203387
1583285269325,-0.12477407,0.01183114,-0.118607014
1583285269375,-0.17600837,0.11770412,-0.18121788
1583285269425,-0.1936263,0.3274122,-0.25769195
1583285269475,-0.23550464,0.0680277,-0.08239533
1583285269525,-0.1652586,0.020224119,-0.11406687
1583285269575,-0.25985387,0.10717282,-0.19793591
1583285269625,-0.15114777,0.030486828,-0.13953164
1583285269674,-0.16451725,0.07803345,-0.09138906
1583285269725,-0.24098794,-0.08235829,-0.007989507
1583285269775,-0.397717,-0.24100396,-0.04355293
1583285269825,-0.26972118,0.20397191,-0.023963155
1583285269875,-0.22521695,-0.17216223,-0.03576334
1583285269925,0.12874654,-0.15539443,0.08479118
