Time,accX,accY,accZ
1582926316042,0.1946645,4.776811,7.8558936
1582926316061,-0.5862685,4.944496,5.362178
1582926316080,-0.636574,5.1864414,8.521843
1582926316101,-0.6725065,5.097808,7.5828066
1582926316122,0.0461435,4.585171,6.406616
1582926316141,0.1227995,5.2918434,7.556456
1582926316162,-0.962362,6.0631943,7.67144
1582926316182,-0.95278,6.4273105,6.7012625
1582926316202,-1.4294845,5.7805257,5.884397
1582926316221,-1.5348865,5.1193676,5.8532553
1582926316242,-1.704967,4.7983704,6.5575323
1582926316261,-1.206703,3.90964,7.714559
1582926316280,-2.356543,5.275075,6.267677
1582926316302,-4.938892,4.657036,10.086104
1582926316321,-3.4081676,2.026777,15.521494
1582926316340,-1.700176,2.8196876,14.845963
1582926316361,-1.9756585,3.138289,9.939979
1582926316380,-2.34217,3.3419065,3.896132
1582926316401,-1.71934,2.2878864,7.04861
1582926316420,-0.928825,0.742789,11.832423
1582926316441,-1.0222495,1.121278,10.201088
1582926316460,-1.14442,0.7691395,8.184077
1582926316479,-1.307314,-1.7700905,10.25858
1582926316500,-2.0068,-2.8816025,12.38818
1582926316520,-0.991108,-1.135283,12.098324
1582926316541,-1.211494,1.2338665,11.101796
1582926316560,-2.255932,1.106905,9.559094
1582926316579,-3.640531,-0.3040445,8.22001
1582926316600,-3.3075564,-0.718466,8.488305
1582926316620,-1.949308,-0.1148,10.054962
1582926316640,-1.786414,1.1572105,10.723307
1582926316659,-2.600884,4.863049,10.553226
1582926316682,-2.8476205,3.138289,9.733966
1582926316701,-4.632268,-4.4051404,11.592874
1582926316720,-2.5793245,-0.215411,9.511184
1582926316739,-1.8558835,1.08295,9.302775
1582926316760,-4.948474,0.3187855,8.797325
1582926316780,-3.9232,0.234943,9.968724
1582926316800,-2.8428295,-1.489817,9.49202
1582926316819,-1.9517035,0.680506,9.865718
1582926316838,-2.030755,0.848191,9.942374
1582926316860,-1.273777,0.3379495,9.079994
1582926316879,-0.2988085,-1.16882,11.02514
1582926316899,-0.488053,-0.7735625,11.652761
1582926316918,0.0748895,0.6014545,9.139881
1582926316940,0.906128,-0.2752985,6.967163
1582926316958,1.3061765,0.306808,10.272953
1582926316978,0.0461435,0.4050235,9.724383
1582926316999,-0.123937,0.292435,10.088499
1582926317018,-0.1981975,0.4193965,9.959143
1582926317038,-0.4233745,0.5295895,9.947165
1582926317058,-0.6341785,0.5295895,10.11485
1582926317078,-0.6916705,0.5679175,10.047776
1582926317099,-0.694066,0.5774995,10.064545
1582926317119,-0.6293875,0.565522,10.054962
1582926317138,-0.502426,0.560731,9.959143
1582926317158,-0.382651,0.4960525,9.865718
1582926317177,-0.2988085,0.445747,9.793853
1582926317198,-0.2461075,0.417001,9.741152
1582926317218,-0.229339,0.407419,9.765107
1582926317238,-0.23413,0.4289785,9.817808
1582926317258,-0.258085,0.4529335,9.894464
1582926317276,-0.291622,0.4529335,9.956747
1582926317298,-0.3467185,0.46012,9.951956
1582926317318,-0.368278,0.4577245,9.911233
1582926317338,-0.373069,0.4529335,9.918419
1582926317358,-0.344323,0.455329,9.906442
1582926317377,-0.3035995,0.4625155,9.894464
1582926317398,-0.272458,0.4433515,9.913628
1582926317417,-0.2652715,0.440956,9.863322
1582926317438,-0.2892265,0.4433515,9.836972
1582926317457,-0.3083905,0.4337695,9.863322
1582926317476,-0.334741,0.450538,9.899255
1582926317497,-0.315577,0.450538,9.935187
1582926317517,-0.310786,0.4529335,9.94477
1582926317538,-0.3035995,0.440956,9.937583
1582926317557,-0.2892265,0.436165,9.889673
1582926317576,-0.277249,0.440956,9.832181
1582926317597,-0.2892265,0.436165,9.856136
1582926317618,-0.3035995,0.445747,9.882486
1582926317637,-0.305995,0.436165,9.932792
1582926317656,-0.3035995,0.431374,9.935187
1582926317676,-0.2988085,0.431374,9.908837
1582926317698,-0.28204,0.4337695,9.884882
1582926317718,-0.2796445,0.431374,9.853741
1582926317736,-0.272458,0.436165,9.851345
1582926317758,-0.28204,0.4337695,9.899255
1582926317776,-0.286831,0.450538,9.92321
1582926317797,-0.2940175,0.4385605,9.913628
