Time,rotX,rotY,rotZosboxe
1583282044674,-0.07476749,-0.054187693,-0.010757407
1583282044725,-0.3559978,-0.27075243,-0.108790256
1583282044774,-0.6882107,-0.5065237,-0.1264802
1583282044824,-0.4633838,-0.5105607,-0.109236404
1583282044875,-0.11336264,-0.18886802,-0.19567981
1583282044925,-0.06588946,-0.086815,-0.359234
1583282044974,-0.29964364,-0.14224522,-0.17449366
1583282045024,-0.07649462,-0.0040548053,-0.14092875
1583282045074,0.33792064,0.15524904,0.2370536
1583282045124,0.65626115,0.5532714,0.54102445
1583282045174,0.5534588,0.40131903,0.21314922
1583282045224,0.24079914,0.07266313,0.1264423
1583282045274,0.2109938,0.12978867,-0.16217695
1583282045324,0.17789495,0.17504224,0.029859157
1583282045374,0.16723214,0.17816852,-0.048898146
1583282045424,-0.06245032,0.039496195,-0.003879379
1583282045475,-0.08385068,-0.0019202195,0.2058839
1583282045524,-0.092447475,-0.088408396,0.22199877
1583282045574,-0.091854095,0.019561559,0.2006743
1583282045625,0.03741296,0.09869697,0.13200708
1583282045674,-0.06701307,0.07746679,-0.011671847
1583282045724,-0.5063388,-0.22177957,-0.4379081
1583282045774,-0.4741765,-0.3210404,-0.57959664
1583282045825,-0.21091104,-0.15359057,-0.21184504
1583282045874,-0.1102186,-0.24320517,0.03873728
1583282045924,-0.06275862,-0.15357225,0.18073098
1583282045974,-0.04663091,-0.11146643,0.19690543
1583282046024,-0.074012585,-0.16100402,0.07010255
1583282046074,-0.08335942,-0.10381451,0.04793055
1583282046125,-0.0059756646,-0.07926255,0.032650303
1583282046175,-0.03521851,-0.016397573,-0.0057374123
1583282046225,0.03713988,0.061538074,-0.05790108
1583282046275,0.2734994,0.07172055,-0.08763963
1583282046325,0.491442,-0.27780992,-0.14562644
1583282046375,0.5560433,1.4648911,0.49889642
1583282046424,-0.038929034,0.58520484,0.2709998
1583282046474,0.032073956,-0.12054859,-0.113071844
1583282046524,0.10513391,0.04691418,-0.08225972
1583282046574,0.02232007,0.010012975,-0.12173685
1583282046624,0.09831272,0.07089816,-0.17943487
1583282046675,0.033564154,0.1385279,-0.3304319
1583282046725,-0.20608339,0.17554384,-0.49549097
1583282046774,-0.32415804,0.23435059,-0.61910415
1583282046824,-0.3424078,0.33969313,-0.8044751
1583282046874,-0.3576132,0.46705866,-0.9448589
1583282046924,-0.12846881,0.8240936,-0.89238036
1583282046975,-0.027688699,0.85174966,-1.0255381
1583282047024,0.74709314,0.7011215,-0.89416283
1583282047075,1.8243757,0.71294504,-0.5176994
1583282047124,2.086679,0.6628916,-0.31564546
1583282047174,1.4798083,0.5744151,0.1625585
1583282047224,0.85971516,0.52702713,0.5339679
1583282047275,0.6259875,0.5130426,0.6035794
1583282047324,0.53077805,0.40985155,0.624007
1583282047374,0.34180224,0.420843,0.78048587
1583282047425,0.10265376,0.45204204,0.89822173
1583282047474,0.06873059,0.48609495,1.1144844
1583282047524,-0.14296395,0.44135684,1.2941515
1583282047575,-0.08650356,0.020581529,0.7356543
1583282047624,0.056477673,-0.41444594,0.11139415
1583282047675,0.12365256,-0.5684313,-0.09071155
1583282047724,0.24162723,-0.52314985,-0.035237055
1583282047774,0.048529185,-0.1966144,0.08272674
1583282047824,-0.11847608,0.103973836,0.08492115
1583282047874,-0.23097558,0.18844028,0.03608039
1583282047925,-0.63576627,-0.1451393,-0.17772812
1583282047974,-0.5803513,-0.4440148,-0.65119535
1583282048025,0.2674337,-0.09866094,-0.47930342
1583282048074,-0.34336412,-0.16063061,0.075968
1583282048125,-0.21796836,0.14758137,0.56312895
1583282048174,0.22490692,0.2626081,0.62767893
1583282048224,-0.03682754,-0.12041791,0.3754859
1583282048274,-0.3532604,-0.39591885,0.12763609
