Time,rotX,rotY,rotZosboxe
1583282946038,-3.4819412,0.6530051,0.50250363
1583282946087,-3.2526217,0.67204344,0.4566284
1583282946137,-2.126805,0.48343694,0.25607282
1583282946188,-0.8307215,0.2725005,0.069209486
1583282946238,-0.5273982,0.08070431,0.108416624
1583282946287,-0.46633813,0.1287153,0.15879929
1583282946337,-0.7103147,0.1642907,0.17615479
1583282946387,-0.66702205,0.18697686,0.1751171
1583282946437,-0.5095661,0.15408316,0.16457213
1583282946487,-0.46769762,0.11817245,0.1977078
1583282946538,-0.23088662,0.14137964,0.2720917
1583282946588,-0.4045208,0.09800718,0.26044312
1583282946638,0.70716625,-0.06743289,0.10859869
1583282946687,2.969027,-0.41068757,-0.20022058
1583282946738,4.673693,-0.83251953,-0.5046779
1583282946787,4.524256,-1.3379025,-0.8682454
1583282946838,2.856341,-1.6722889,-1.2595974
1583282946887,1.8029991,-1.3865952,-1.0046792
1583282946937,0.97806364,-0.0019586962,0.041726146
1583282946987,-1.3380147,0.19330515,0.09685629
1583282947038,-1.663717,0.35108414,0.19857506
1583282947087,-1.1685969,0.22434768,0.1067672
1583282947137,-0.07820789,0.004286887,-0.0097523695
1583282947187,0.47522506,-0.10895643,-0.03985894
1583282947238,0.37958217,-0.05869896,-0.032746725
1583282947287,-0.035757784,0.016779257,-0.00176617
1583282947337,-0.14155948,0.018728547,0.0040515848
1583282947387,-0.0519391,-0.008430764,0.012291086
1583282947437,0.021377804,0.0148969665,-0.0030017295
1583282947487,-0.006358597,0.014625013,-0.004391708
1583282947537,-0.018906428,-6.8956614E-4,0.0022834851
1583282947588,-0.014571574,-0.019917356,0.0115595935
1583282947638,0.016094554,-0.014949601,0.011790795
1583282947688,0.0052153175,0.004016694,0.007818829
1583282947738,-0.02337482,0.0062386505,0.005982569
1583282947787,-0.021800168,-0.003106622,2.1320011E-4
1583282947838,0.006896055,-0.00225674,0.012359341
1583282947887,0.014419498,0.003815724,-1.3207435E-5
1583282947938,-0.026080644,0.027765883,-0.0064639263
1583282947988,-0.054336537,0.02711043,-0.005128887
1583282948038,-0.017845733,-0.0054704817,8.3364535E-4
1583282948088,0.03854371,-0.021963133,0.013784387
1583282948138,0.020125806,0.002950441,7.354416E-4
1583282948188,-0.05543779,0.023914631,-0.0014604843
1583282948237,-0.040244926,0.0077191936,0.005211219
1583282948288,0.01866925,-0.031301707,0.012661441
1583282948338,0.043859195,-0.029946739,0.0095693255
1583282948388,0.024319347,0.0013318751,0.0073837074
1583282948438,-0.041276447,0.016603274,-0.0044611758
1583282948488,-0.017395673,-0.0028226078,0.004829358
1583282948537,0.008640023,-0.018896816,0.011548524
1583282948588,0.048967633,-0.012750929,0.005273251
1583282948638,4.3049734E-4,0.011196366,-0.0063064806
1583282948688,-0.05258375,0.027642291,-0.005284814
1583282948737,-0.014291508,-6.405264E-5,0.003370882
1583282948788,0.051878896,-0.02917186,0.0056888303
1583282948837,0.020787088,-0.0023233443,0.0044463426
1583282948888,-0.043164376,0.02861851,-0.00410722
1583282948938,-0.050154857,0.02640069,-0.0025518849
1583282948987,0.006959243,-0.012688598,0.0041218973
1583282949038,0.055641916,-0.03365148,0.008159762
1583282949088,0.009050742,-7.5655896E-4,0.0051032635
1583282949137,-0.0423495,0.027215341,-0.006029438
1583282949187,-0.03712825,0.01907567,-0.0022726674
1583282949238,-1.3774028E-4,-0.017087933,0.006480064
1583282949288,0.0077614826,-0.033316873,0.017096478
1583282949338,-0.10618854,0.027779624,0.0028427034
1583282949387,-0.17713296,0.06559789,-0.0049611703
1583282949438,-0.09002701,0.049797595,0.010914565
1583282949488,0.036922455,-0.04241868,0.010786419
1583282949537,0.102594234,-0.047016524,0.018870741
1583282949587,0.08179921,-0.0032829102,-0.0045500495
