Time,accX,accY,accZ
1582926205060,-3.8531313,-5.904704,-3.1001258
1582926205110,-4.1319647,-8.033162,-3.6406543
1582926205160,-5.952406,-10.926334,-3.815443
1582926205210,-5.6158905,-11.75816,-3.2647164
1582926205260,-3.4134583,-13.85086,-0.584955
1582926205310,-2.623515,-7.935987,-1.3784076
1582926205360,-3.6770875,-7.5578175,-1.7306987
1582926205409,-4.5135336,-7.5581007,-0.950523
1582926205460,-4.9773374,-5.9078007,-1.0664538
1582926205510,-5.1458797,-6.16484,-0.6119508
1582926205560,-5.226226,-6.5730667,-0.9942201
1582926205610,-5.070592,-5.667075,-1.7792628
1582926205660,-5.2266865,-5.801282,-1.6115115
1582926205710,-6.201928,-8.666576,-1.4433817
1582926205759,-6.800751,-10.03091,-2.1535552
1582926205810,-5.7099013,-13.799547,-1.254494
1582926205860,-3.1386302,-13.220879,0.14865127
1582926205910,-4.0708523,-8.063148,-1.3553838
1582926205960,-3.8700256,-8.121187,-1.1060753
1582926206010,-3.583757,-6.7843523,-1.7530546
1582926206060,-3.3247232,-5.8044815,-2.7375789
1582926206110,-3.3221893,-6.258961,-2.8586493
1582926206159,-4.0638127,-6.646354,-2.6604884
1582926206210,-4.4936867,-6.218912,-2.6408095
1582926206260,-5.0854692,-9.04079,-2.2311418
1582926206310,-6.6265087,-9.948707,-3.1715465
1582926206360,-6.0714793,-10.904623,-3.9444444
1582926206410,-4.2132583,-13.778271,-0.5361856
1582926206460,-2.9809847,-7.9863405,-0.44159192
1582926206510,-3.789389,-7.5557675,-1.4853218
1582926206559,-4.8639283,-7.9198594,-0.71006
1582926206610,-5.0704913,-5.8039722,-0.44411993
1582926206660,-4.920698,-5.67483,-0.21528208
1582926206710,-4.9439783,-6.3324018,-1.1555517
1582926206760,-4.882092,-5.691002,-2.1772156
1582926206809,-5.340132,-6.5290103,-1.8492873
1582926206860,-6.2802877,-9.752055,-2.1995878
1582926206910,-7.170096,-10.406369,-3.124404
1582926206960,-5.925806,-16.374609,-0.6801908
1582926207010,-3.2135708,-12.2406025,0.5742913
1582926207060,-2.517861,-5.9772997,-0.6378994
1582926207110,-2.3874807,-5.988042,-0.85350394
1582926207160,-2.5638514,-6.656199,-1.6015522
1582926207210,-2.6013849,-6.6405287,-2.4301991
1582926207260,-3.1105409,-6.700343,-2.8319619
1582926207310,-4.2304764,-6.6450357,-2.9225316
1582926207359,-4.6751366,-6.4921107,-2.6356242
1582926207410,-4.639231,-8.79019,-2.4436986
1582926207460,-6.0062532,-9.572047,-3.5272872
1582926207510,-5.950645,-11.20099,-3.1603248
1582926207560,-4.7214146,-15.138884,0.9685801
1582926207610,-4.3684945,-10.2341175,0.92474556
1582926207660,-5.146245,-9.075187,-0.62627137
1582926207710,-4.2750916,-6.7433815,-1.0688902
1582926207760,-3.2830093,-4.760912,-0.20197591
1582926207810,-3.6540859,-4.578299,0.46710032
1582926207860,-4.939004,-5.2438245,-0.20964324
1582926207910,-5.7118187,-5.917765,-1.9176898
1582926207960,-5.876013,-6.9881864,-2.3410656
1582926208010,-5.993407,-9.065125,-2.3037624
1582926208059,-6.910347,-9.251434,-2.774037
1582926208110,-7.148429,-15.055836,-1.0517138
1582926208160,-2.8225183,-18.022305,1.6957412
1582926208210,-2.895524,-8.065002,-0.26620507
1582926208260,-3.7225502,-6.546681,-0.3150766
1582926208310,-2.788856,-6.3553615,0.10063085
1582926208359,-2.2433057,-5.793621,-1.3358779
1582926208410,-2.4527342,-5.4863205,-2.5762844
1582926208460,-3.2163627,-5.8960733,-3.2092948
1582926208510,-3.828879,-7.406669,-3.1945875
