Time,accX,accY,accZ
1582926384298,-0.958337,2.9716954,9.436052
1582926384347,-0.98423076,3.0449924,9.384035
1582926384397,-0.8203384,2.9837937,9.576301
1582926384448,-1.1115762,3.0848198,9.435042
1582926384498,-1.0462122,3.1953268,9.373302
1582926384547,-0.9213253,3.0970552,9.358675
1582926384598,-1.0165861,3.117161,9.519222
1582926384648,-0.9804423,3.0517874,9.391195
1582926384697,-1.0968168,3.1382022,9.332126
1582926384747,-0.9395238,3.1018689,9.555685
1582926384797,-0.99454045,3.0880349,9.321182
1582926384956,-0.9982945,3.1167295,9.271634
1582926384975,-0.9982945,3.1311026,9.525557
1582926384996,-1.0414135,3.1454754,9.585444
1582926385016,-1.062973,3.14308,9.489624
1582926385034,-1.110883,3.1550574,9.424946
1582926385054,-1.0941145,3.1215205,9.391409
1582926385076,-1.039018,3.123916,9.37464
1582926385095,-1.0605775,3.1167295,9.321939
1582926385115,-1.0749505,3.19099,9.400991
1582926385134,-1.0605775,3.1933856,9.499207
1582926385156,-1.019854,3.1646395,9.46567
1582926385175,-0.9839215,3.1167295,9.389013
1582926385195,-1.024645,3.1071475,9.307567
1582926385215,-1.0701596,3.104752,9.309962
1582926385235,-1.0701596,3.114334,9.377036
1582926385254,-1.110883,3.1646395,9.523162
1582926385275,-1.1324425,3.2221315,9.537535
1582926385294,-1.0989054,3.200572,9.37464
1582926385315,-1.053391,3.1167295,9.286007
1582926385335,-1.0270405,3.0448644,9.271634
1582926385354,-1.058182,3.0257006,9.350685
1582926385374,-1.1851435,3.0736105,9.415364
1582926385393,-1.1468155,3.138289,9.494415
1582926385412,-1.0318315,3.1023564,9.647728
1582926385431,-0.8881015,2.961022,9.56628
1582926385450,-1.0605775,3.0352826,9.238097
1582926385470,-1.2186805,3.04726,9.003338
1582926385489,-1.0749505,3.1119385,9.611795
1582926385514,-0.991108,3.080797,9.896859
1582926385534,-1.1420245,3.1406846,9.61419
1582926385554,-1.427089,3.2604594,8.986569
1582926385574,-1.3240825,3.3802345,9.01292
1582926385594,-1.3288735,3.47845,9.221329
1582926385614,-1.4486485,3.579061,9.1111355
1582926385634,-1.6067514,3.559897,9.010525
1582926385653,-1.7361085,3.7012315,9.257261
1582926385673,-1.8079735,3.8210065,9.377036
1582926385692,-1.8079735,3.708418,8.9171
1582926385712,-1.776832,3.7443504,8.775765
