Time,rotX,rotY,rotZosboxe
1583284426288,0.45460704,-0.13619202,0.32015443
1583284426338,0.49336666,-0.12178601,0.25216588
1583284426387,0.44365612,-0.12269473,0.17474894
1583284426437,0.43676823,-0.09460606,0.10453914
1583284426487,0.38462144,-0.07907523,0.06327149
1583284426537,0.2757817,-0.051380184,0.033491727
1583284426587,0.196555,-0.02751096,0.013034586
1583284426637,0.03154597,0.0036559924,0.0034615877
1583284426687,-0.014408736,0.022981538,-0.006268178
1583284426737,-0.05156793,0.00926196,-0.021501858
1583284426788,-0.032212887,-0.013337741,-0.018532533
1583284426837,0.0076596984,-0.02022913,-0.015570639
1583284426888,0.0048700166,-0.025445804,-0.015933331
1583284426938,-0.004363187,-0.004102879,-0.014539309
1583284426987,-0.040008824,0.022197481,-0.026554666
1583284427037,-0.041961495,0.056873832,-0.01955522
1583284427088,-0.030264283,0.06750446,0.03892057
1583284427138,-7.900782E-5,0.038372327,0.066063374
1583284427187,-0.0062341555,0.003871262,0.0381454
1583284427237,-0.027009292,-0.0063068615,-0.015468108
1583284427287,-0.045200016,-0.017418725,-0.04013219
1583284427337,-0.004214739,-0.021716518,-0.044429984
1583284427388,0.09957799,-0.0025286227,-0.023298817
1583284427438,0.042686105,-0.033881992,-0.019738201
1583284427487,0.056228098,-0.07993716,-0.002301048
1583284427537,0.0062217484,-0.0020770207,0.03341214
1583284427588,0.039248034,0.06487545,0.027368307
1583284427638,-0.027259946,0.07143624,0.0038583209
1583284427687,-0.0122419875,-0.005783933,-0.01754086
1583284427737,0.027237842,-0.03223609,-0.0056868703
1583284427788,0.024188017,5.109161E-4,0.019014306
1583284427837,0.035384607,0.002907874,0.01572902
1583284427888,0.035920743,-0.013028685,0.013438301
1583284427938,0.069611706,-0.027176231,0.01392046
1583284427988,0.117438234,-0.037605982,0.019961419
1583284428037,0.1539024,-0.061335515,0.066653155
1583284428088,0.1456387,-0.04309028,0.12842356
1583284428137,0.23320873,-0.021751402,0.18648505
1583284428187,0.23520084,5.3318217E-5,0.20137244
1583284428237,0.12995754,0.0116461925,0.193521
1583284428287,0.18472719,-0.004190889,0.15401998
1583284428337,0.18439096,-0.0077495975,0.116421655
1583284428388,0.19980371,0.01991557,0.07253737
1583284428437,0.0651635,0.04451286,0.035256933
1583284428487,-0.005765424,0.037652742,0.0060286825
1583284428537,0.017003886,-0.006858457,-0.015255468
1583284428588,0.005126188,-0.0051782466,-0.018048674
1583284428638,-0.040194165,0.018661505,-0.017944079
1583284428687,-0.022848787,-0.024500236,-0.03753083
1583284428737,-0.07160677,-0.047665242,-0.06976416
1583284428787,-0.08684349,-0.060666237,-0.09363297
1583284428837,-0.098322906,-0.05157248,-0.09471163
1583284428887,-0.065229855,-0.05000167,-0.0995439
1583284428937,-0.07418208,-0.026547,-0.09795587
1583284428988,-0.1469718,-0.007842377,-0.10596736
1583284429037,-0.19609496,-0.028857473,-0.14186424
1583284429088,-0.36756444,-0.013941191,-0.21070218
1583284429137,-0.6008007,0.03874746,-0.35060883
1583284429187,-0.91825473,0.13169037,-0.52694625
1583284429237,-0.93720925,0.15646137,-0.6875152
1583284429288,-0.7732718,0.1521297,-0.7484112
1583284429338,-0.6425384,0.13496003,-0.7021932
1583284429388,-0.49493748,0.16015868,-0.61063874
1583284429437,-0.37257075,0.17105074,-0.5032856
1583284429487,-0.276813,0.1900731,-0.37423158
1583284429538,-0.19196714,0.19112876,-0.27405423
1583284429588,-0.19438805,0.1647473,-0.20961364
1583284429638,-0.07985823,0.11971347,-0.15113781
1583284429687,-0.016406031,0.07538423,-0.06267381
1583284429738,0.011347311,0.009995431,0.027738903
1583284429787,0.057555236,-0.023073219,0.10418718
1583284429838,0.13219722,-0.043367308,0.1522584
1583284429888,0.11874074,-0.080730766,0.16780497
1583284429937,0.14759767,-0.10203515,0.20498045
1583284429987,0.20387761,-0.11021078,0.26718017
1583284430038,0.2433931,-0.09049733,0.36178234
1583284430087,0.303984,-0.10107911,0.40607393
1583284430138,0.3155554,-0.08793244,0.41475862
1583284430187,0.2565929,-0.05096373,0.3818256
1583284430238,0.21940604,-0.033748075,0.32508072
1583284430288,0.2583425,-0.029788934,0.28242406
1583284430337,0.33666244,-0.03717271,0.2697741
1583284430387,0.28636396,-0.0030634888,0.2551264
1583284430438,0.22043885,0.0028580297,0.20389536
1583284430487,0.15061268,6.6378154E-5,0.15518668
1583284430538,0.10644167,0.013505409,0.100420564
1583284430587,0.15656626,-0.0010804315,0.05986535
