Time,accX,accY,accZ
1582925994897,-4.35703,-8.452939,-1.8273149
1582925994947,-4.3486805,-8.45896,-1.8372707
1582925994997,-4.352726,-8.465031,-1.8241789
1582925995047,-4.3529596,-8.467869,-1.8389349
1582925995097,-4.358946,-8.456526,-1.8403105
1582925995147,-4.3523464,-8.454422,-1.8390641
1582925995197,-4.3502073,-8.460999,-1.8300935
1582925995247,-4.3521733,-8.465037,-1.8270866
1582925995297,-4.3490295,-8.462107,-1.831455
1582925995347,-4.353756,-8.451968,-1.83039
1582925995397,-4.3529377,-8.465424,-1.8272402
1582925995448,-4.3615313,-8.466696,-1.8296332
1582925995497,-4.342487,-8.464598,-1.8215363
1582925995547,-4.353114,-8.464615,-1.8305328
1582925995598,-4.3534555,-8.461615,-1.8212233
1582925995647,-4.28386,-8.449134,-1.7579817
1582925995698,-4.3831086,-8.489464,-1.8702191
1582925995748,-4.6923885,-8.485899,-1.916639
1582925995798,-4.314967,-8.53511,-1.4088349
1582925995847,-5.334903,-8.868782,-1.6391189
1582925995898,-6.2604194,-9.042697,-2.3477237
1582925995948,-5.9678054,-8.464315,-1.985496
1582925995998,-4.328824,-7.8011065,-0.20009932
1582925996047,-5.94933,-12.656267,0.05278814
1582925996097,-7.1900578,-9.54973,-0.9672426
1582925996147,-6.7676125,-8.821699,-0.49509057
1582925996197,-8.371466,-9.337145,-0.9743657
1582925996247,-8.266496,-8.767769,-0.8466
1582925996297,-7.67727,-8.244568,-0.7431252
1582925996347,-7.468096,-8.269672,-0.65438473
1582925996398,-6.5637546,-8.215473,-0.6628339
1582925996448,-5.552256,-8.294993,-0.35382706
1582925996497,-5.3542976,-8.229419,0.097659774
1582925996545,-6.065666,-7.9640365,0.14360785
1582925996597,-6.55534,-7.5943995,0.042425882
1582925996647,-6.541831,-7.04622,-0.20736116
1582925996697,-5.626437,-6.2254143,-0.49117023
1582925996747,-3.9299488,-5.263071,-2.0333486
1582925996797,-3.50885,-5.3604984,-1.9349144
1582925996847,-3.8264632,-5.869286,-1.306169
1582925996898,-3.8852758,-6.883041,-1.1899812
1582925996947,-3.920586,-7.5725956,-1.574589
1582925996997,-4.979356,-8.07099,-1.4711568
1582925997047,-5.196381,-8.287058,-1.6694562
