Time,accX,accY,accZ
1583282938488,-0.5252145,-7.9007993,5.713923
1583282938537,-0.68050367,-7.742089,5.721259
1583282938587,-0.7759549,-7.862336,5.504233
1583282938637,-0.76427805,-7.9498534,5.3563237
1583282938688,-0.81466824,-7.87897,5.3781176
1583282938737,-0.7793238,-7.989819,5.6069326
1583282938787,-0.6878626,-7.8077025,5.566763
1583282938838,-0.662756,-7.854877,5.5848393
1583282938888,-0.7270323,-7.848184,5.6204686
1583282938937,-0.74495536,-7.9085517,5.508378
1583282938988,-0.74731994,-7.844227,5.4494834
1583282939038,-0.8075581,-7.9102325,5.4956574
1583282939087,-0.74224186,-7.9192023,5.4599
1583282939137,-0.7203329,-7.9589763,5.573205
1583282939188,-0.7771763,-7.8477077,5.5224442
1583282939238,-0.77384526,-7.923155,5.5470767
1583282939288,-0.747221,-7.799987,5.51617
1583282939338,-0.81357175,-7.8185434,5.5393605
1583282939387,-0.79825526,-8.015105,5.517279
1583282939437,-0.7876589,-7.827749,5.496289
1583282939487,-0.765502,-7.88346,5.522382
1583282939537,-0.8180776,-7.961534,5.565241
1583282939588,-0.75184774,-7.885587,5.5262647
1583282939638,-0.7246614,-7.934755,5.5438013
1583282939688,-0.75676477,-7.8607855,5.5599875
1583282939737,-0.7909143,-7.7730565,5.52362
1583282939787,-0.83795625,-7.8828273,5.465576
1583282939838,-0.8110497,-7.943294,5.497377
1583282939887,-0.69541466,-7.920702,5.5562205
1583282939937,-0.6984477,-7.9820914,5.673087
1583282939988,-0.78888565,-7.6635118,5.5105414
1583282940037,-0.9411448,-7.8628736,5.3941884
1583282940088,-0.9099947,-8.025324,5.3854246
1583282940137,-0.5963942,-7.979226,5.4981785
1583282940187,-0.5566797,-7.877308,5.7073207
1583282940237,-0.7665474,-7.6968417,5.6665506
1583282940287,-0.91017544,-7.772238,5.46176
1583282940338,-0.8131272,-8.054953,5.3364353
1583282940388,-0.6066738,-8.055738,5.4167547
1583282940438,-0.58157545,-7.8711762,5.601836
1583282940488,-0.7819979,-7.752098,5.6545577
1583282940537,-0.8042783,-7.791025,5.4717655
1583282940587,-0.6507512,-8.021406,5.3953366
1583282940637,-0.5021403,-8.147403,5.4694557
1583282940688,-0.5289037,-7.8143115,5.585501
1583282940738,-0.8146131,-7.6919646,5.570877
1583282940788,-0.776162,-7.9106245,5.4207406
1583282940837,-0.5477072,-8.13705,5.3494606
1583282940888,-0.45312357,-8.094239,5.4957957
1583282940938,-0.5813707,-7.7271676,5.6293783
1583282940988,-0.8029188,-7.715563,5.527466
1583282941037,-0.64440435,-8.078417,5.379496
1583282941088,-0.5091629,-8.116303,5.303595
1583282941137,-0.53585917,-7.9291167,5.441357
1583282941187,-0.5663536,-7.8978944,5.5888376
1583282941237,-0.7208702,-7.83948,5.503172
1583282941287,-0.5695349,-8.120508,5.3384156
1583282941337,-0.37950507,-8.136398,5.4046907
1583282941388,-0.4841646,-7.933142,5.604967
1583282941437,-0.7160205,-7.749353,5.5747075
1583282941488,-0.764158,-7.8903913,5.306636
1583282941537,-0.57828885,-8.197052,5.2314787
1583282941587,-0.4186344,-8.09834,5.4694448
1583282941637,-0.5711771,-7.736235,5.65729
1583282941687,-0.75048673,-7.754939,5.618702
1583282941738,-0.6817645,-7.98719,5.4320364
1583282941788,-0.6930669,-8.033126,5.2535815
1583282941837,-0.5411165,-7.9762273,5.2778974
1583282941887,-0.6504585,-7.9414606,5.495483
1583282941937,-0.7089437,-7.888369,5.5902777
1583282941987,-0.5365888,-8.032733,5.504042
1583282942038,-0.4118936,-8.101356,5.4767947
1583282942087,-0.5975485,-7.81881,5.536015
1583282942138,-0.78692067,-7.800086,5.475336
1583282942187,-0.8403087,-7.887968,5.3050714
1583282942237,-0.52615863,-8.178927,5.3110867
1583282942288,-0.44615832,-7.957388,5.581126
1583282942337,-0.6667115,-7.733412,5.7295947
1583282942387,-0.7463168,-7.785359,5.521756
1583282942437,-0.7252391,-8.042823,5.2848654
1583282942488,-0.48674452,-8.164279,5.288067
1583282942537,-0.53072613,-7.939699,5.56519
1583282942587,-0.72352076,-7.745352,5.6177063
1583282942637,-0.8422234,-7.807692,5.452257
1583282942687,-0.597346,-8.158303,5.3335395
1583282942737,-0.47966635,-8.080513,5.4417825
1583282942788,-0.6394786,-7.759468,5.620316
1583282942838,-0.8235218,-7.7493377,5.5417223
1583282942888,-0.7888142,-7.973169,5.301206
1583282942937,-0.5858731,-8.168062,5.317913
1583282942987,-0.51065403,-7.9420776,5.4849567
1583282943037,-0.744368,-7.783956,5.601357
1583282943087,-0.79471713,-7.9330897,5.480119
1583282943137,-0.60641444,-7.9707627,5.3317227
1583282943187,-0.52132297,-8.171401,5.448357
1583282943238,-0.5451016,-7.8811574,5.5684724
1583282943287,-0.7284852,-7.653337,5.5703597
1583282943338,-0.84605026,-7.948395,5.42013
1583282943387,-0.5882091,-8.136519,5.3239007
1583282943438,-0.48695853,-8.051797,5.44326
1583282943487,-0.6572859,-7.8068376,5.585496
1583282943537,-0.8485993,-7.702664,5.486912
1583282943587,-0.7512673,-8.115129,5.3277864
1583282943638,-0.46780574,-8.127545,5.340376
1583282943687,-0.5160173,-7.8072715,5.5723424
1583282943737,-0.6839819,-7.77685,5.6331573
1583282943787,-0.80349135,-7.935386,5.4844117
1583282943838,-0.67067635,-8.033236,5.3092885
1583282943888,-0.46500462,-8.083674,5.384434
1583282943937,-0.6287187,-7.871154,5.5918694
1583282943987,-0.7840098,-7.744128,5.5542436
1583282944038,-0.8479629,-7.945486,5.3355184
1583282944088,-0.64409155,-8.213821,5.2994657
1583282944137,-0.47355065,-7.988454,5.4950533
1583282944188,-0.6748722,-7.71995,5.698816
1583282944237,-0.8920667,-7.718836,5.5671763
1583282944287,-0.7909696,-8.048546,5.300733
1583282944337,-0.56739587,-8.185695,5.285859
1583282944388,-0.59823537,-7.833093,5.5308776
1583282944437,-0.8214295,-7.6999273,5.6546264
1583282944488,-0.8096331,-7.885074,5.482755
1583282944537,-0.64108455,-8.138913,5.364321
1583282944587,-0.5388309,-8.027981,5.446273
1583282944637,-0.6775223,-7.762866,5.627054
1583282944687,-0.88054675,-7.745691,5.5787826
1583282944737,-0.807196,-8.004641,5.334411
1583282944788,-0.57275546,-8.119953,5.330643
1583282944837,-0.65505624,-7.813225,5.5323615
1583282944888,-0.7374646,-7.8575373,5.6016426
1583282944938,-0.8602041,-7.829496,5.4048796
1583282944988,-0.76539135,-8.009953,5.3389435
1583282945037,-0.5168497,-8.189324,5.51744
1583282945088,-0.58869773,-7.81665,5.5454917
1583282945138,-0.8800479,-7.68118,5.4975796
1583282945187,-0.9115965,-7.9445753,5.385766
1583282945237,-0.59271073,-8.159468,5.3154187
1583282945288,-0.44868112,-8.058137,5.4661555
1583282945338,-0.59965104,-7.848057,5.6601615
1583282945387,-0.8362687,-7.739337,5.5179505
1583282945438,-0.843921,-7.964694,5.3045726
1583282945488,-0.5638312,-8.208435,5.322079
1583282945537,-0.4900996,-7.9639096,5.485181
1583282945587,-0.7097544,-7.717272,5.61226
1583282945637,-0.9506202,-7.938756,5.469189
1583282945688,-0.76835793,-7.9799113,5.285656
1583282945738,-0.49187475,-8.137104,5.415541
1583282945787,-0.46267354,-7.9683695,5.7027497
1583282945838,-0.82766646,-7.455895,5.7051716
1583282945888,-0.7710574,-7.3740897,5.2282214
1583282945937,-0.19176406,-7.643592,5.394703
1583282945988,-0.001553312,-8.703475,3.6361985
1583282946037,-0.73825216,-9.538725,1.9440374
1583282946087,-1.4879321,-9.205902,-0.28807685
1583282946137,-1.5615435,-9.604706,-1.5658838
1583282946188,-1.42578,-9.341461,-2.2053125
1583282946237,-0.8142038,-9.640326,-2.3877919
1583282946288,-1.1731076,-9.070813,-1.9887403
1583282946337,-1.5592475,-8.951786,-2.2431593
1583282946387,-1.554637,-8.981302,-2.6248024
1583282946438,-1.3057351,-9.043632,-3.0472612
1583282946487,-1.3886985,-8.965927,-3.6435072
1583282946538,-1.6402913,-8.542317,-3.6059213
1583282946588,-1.9666506,-8.508182,-3.6145432
1583282946638,-2.2628534,-9.148293,-3.644488
1583282946687,-1.8176755,-9.745565,-2.7969158
1583282946738,-1.7150822,-9.557559,-1.008985
1583282946787,-1.5786089,-8.196414,1.0913105
1583282946838,-1.3645465,-6.6352386,3.7629488
1583282946887,1.0356431,-8.812973,5.0480666
1583282946938,2.1722777,-6.441416,7.723192
1583282946987,0.50712943,-7.157004,5.7414856
1583282947037,-0.45683932,-9.197022,3.4327297
1583282947087,-0.09591603,-9.535736,2.7731805
1583282947138,0.24774623,-9.421991,3.083343
1583282947187,0.33608454,-8.827619,3.9130287
1583282947238,0.15510084,-8.445183,4.3865495
1583282947287,0.13070783,-8.471335,4.1505866
1583282947337,0.26384073,-8.915574,3.9286964
1583282947388,0.29720193,-8.826312,3.768714
1583282947437,0.13793978,-8.759103,3.895271
1583282947487,0.14860438,-8.7317,3.9320412
1583282947537,0.19164245,-8.770474,3.9307985
1583282947588,0.283249,-8.84435,3.8973
1583282947637,0.29594922,-8.839041,3.8929267
1583282947687,0.12078799,-8.674603,3.8763733
1583282947738,0.08042601,-8.722411,3.8525996
1583282947788,0.28913033,-8.844244,3.9009717
1583282947838,0.3277217,-8.862161,3.95151
1583282947887,0.2488832,-8.71768,3.9137783
1583282947937,0.12888318,-8.744332,3.9420726
1583282947987,0.08713105,-8.770232,3.8512022
1583282948037,0.2848572,-8.889747,3.819706
1583282948087,0.32023776,-8.821558,3.863749
1583282948138,0.18241939,-8.7253685,3.984995
1583282948188,0.1224491,-8.696834,3.8266053
1583282948237,0.13329992,-8.753385,3.8311026
