Time,accX,accY,accZ
1583282838237,-2.0748034,-7.502473,5.6960573
1583282838287,-2.0531116,-7.5139017,5.6745896
1583282838338,-2.0075839,-7.4713526,5.6891723
1583282838388,-2.0006382,-7.4384713,5.7251153
1583282838438,-2.0615222,-7.507018,5.7323904
1583282838488,-2.0292678,-7.508304,5.726129
1583282838538,-2.0220575,-7.4771295,5.725152
1583282838588,-2.0291128,-7.513018,5.7116246
1583282838637,-2.0281794,-7.5032787,5.7093453
1583282838688,-1.9987911,-7.497469,5.722981
1583282838738,-1.9578675,-7.517385,5.6529584
1583282838787,-2.0475245,-7.515127,5.718253
1583282838837,-2.075583,-7.538584,5.7237883
1583282838888,-1.976952,-7.465196,5.6863475
1583282838937,-2.0318727,-7.501632,5.686118
1583282838987,-2.0096304,-7.530608,5.632066
1583282839037,-2.05259,-7.621136,5.6655655
1583282839088,-2.2067044,-7.4487042,5.8064947
1583282839138,-1.9633521,-7.48967,5.595311
1583282839188,-2.0744824,-7.5655127,5.6710973
1583282839238,-2.1133518,-7.5088596,5.7157645
1583282839288,-2.0082312,-7.582742,5.6317415
1583282839337,-2.1012545,-7.5601816,5.684005
1583282839388,-1.9321274,-7.3069506,5.6237283
1583282839438,-2.1274898,-7.9466095,5.704024
1583282839488,-2.2179914,-6.764344,5.7315474
1583282839538,-1.857466,-7.8097615,5.623525
1583282839587,-2.1472547,-7.483335,5.7223043
1583282839637,-2.018054,-7.3911586,5.7818775
1583282839688,-2.1047068,-7.6169195,5.710347
1583282839737,-2.07021,-7.502421,5.6459174
1583282839788,-2.0328631,-7.441676,5.739517
1583282839838,-2.124176,-7.566116,5.6053467
1583282839887,-2.1022224,-7.553989,5.6407704
1583282839938,-2.0336869,-7.5109267,5.66397
1583282839987,-2.1214182,-7.546472,5.618664
1583282840037,-2.1227913,-7.5494294,5.658324
1583282840088,-2.1512828,-7.533514,5.6550198
1583282840138,-2.080287,-7.543388,5.563017
1583282840187,-2.1500297,-7.5797143,5.6552367
1583282840238,-2.117915,-7.5378513,5.61432
1583282840287,-1.9966909,-7.551099,5.619394
1583282840337,-2.093038,-7.5190945,5.6490154
1583282840387,-2.078744,-7.503739,5.639074
1583282840437,-2.1028636,-7.5227046,5.665689
1583282840487,-2.1448464,-7.554168,5.6133385
1583282840537,-2.1276238,-7.548561,5.6195455
1583282840588,-2.113257,-7.545905,5.6063104
1583282840638,-2.117387,-7.525197,5.6064863
1583282840688,-2.1735072,-7.5427566,5.6137056
1583282840737,-2.1581135,-7.5790167,5.556288
1583282840788,-2.1848006,-7.566529,5.601171
1583282840837,-2.2156475,-7.5740213,5.6073236
1583282840887,-2.1720161,-7.579952,5.539752
1583282840938,-2.1435153,-7.5645404,5.5716453
1583282840987,-2.1764698,-7.561501,5.592725
1583282841037,-2.1864624,-7.5708003,5.5651736
1583282841088,-2.158727,-7.560242,5.5611677
1583282841138,-2.189015,-7.5493126,5.5972953
1583282841187,-2.1734629,-7.559785,5.597166
1583282841237,-2.1300137,-7.5155277,5.6030655
1583282841287,-2.1618562,-7.520013,5.6256566
1583282841338,-2.2076013,-7.5806227,5.5683007
1583282841387,-2.1586456,-7.5542455,5.5684476
1583282841438,-2.1407182,-7.5083647,5.6213164
1583282841487,-2.1787698,-7.580433,5.602113
1583282841537,-2.1651926,-7.5900354,5.570726
1583282841587,-2.1234043,-7.513032,5.623952
1583282841638,-2.1303873,-7.4927444,5.631844
1583282841688,-2.1896424,-7.538827,5.5741425
1583282841737,-2.236874,-7.5942655,5.5743055
1583282841788,-2.1639307,-7.5480986,5.598829
1583282841837,-2.1452541,-7.5266385,5.593116
1583282841887,-2.1855679,-7.5700126,5.5547433
1583282841938,-2.1927226,-7.6077375,5.532072
1583282841987,-2.211734,-7.6019444,5.5447116
1583282842038,-2.191649,-7.5603714,5.5663433
1583282842087,-2.1473699,-7.522552,5.577909
1583282842137,-2.179688,-7.578269,5.5771956
1583282842187,-2.1831493,-7.5667157,5.57734
1583282842238,-2.1553416,-7.5454326,5.600187
1583282842287,-2.145739,-7.5328135,5.6296086
1583282842338,-2.1418521,-7.5146894,5.6434193
1583282842388,-2.130992,-7.534746,5.618011
1583282842437,-2.1389315,-7.548061,5.6208677
1583282842488,-2.11072,-7.504767,5.6560082
1583282842538,-2.0723288,-7.5361757,5.638316
1583282842588,-2.0942726,-7.5305676,5.6606207
1583282842637,-2.084768,-7.502722,5.696065
1583282842687,-2.0604544,-7.531256,5.667336
1583282842737,-2.1055212,-7.6036716,5.839439
1583282842787,-2.1002834,-7.690813,6.040599
1583282842838,-1.9969683,-7.635729,6.0117283
1583282842888,-1.808715,-7.4823885,5.6978903
1583282842937,-1.9880837,-7.8030357,5.712762
1583282842987,-1.8450618,-7.573818,6.4991226
1583282843037,-1.0169231,-6.8035035,7.391645
1583282843087,-0.6658095,-7.1518593,7.1863675
1583282843138,-2.2563684,-5.116717,6.7670007
1583282843187,-2.3547018,-5.440682,7.003446
1583282843238,-2.4875588,-5.360123,6.8262224
1583282843287,-2.1538205,-5.9396935,7.099077
1583282843337,-2.0864384,-6.19202,7.4237127
1583282843387,-2.243103,-6.4386697,7.1185355
1583282843437,-2.285393,-5.9232125,7.5926485
1583282843487,-2.5656626,-6.3355956,7.49428
1583282843537,-2.7291982,-6.075406,7.1651106
1583282843588,-2.7056975,-5.8605385,7.0317445
1583282843638,-2.4982538,-6.050944,7.078123
1583282843687,-2.4012656,-5.9017305,7.2788982
1583282843737,-2.1961753,-5.798805,7.587767
1583282843788,-1.9982296,-5.700804,7.617259
1583282843837,-2.0173707,-5.524962,7.650162
1583282843887,-1.8813455,-5.728677,7.5777016
