Time,accX,accY,accZ
1583285133675,0.5414655,-6.7950726,6.945777
1583285133725,0.33583528,-6.98611,7.1618385
1583285133775,1.6164241,-7.2361746,7.225386
1583285133825,1.2797037,-7.432561,6.3081007
1583285133875,0.26209462,-7.530326,5.531362
1583285133925,1.1660252,-7.782661,6.220062
1583285133975,0.6178249,-8.101322,5.6568537
1583285134025,0.5944238,-8.127047,4.6384106
1583285134075,0.9982197,-7.9959154,4.8394356
1583285134125,0.62283725,-8.441645,4.0590267
1583285134175,0.307018,-8.774147,3.35851
1583285134225,0.78401184,-9.344315,3.779763
1583285134275,-0.057103246,-9.642435,2.8809156
1583285134325,0.15233038,-9.497683,2.749855
1583285134375,0.10827357,-8.974369,2.9454904
1583285134425,-0.71538997,-8.916374,1.2034998
1583285134475,-0.7369663,-8.757037,1.5973985
1583285134525,-0.86186963,-8.792639,1.3207102
1583285134574,-1.9718964,-8.764026,2.0204825
1583285134625,-1.3150858,-8.691043,4.5376863
1583285134675,-0.9751647,-9.3657465,4.3140335
1583285134724,-2.377337,-9.477772,2.9055486
1583285134775,-1.8447019,-8.848471,3.5753787
1583285134825,-1.6206741,-8.948859,2.554326
1583285134875,-2.3259213,-9.019888,1.0681062
1583285134925,-1.8089232,-8.846496,1.8962716
1583285134975,-1.9702117,-8.824051,2.7466052
1583285135025,-2.235092,-8.908397,3.02735
1583285135075,-1.8289692,-8.550727,3.286167
1583285135125,-1.8290453,-8.350116,3.08329
1583285135175,-1.6478362,-8.927698,2.850965
1583285135225,-2.2368557,-9.295006,2.4698255
1583285135275,-2.2163596,-8.978098,2.2760015
1583285135325,-2.3815308,-9.1628,1.5308237
1583285135375,-2.2109926,-9.295095,0.7255142
1583285135425,-2.3407512,-9.10755,0.43372628
1583285135475,-1.9651878,-9.452727,-0.92738515
1583285135525,-1.9958041,-9.029243,-1.1549608
1583285135575,-1.5730766,-9.134187,-1.3954229
1583285135625,-1.5014179,-9.138222,-2.5270698
1583285135675,-1.3527002,-8.8306675,-2.6651957
1583285135725,-1.121895,-8.677037,-4.0598307
1583285135775,-0.6059899,-8.94341,-2.9320579
1583285135825,-1.1028972,-8.935366,-2.945425
1583285135875,-0.7050214,-8.520584,-3.7673113
1583285135925,-0.8786021,-8.6415415,-3.045535
1583285135975,-0.92689663,-9.000141,-2.9505014
1583285136025,-0.8666055,-9.20398,-2.4123468
1583285136075,-0.65037996,-9.431211,-1.4988337
1583285136125,-0.73102075,-9.715561,-0.43411943
1583285136174,-0.8663756,-9.338549,-1.189831
1583285136225,-1.1245773,-9.088791,-1.9587793
1583285136275,-0.8332006,-9.166599,-1.2537913
1583285136325,-1.1471885,-9.326555,-1.1245406
1583285136375,-1.1900833,-8.89818,-1.2989823
1583285136425,-0.50680333,-9.366232,-1.3865277
1583285136475,-0.74051225,-9.589672,-0.331606
1583285136525,-1.124779,-9.121665,-2.67067
1583285136575,-0.8102873,-9.724798,-0.29563358
1583285136624,-0.9755715,-9.973681,0.48347294
1583285136675,-1.2785053,-9.253986,0.52231055
1583285136725,-1.2385622,-8.616482,2.6912403
1583285136775,-2.172867,-8.594217,2.5105448
1583285136825,-3.9951162,-8.536528,2.7732072
1583285136875,-3.7927322,-7.9771442,3.2163408
1583285136925,-3.8892498,-8.568879,3.4307084
1583285136975,-3.785173,-7.907557,3.8690963
1583285137025,-3.538968,-7.763028,3.8615003
1583285137075,-3.7534246,-8.146111,3.6407065
1583285137125,-3.527259,-8.269306,4.0534005
1583285137175,-3.6034894,-8.363406,3.3391113
1583285137225,-4.0262117,-8.334566,3.6757252
1583285137275,-3.9119678,-8.022559,3.5910974
1583285137325,-3.8242044,-7.6397653,3.4733024
1583285137375,-3.7626195,-7.349786,3.5918002
1583285137425,-3.5433946,-7.246686,3.7257056
1583285137475,-2.0889535,-7.2048235,5.4490356
1583285137525,-2.0923636,-5.2759,8.658268
1583285137575,-2.3072205,-3.8794985,8.238745
1583285137625,0.018882245,-1.8081464,9.644774
1583285137675,-0.23852119,-1.6885775,10.20627
1583285137725,0.7615489,-1.9203653,9.910698
1583285137775,0.15142643,-2.4385278,9.817825
1583285137825,1.1713299,-2.3248277,9.814672
1583285137875,0.48843136,-2.54274,9.300698
1583285137925,-0.5096955,-3.7319279,9.236109
1583285137975,0.36474428,-4.857608,10.979902
1583285138025,0.29744416,-5.0738335,8.049543
1583285138075,-3.8666518,-6.7188063,7.0037236
1583285138125,-2.8578084,-6.05908,6.128822
1583285138175,-1.5298307,-5.57067,7.7952213
1583285138225,-1.5457935,-5.633334,7.57804
1583285138275,-2.7356362,-5.526798,8.313496
1583285138325,-0.6544615,-2.50457,9.287518
1583285138375,-0.38311934,-1.9779727,10.368498
1583285138425,-1.4241365,-1.1422487,10.397186
1583285138475,0.11889064,0.6588587,10.455543
1583285138525,-1.2566397,1.5728157,9.285326
1583285138575,-0.91006696,3.4363334,10.231556
1583285138625,-1.5065062,3.239934,9.361226
1583285138675,-1.2192657,2.1853004,9.4744425
1583285138725,-1.8952689,1.1516278,8.323496
1583285138775,-1.1145524,2.1506553,10.100418
1583285138825,-0.586316,2.1117454,9.870162
1583285138875,-0.6929631,2.2470202,9.959974
1583285138925,-0.07765193,2.118864,10.043232
1583285138975,0.39157507,1.9850928,10.03145
1583285139025,-0.31432852,1.0487242,9.599237
1583285139075,0.0384684,0.84217083,9.407299
1583285139125,0.25740585,0.7602153,9.673126
1583285139175,0.99846625,0.828135,10.272939
1583285139225,1.2014668,0.92070246,10.206327
1583285139275,1.0809007,0.7863233,10.112286
1583285139325,1.4080751,0.85029936,10.172031
1583285139375,1.0975649,0.69322735,9.403906
1583285139425,1.439903,0.91971415,9.597624
1583285139475,1.798255,1.9383411,9.238312
1583285139525,1.2358139,1.7420822,9.969788
1583285139575,1.5098131,2.4328928,9.371583
1583285139624,1.215256,2.828537,9.802528
1583285139675,1.466068,3.246685,9.550344
1583285139725,1.8804797,3.179346,9.51099
1583285139775,1.7072527,2.830721,9.544954
1583285139825,1.6878034,2.5269847,9.528697
1583285139875,1.8051558,2.398385,9.414108
1583285139925,2.078476,2.623468,9.186785
1583285139975,2.2799172,2.9517803,9.427509
1583285140025,2.4378376,3.3777652,9.426219
1583285140075,2.29816,3.7042494,9.37793
1583285140125,2.1903195,3.5696836,9.25648
1583285140175,1.9020574,3.751236,9.154112
1583285140225,1.4106436,4.8642178,9.136141
1583285140275,0.60795856,6.015031,8.833908
1583285140325,0.8197738,6.15096,7.9537582
1583285140375,0.8695204,6.719348,7.583644
1583285140425,1.3637447,6.5104856,7.691653
1583285140475,-0.3800251,5.847284,7.1281996
1583285140525,0.36601672,6.2713976,7.837089
1583285140575,1.0328913,6.9923954,7.741047
1583285140625,0.31386238,6.4084926,7.8535223
