Time,rotX,rotY,rotZosboxe
1583284706288,2.3550348,0.82220936,1.570322
1583284706337,3.0320935,0.89942855,1.4930298
1583284706387,3.5274987,0.7048225,1.5629939
1583284706437,3.6754184,-0.28604975,1.7008071
1583284706487,3.8735383,-1.2827995,1.5511421
1583284706537,3.6607828,-1.7747397,0.7705458
1583284706587,2.4854748,-1.9819428,-0.32622346
1583284706637,1.2135098,-1.2068622,-1.2271248
1583284706687,1.1840994,-0.1902172,-1.3987519
1583284706738,1.7903472,0.08849129,-1.0731834
1583284706788,1.3831315,0.086255506,-0.9532521
1583284706837,0.08600818,0.15513138,-0.9750375
1583284706887,-0.96800786,0.4248089,-0.65938216
1583284706938,-0.76041126,0.68628865,0.044388074
1583284706987,-0.35887992,0.15379433,0.58679616
1583284707037,0.31293157,0.08810131,1.0763708
1583284707087,2.2702868,1.2837151,1.457654
1583284707138,3.3276148,1.5113454,1.0409238
1583284707187,2.3439744,0.90975875,0.38933238
1583284707238,0.7257574,0.34069183,0.1548496
1583284707287,0.47271785,-0.055588312,0.43822807
1583284707337,0.85586673,-0.2904969,0.7447463
1583284707388,0.6466609,-0.48502672,0.676845
1583284707437,0.14016889,-0.48776588,0.34309828
1583284707487,-0.12785159,-0.5645605,-0.07158977
1583284707538,0.33715007,-0.44818354,-0.7414753
1583284707587,0.66528594,-0.7232883,-2.0192158
1583284707638,0.24704562,-0.9032884,-3.025748
1583284707687,-0.24784185,-0.45186865,-3.161705
1583284707738,0.1833169,0.4925451,-2.5187118
1583284707787,0.80395895,0.6695556,-1.7041816
1583284707838,1.0185074,0.35296154,-1.0165526
1583284707887,0.84970164,0.17587037,-0.21288373
1583284707938,0.06434991,-0.035102285,0.81239384
1583284707987,-1.3452609,-0.22538358,1.9112753
1583284708038,-2.785066,-0.70409626,2.617209
1583284708087,-2.4851372,-0.4120035,2.6406744
1583284708138,-1.3101057,0.3614722,1.9351188
1583284708188,-1.6421554,0.0092420485,1.051417
1583284708237,-2.818428,-0.7085734,0.52076596
1583284708287,-3.1950934,-0.8958688,0.4964212
1583284708338,-2.8297288,-0.74955684,0.93186766
1583284708388,-1.9985034,-0.33248955,1.5546331
1583284708438,-0.78058815,0.40290102,1.8949208
1583284708487,0.3077297,0.58287233,1.2492598
1583284708538,0.48197857,0.48033804,-0.5293357
1583284708588,0.6999452,0.9081767,-2.6217325
1583284708638,1.301656,1.0412513,-3.7899241
1583284708688,2.2023518,0.8208738,-3.7358146
1583284708737,2.8754604,0.4982111,-3.091666
1583284708787,2.5724444,0.054444112,-2.4977076
1583284708837,1.2576762,-0.30080897,-1.9689316
1583284708888,-0.29856375,-0.6387458,-1.2931889
1583284708937,-1.0393176,-0.9165626,-0.25871077
1583284708987,-1.5551436,-0.9939161,1.1479076
1583284709037,-2.2089221,-1.0323853,2.5940745
1583284709087,-1.4193857,-0.15987389,3.3954117
1583284709138,-0.12710102,0.75601447,3.102163
1583284709187,-1.0441465,0.074872665,2.1494489
1583284709237,-2.9538653,-0.935757,1.24873
1583284709288,-3.48751,-1.1100633,1.0511516
1583284709338,-2.976599,-0.7553369,1.4255236
1583284709387,-1.9281406,-0.276105,1.8203789
1583284709438,-0.87866306,0.15501162,1.7518811
1583284709488,-0.6813043,0.61642224,0.8975325
1583284709537,-0.3605799,0.9988298,-0.4616096
1583284709587,0.26969075,1.2588801,-2.1097424
1583284709638,0.9489309,1.1942818,-3.6486595
1583284709687,2.0864708,0.81693405,-4.3224044
1583284709738,3.0289874,0.38449842,-4.089067
1583284709788,2.847587,-0.11640807,-3.5540864
1583284709837,1.4299861,-0.46393543,-2.8395011
1583284709887,-0.59096557,-0.91043776,-2.1005623
1583284709938,-1.2677205,-1.3249874,-1.0146772
1583284709988,-1.553195,-1.7799544,0.39771527
1583284710038,-2.1448982,-1.9955542,2.3168786
1583284710087,-2.6186461,-2.0085914,4.302624
1583284710138,-2.1076229,-1.0524126,4.8896627
1583284710188,-0.6424594,0.9451912,3.9942307
1583284710238,-0.5872949,1.3231239,2.5211594
1583284710288,-2.4703124,-0.26490846,1.091773
1583284710337,-3.6512847,-1.0065464,0.33411777
1583284710388,-3.9720886,-0.7141296,0.5196049
1583284710438,-3.0035,0.22167431,1.1299546
1583284710488,-0.40859854,1.4355834,1.1393292
1583284710537,1.5459169,1.5573493,0.14759728
1583284710587,1.7048696,0.5964559,-1.8335798
1583284710637,0.327315,-0.6262851,-3.6169496
1583284710687,-1.151166,-0.9085758,-4.1707244
1583284710738,-1.0174477,-0.28006205,-3.3759453
1583284710787,-0.2686012,0.0490989,-2.026936
1583284710838,-0.2763005,-0.24792226,-0.9161176
1583284710888,-0.7586965,-0.7173895,-0.20880747
1583284710938,-1.4959155,-1.2694341,0.36332718
1583284710987,-2.755895,-2.1813064,1.0315448
1583284711037,-3.449496,-2.283709,1.5386469
1583284711088,-2.4863238,-0.91945285,1.6021785
1583284711138,-1.6034884,0.13890098,1.3421947
1583284711187,-2.0056138,-0.51666415,1.0054985
1583284711237,-2.7655022,-1.066273,0.8631
1583284711288,-2.6720843,-0.6858724,1.018548
1583284711337,-1.913344,-0.019643137,1.2311827
1583284711387,-1.0123686,0.6681202,1.1628221
