Time,accX,accY,accZ
1583286688462,3.1956065,-8.882644,2.133044
1583286688513,3.0781655,-8.847406,2.1598485
1583286688563,3.0941873,-8.875763,2.1566765
1583286688613,3.1305714,-8.857865,2.1584852
1583286688662,3.1308548,-8.865533,2.1546326
1583286688713,3.1391003,-8.846722,2.1481075
1583286688762,3.1349359,-8.849629,2.1606333
1583286688812,3.072387,-8.862951,2.1743236
1583286688862,3.1272826,-8.863064,2.1449144
1583286688912,3.1003716,-8.928312,2.0931714
1583286688963,3.1397376,-8.841885,2.1352286
1583286689013,3.1332743,-8.84046,2.165071
1583286689063,3.118179,-8.848237,2.1557162
1583286689112,3.174124,-8.867779,2.1025615
1583286689162,3.0862377,-8.904204,2.1076312
1583286689212,3.1056285,-8.875723,2.107545
1583286689263,3.1953578,-8.829918,2.0873308
1583286689312,3.1445353,-8.883124,2.0885513
1583286689363,3.130373,-8.851064,2.12592
1583286689413,3.1476686,-8.873113,2.1125286
1583286689462,3.1192744,-8.896283,2.082233
1583286689512,3.153518,-8.872748,2.0651762
1583286689562,3.1355174,-8.869745,2.0771942
1583286689612,3.193474,-8.855918,2.081827
1583286689663,3.2318,-8.846756,2.0532093
1583286689713,3.126494,-8.918098,2.0777836
1583286689763,3.1849353,-8.856654,2.062868
1583286689812,3.2341547,-8.802791,2.0555007
1583286689863,3.074451,-8.925005,2.078729
1583286689912,3.160794,-8.8634205,2.076353
1583286689963,3.1841567,-8.865394,2.034279
1583286690012,3.129886,-8.87038,2.0645022
1583286690063,3.16534,-8.869677,2.0917573
1583286690112,3.1397235,-8.8734,2.054071
1583286690163,3.1765897,-8.891001,2.0690854
1583286690212,3.1589746,-8.849511,2.0772617
1583286690262,3.057562,-8.913197,2.0733137
1583286690313,3.1405447,-8.886953,2.0811508
1583286690362,3.1347432,-8.868173,2.0846498
1583286690413,3.1089122,-8.923933,2.059843
1583286690463,3.2652457,-8.873771,2.0115404
1583286690513,3.253809,-8.826302,2.1344402
1583286690563,3.0392838,-8.727234,2.1600544
1583286690613,2.8374777,-8.898096,2.1165705
1583286690662,2.8190486,-9.105554,2.081788
1583286690712,2.9842818,-8.929122,2.0649896
1583286690763,3.2202468,-8.814025,2.0793936
1583286690813,3.2385197,-8.798142,2.0916114
1583286690863,2.9767265,-8.959464,2.0602064
1583286690912,2.9042964,-8.984431,1.9898981
1583286690963,2.9237618,-8.988703,1.904937
1583286691013,2.7436202,-9.155777,1.9008133
1583286691063,2.9540493,-9.105698,1.8544343
1583286691113,3.0671124,-9.014928,1.9191903
1583286691162,3.2395132,-9.1560335,2.4907284
1583286691213,3.7144735,-8.914579,3.6970766
1583286691263,4.149451,-8.390347,5.637126
1583286691312,6.0796022,-9.905061,5.405767
1583286691363,7.449282,-8.97005,1.6445112
1583286691413,6.7086697,-9.113258,1.0426867
1583286691463,9.011084,-8.166482,0.2914245
1583286691513,9.724791,-6.2980037,-1.0271955
1583286691562,12.090352,-6.86483,-1.6569853
1583286691612,16.136572,-7.7518883,-5.336402
1583286691663,15.163454,-8.005634,-8.067826
1583286691713,8.816354,-7.312627,-13.476349
1583286691762,2.145733,-9.235962,-17.487103
1583286691812,0.463256,-9.520329,-18.5311
1583286691863,4.3110075,-9.369402,-18.912476
1583286691912,9.486013,-11.242036,-18.561321
1583286691962,16.178507,-12.535895,-16.277567
1583286692013,17.831442,-12.509719,-10.019684
1583286692062,15.458452,-10.710627,-2.3747568
1583286692113,13.236816,-7.6597767,5.350278
1583286692163,11.240427,-5.6251326,12.264103
1583286692212,9.420863,-1.3782382,20.303495
1583286692262,6.366785,1.2024347,24.85949
1583286692312,4.2431464,0.7352678,22.464834
1583286692362,5.6428566,-2.2306402,15.36973
1583286692413,8.9396,-5.431115,9.110856
1583286692462,12.672417,-8.7738495,2.9947243
1583286692512,15.030543,-11.591927,-4.059446
1583286692563,12.387225,-15.724741,-12.475971
1583286692612,5.5300703,-19.869862,-21.012718
1583286692662,-1.6032242,-21.356722,-24.896406
1583286692712,1.3881271,-19.808872,-22.062742
1583286692763,6.5967445,-15.620001,-14.368223
1583286692812,10.1685295,-11.820009,-7.5141315
1583286692862,11.287358,-8.325511,-1.6030585
1583286692913,10.898869,-4.582382,3.6252356
1583286692962,10.141078,-3.5607462,9.454004
1583286693012,8.734361,-4.726389,16.789272
1583286693062,6.064736,-4.4245358,21.937006
1583286693113,4.91241,-3.1722202,21.462845
1583286693162,4.0748878,-3.600213,16.586803
1583286693212,4.861645,-4.4056473,10.966918
1583286693263,6.0538926,-6.158524,6.1954727
1583286693312,6.561731,-8.439703,1.7493079
1583286693363,6.4213815,-10.950962,-3.3139784
1583286693412,4.450782,-12.816116,-8.855491
1583286693463,1.4629892,-15.36862,-15.976789
1583286693512,-1.115645,-17.097631,-19.440575
1583286693562,0.57635474,-16.414022,-17.104687
1583286693613,3.7420726,-12.716934,-11.230827
1583286693663,5.7846427,-9.172453,-5.3965387
1583286693713,6.720824,-8.155135,-0.9589882
1583286693763,6.668252,-6.736395,3.6028633
1583286693812,6.9838424,-5.8131485,8.161447
1583286693863,7.0837884,-6.001335,12.829953
1583286693913,6.4418955,-6.021579,17.976517
1583286693962,4.889252,-5.0721707,21.366047
1583286694013,4.838702,-5.1938057,18.601479
1583286694063,5.5865254,-4.8615627,12.618015
1583286694112,6.1550064,-4.653193,7.5689793
1583286694162,6.9702272,-5.3637733,3.8434372
1583286694212,7.320585,-6.1722145,0.9282346
1583286694263,7.5015774,-7.3183045,-2.0820982
1583286694312,6.873047,-8.013264,-6.2371573
1583286694363,4.9107075,-8.635165,-8.317453
1583286694412,4.831684,-9.691423,-7.501984
1583286694463,3.5876698,-11.389401,-8.10636
1583286694513,3.2362123,-13.275009,-4.844323
1583286694563,4.687538,-14.520474,-2.785963
1583286694612,7.236854,-15.311968,0.5446074
1583286694662,8.980718,-14.863294,3.2460718
1583286694713,10.559701,-12.674872,5.217918
1583286694762,10.3170395,-9.889088,4.769987
1583286694812,10.018618,-9.535427,3.9220767
1583286694863,9.646831,-8.120216,3.409096
1583286694913,7.48687,-6.8039484,2.9712493
1583286694962,6.5372167,-6.17495,3.054917
1583286695013,5.383497,-0.13270211,5.1837344
1583286695063,5.3957787,-1.2759547,5.884756
1583286695112,5.150913,-2.4315217,4.873885
1583286695163,4.7852497,-3.7693703,7.1958437
1583286695213,3.4814632,-0.39384192,12.938599
1583286695262,2.6244984,-0.121610254,12.642092
1583286695313,2.7750585,-2.3142319,8.409349
1583286695362,3.0527854,-4.063395,7.8787518
1583286695412,2.9681318,-3.5953798,9.126394
1583286695463,2.5793552,-2.6185598,9.34544
1583286695513,2.7343009,-2.8283296,9.073347
1583286695562,2.8838704,-3.0326138,8.967311
1583286695613,2.7963977,-2.9214156,9.051468
1583286695662,2.8468342,-2.7478666,9.062155
1583286695713,2.9695077,-2.6142664,9.085924
1583286695763,2.9266765,-2.5462863,9.0889225
1583286695812,2.8614426,-2.6773093,9.122744
1583286695863,2.6921685,-2.8623881,9.049158
1583286695913,2.8051012,-2.8549147,9.107957
1583286695962,2.9503071,-2.5851629,9.190111
1583286696012,2.8534229,-2.3895557,9.221998
1583286696062,2.888335,-2.4928749,9.1383095
1583286696112,2.9340792,-2.7069516,8.990668
1583286696162,2.774674,-3.0114713,9.012152
1583286696213,2.717126,-3.0540087,9.090799
1583286696262,2.720185,-2.7258155,9.183575
1583286696313,2.7404296,-2.5037184,9.268889
1583286696362,2.76452,-2.6236665,9.114417
1583286696413,2.783229,-2.759441,9.05709
1583286696462,2.9638743,-2.604503,9.07759
1583286696513,2.9589071,-2.6008725,9.056146
1583286696562,2.7632968,-2.8142543,9.134467
1583286696613,2.6641686,-2.8130224,9.158121
1583286696662,2.76767,-2.6797824,9.150302
1583286696712,2.907249,-2.5978138,9.12728
1583286696762,2.9600978,-2.6023548,9.074178
1583286696812,2.866992,-2.6383219,9.089831
1583286696862,2.8227193,-2.6520784,9.121605
1583286696912,2.7715836,-2.7026534,9.142841
1583286696963,2.7766206,-2.7825186,9.096702
1583286697013,2.8395772,-2.7136536,9.078194
1583286697063,2.849413,-2.6806993,9.095057
1583286697113,2.8254256,-2.6549053,9.14014
1583286697163,2.8434498,-2.6393812,9.1245775
1583286697213,2.8773685,-2.6825202,9.10288
1583286697262,2.8411405,-2.6725793,9.105502
1583286697313,2.801273,-2.7198856,9.098309
1583286697363,2.7746413,-2.7187316,9.118541
1583286697412,2.7935407,-2.6979191,9.127741
1583286697463,2.847677,-2.6619685,9.111586
1583286697513,2.8688576,-2.6483738,9.103999
1583286697562,2.8527284,-2.6581979,9.094991
1583286697612,2.803364,-2.660565,9.153263
1583286697663,2.8201396,-2.697578,9.110421
1583286697712,2.823363,-2.7043607,9.103899
1583286697762,2.8261554,-2.6905441,9.122725
1583286697812,2.8460102,-2.6682146,9.117219
1583286697862,2.835139,-2.6435773,9.127013
1583286697912,2.8295197,-2.6897807,9.102891
1583286697963,2.8271592,-2.6842144,9.125826
1583286698012,2.8343732,-2.6850138,9.088076
1583286698063,2.8192759,-2.6852586,9.106741
1583286698113,2.8206697,-2.7031167,9.122184
1583286698162,2.797309,-2.7095037,9.09802
1583286698213,2.8733022,-2.6391623,9.122149
1583286698262,2.8602016,-2.6440156,9.113966
1583286698312,2.8333118,-2.6771836,9.100258
1583286698362,2.8571775,-2.6758645,9.105978
1583286698412,2.8421786,-2.6935987,9.1017065
