Time,accX,accY,accZ
1583288595063,-0.3428174,7.913864,6.3675027
1583288595112,-0.40278062,7.659526,6.52367
1583288595163,-0.37459496,7.774587,6.383383
1583288595212,-0.4896037,7.7181854,6.5175815
1583288595262,-0.5516522,7.35419,6.7387986
1583288595313,-0.41429394,7.7240114,6.4606023
1583288595363,-0.2844355,8.61903,5.7899795
1583288595413,-0.3037285,8.400953,5.968183
1583288595462,-0.43044767,8.093115,6.120024
1583288595513,-0.64789885,7.3035345,6.6830254
1583288595562,-0.66302425,6.977943,7.0265727
1583288595612,-0.480245,7.568321,6.4839168
1583288595662,-0.20132115,8.794399,5.68642
1583288595712,-0.22510155,8.421825,5.950374
1583288595762,-0.44770816,7.348006,6.611794
1583288595812,-0.5539914,7.5486126,6.572428
1583288595862,-0.46430555,7.9082093,6.3006086
1583288595912,-0.45937365,7.950356,6.2826257
1583288595962,-0.4566744,7.58955,6.536578
1583288596013,-0.3929213,7.8709803,6.3420916
1583288596062,-0.35958806,8.077091,6.1908474
1583288596112,-0.3990975,7.829794,6.3419747
1583288596162,-0.41629112,7.8687963,6.3509526
1583288596213,-0.35081252,7.931456,6.278108
1583288596262,-0.3677918,7.9143057,6.294191
1583288596312,-0.3393245,7.9048767,6.3262916
1583288596363,-0.34312636,7.925899,6.2798495
1583288596413,-0.35710773,7.936943,6.2535653
1583288596462,-0.36718363,7.899222,6.2997994
1583288596512,-0.369025,7.957378,6.2482686
1583288596563,-0.38048938,7.916376,6.282171
1583288596612,-0.3649837,7.9640965,6.3292475
1583288596662,-0.40478033,7.958127,6.277305
1583288596712,-0.47473755,7.7628045,6.3050656
1583288596762,-0.46237603,7.803657,6.3303523
1583288596813,-0.38361284,7.9213333,6.2670407
1583288596863,-0.30989432,7.920236,6.3185415
1583288596912,-0.31410727,7.8868904,6.325713
1583288596963,-0.2937734,7.9278617,6.29905
1583288597012,-0.27768877,7.9626474,6.258942
1583288597063,-0.3032601,7.9273205,6.295405
1583288597112,-0.29222658,7.885317,6.338604
1583288597162,-0.29271823,7.8773394,6.3390646
1583288597213,-0.2853379,7.8584404,6.365374
1583288597263,-0.25064075,7.8210425,6.3552794
1583288597312,-0.25868496,7.8864765,6.341339
1583288597363,-0.24836369,7.867314,6.393953
1583288597413,-0.21405046,7.8803883,6.3419504
1583288597462,-0.21866226,7.9514503,6.288586
1583288597512,-0.21789181,7.9841204,6.235713
1583288597563,-0.17287356,8.021003,6.1680927
1583288597612,-0.17510645,8.042202,6.153232
1583288597662,-0.191011,8.060443,6.0964003
1583288597713,-0.13690032,8.179623,6.116699
1583288597762,-0.103375226,7.9909782,6.1628685
1583288597812,-0.17954147,8.0350275,6.156564
1583288597862,-0.0940371,8.066093,6.1213193
1583288597912,-0.08002025,8.143555,6.0432444
1583288597963,-0.11638441,8.135078,6.0537167
1583288598012,-0.024288192,8.141133,6.0327034
1583288598063,0.17455915,8.280029,6.022514
1583288598112,0.1809355,8.147102,6.0009904
1583288598162,0.0017091837,8.200233,5.895441
1583288598213,0.16592258,8.20283,5.855127
1583288598262,0.40521485,8.245439,5.813506
1583288598313,0.6986216,8.331692,5.7415867
1583288598363,0.7190005,8.43401,5.5869904
1583288598412,0.46679878,8.539191,5.5540547
1583288598463,-0.4001197,8.613938,5.223626
1583288598512,-0.8587611,8.9442005,4.9260173
1583288598562,-0.8160806,8.874601,4.74725
1583288598612,-1.1028004,8.464964,4.2775764
1583288598662,-1.2237084,9.775583,2.939688
1583288598712,0.6431836,11.270167,1.9721291
1583288598763,-0.98366773,11.609902,0.60984004
1583288598812,-3.504266,12.627812,0.24712713
1583288598863,-5.974185,11.589549,-0.30279422
1583288598912,-6.094049,13.361418,0.06195069
1583288598962,-2.5727954,11.703628,1.3923426
1583288599012,-0.2731672,10.649675,1.1377192
1583288599062,0.4053204,10.899412,2.122939
1583288599113,-0.44612208,10.37627,0.77776945
1583288599162,-1.9634413,10.414279,0.7255769
1583288599213,-3.374879,10.180583,1.0888995
1583288599262,-3.947404,9.49015,1.29423
1583288599313,-3.8704112,8.270601,2.2429225
1583288599362,-2.001845,7.736084,3.1107292
1583288599412,-0.23069921,7.668319,4.661252
1583288599462,-1.2890302,6.984831,5.268236
1583288599512,-4.314769,7.5022454,4.3863277
1583288599562,-6.1186633,10.64007,2.7571921
1583288599613,-4.5890036,11.727051,-1.2783637
1583288599662,-3.373473,13.941391,-5.6638656
1583288599713,-4.3501763,12.566364,-6.537636
1583288599763,-6.334519,9.922671,-7.917703
1583288599812,-4.8559237,6.759096,-6.0340805
1583288599863,-0.7459686,3.7304797,-1.6444383
1583288599912,3.7365322,3.797524,2.3111937
1583288599962,6.029901,2.4416442,4.2178802
1583288600012,7.2098527,0.4419651,6.8147655
1583288600062,5.9196067,4.3435807,8.407398
1583288600113,3.6241376,8.647665,10.720455
1583288600163,3.141015,7.3509245,9.757683
1583288600213,3.183033,6.418878,6.7838964
1583288600263,3.1779737,5.923593,7.4103813
1583288600313,3.9980369,5.522139,6.8793244
1583288600363,3.498088,6.086744,6.7369943
1583288600412,2.7071247,6.9441996,7.264265
1583288600463,2.4925902,6.4891577,7.695377
1583288600512,2.6851058,5.0821166,7.8781114
1583288600562,2.4467783,4.7823815,8.050652
1583288600613,2.5920012,4.90941,7.992763
1583288600663,2.8687072,5.079401,7.890682
1583288600712,3.2904062,4.8788476,8.20068
1583288600763,3.6356921,4.197222,8.5499115
1583288600813,4.040809,3.8767796,9.116158
1583288600863,3.8905878,4.427806,9.737922
1583288600912,4.410522,4.1471963,9.378221
1583288600962,6.4206457,3.1846423,9.175347
1583288601012,5.823573,2.2522676,9.052045
1583288601063,4.434308,1.7422497,8.148828
1583288601112,5.546159,2.06314,7.6194124
1583288601163,4.9796624,2.0639725,8.573759
1583288601212,3.5083773,2.171809,8.625586
1583288601262,3.9814193,0.8472235,7.3920503
1583288601313,4.691446,-0.37045476,6.9235187
1583288601363,4.961426,0.09203434,7.6998787
1583288601412,4.910576,1.5760081,8.787092
