Time,rotX,rotY,rotZosboxe
1583287618800,0.18441182,-0.011883784,0.0042845337
1583287618850,0.25575376,-0.03687625,-0.007056789
1583287618900,0.25683928,-0.023115035,-0.029786311
1583287618950,-0.05685503,0.03102526,-0.03414957
1583287619000,0.055037014,0.0030122027,-0.039901435
1583287619050,0.42850316,-0.16331233,-0.0336781
1583287619100,0.23609495,-0.30892372,-0.020220384
1583287619149,0.25300148,-0.22969066,-0.015641741
1583287619200,0.51226723,-0.23502906,-0.0070425654
1583287619250,0.43731105,-0.18461925,-0.034173496
1583287619300,0.112990454,-0.12340625,-0.06802473
1583287619350,-0.04186324,-0.014747983,-0.0714769
1583287619400,-0.20231447,0.07106283,-0.041756585
1583287619450,-0.20568201,0.071737796,0.009181819
1583287619500,-0.11648691,-0.009466691,0.03827242
1583287619550,-0.38947946,0.009877844,0.050467778
1583287619600,-0.47090116,0.09815186,0.015910715
1583287619650,-0.41671944,0.10592732,-0.015251381
1583287619700,-0.28237322,0.07883075,-0.0038197201
1583287619750,-0.096909836,0.069662556,0.007819121
1583287619800,-0.10778275,0.05917907,0.0303154
1583287619850,-0.1541675,0.076317936,0.032969028
1583287619900,-0.17968763,0.07011813,0.021685418
1583287619950,-0.14727765,0.047722403,-0.0030238503
1583287620000,-0.21355051,0.068385825,-0.025075868
1583287620050,-0.26204473,0.06955902,-0.06975724
1583287620100,-0.10717161,-0.0034991223,-0.08064577
1583287620150,0.025556568,4.026587E-4,-0.06318727
1583287620200,0.10304622,0.0055268314,-0.04444247
1583287620250,0.20921305,-0.0054190606,-0.041180838
1583287620300,0.16771966,0.047312316,-0.03236517
1583287620350,0.12269287,0.08260898,-0.04243343
1583287620400,0.2143271,0.06963934,-0.059611775
1583287620450,0.47208932,-0.01219398,-0.08301833
1583287620500,0.3464044,-0.013711039,-0.048797127
1583287620550,0.1598341,0.029420635,-0.028393194
1583287620600,0.19102758,-0.049332652,-0.04982163
1583287620650,0.1822328,-0.09353265,-0.04941827
1583287620700,0.107931785,-0.045985702,-0.045238115
1583287620750,-0.037258476,-0.037965942,-0.0036157938
1583287620800,-0.2211771,0.10502608,-0.032770976
1583287620850,-0.6581719,0.15041803,0.033065442
1583287620900,-1.0510536,0.50284314,0.056545615
1583287620950,-0.29182112,0.7518047,-0.11235399
1583287621000,-0.8183934,0.2126594,-0.47763592
1583287621050,-0.3828342,0.41643712,-0.87863046
1583287621100,0.5853209,0.7637222,-1.3816394
1583287621150,0.41077006,0.9160089,-1.9006749
1583287621200,-0.017268408,1.0079124,-2.3129516
1583287621250,-0.93363136,1.0393538,-2.397053
1583287621300,-2.829537,1.4456203,-2.1563194
1583287621350,-1.1885173,1.2658265,-2.0538976
1583287621400,0.69570965,0.6965021,-1.8986622
1583287621450,0.59071827,0.7403946,-1.4590539
1583287621500,-0.08415904,1.2835624,-0.88286066
1583287621550,-0.15113693,1.6073705,-0.26995867
1583287621600,0.15107088,0.9764985,0.15436879
1583287621650,0.2149347,0.38898873,0.33231312
1583287621700,-0.43167898,-0.05145325,0.45356068
1583287621750,-0.10468488,-0.03907212,0.7827632
1583287621800,1.1370509,-0.052709255,1.3640494
1583287621850,3.447803,-0.20613487,1.8584763
1583287621900,4.1872234,0.0624601,2.4167817
1583287621950,2.2330198,0.4554375,2.7950642
