Time,rotX,rotY,rotZosboxe
1583287939325,-0.04393644,0.002280347,3.8499804E-4
1583287939375,-0.028696815,0.0026084199,0.006379685
1583287939425,-0.030294102,0.0037410432,-2.4262536E-4
1583287939475,0.004560972,0.008986954,-0.0026894524
1583287939525,-0.0021065352,0.001197252,-0.0030778216
1583287939575,0.012146574,1.7691404E-4,-0.0062506003
1583287939625,4.1876378E-4,0.0010236478,-0.0035343426
1583287939675,0.020326313,0.0025493936,-0.0070994073
1583287939725,0.008066027,8.896827E-4,-0.005105906
1583287939774,0.011204884,-0.001918307,-0.0030096383
1583287939825,0.02403379,-0.004309232,-0.0019335882
1583287939875,-0.008297219,0.0017997478,-6.1996887E-4
1583287939925,0.0024216413,-0.0014274316,0.0035902145
1583287939975,0.0017596204,-0.0051921704,0.007017446
1583287940025,-0.016534556,-0.0021338877,0.006100998
1583287940075,0.006648263,-1.2780027E-4,-1.703999E-4
1583287940125,-0.010068527,0.0029287508,0.0029942929
1583287940175,0.003568641,0.0013476447,0.0011593117
1583287940225,8.159986E-4,-0.004120111,0.002419021
1583287940275,0.0052815224,-0.0029537887,0.0026232698
1583287940325,-0.014330492,0.0019493871,-7.0040906E-4
1583287940375,0.0055942084,-0.0012454907,3.3416087E-4
1583287940425,-0.0067517143,-7.403381E-4,-7.5621344E-4
1583287940475,0.0076636053,4.914375E-4,-0.004023862
1583287940525,0.0038456568,-0.0026911558,-2.22011E-4
1583287940575,-0.0067902603,-0.0011040517,4.3004146E-4
1583287940625,-2.8306304E-4,-0.001355682,-0.0022511212
1583287940675,0.0012817101,-9.821146E-4,-0.0011922196
1583287940725,0.004009385,-2.7047703E-4,-8.508158E-4
1583287940775,0.0014635453,-4.239981E-4,-0.0024582432
1583287940825,-0.00239495,-0.0032125018,-4.449119E-4
1583287940875,6.1594753E-4,0.0019641938,-0.003603714
1583287940925,0.004321716,0.0015814146,-0.0025560106
1583287940975,-0.0017660968,-3.0919025E-4,-5.1918766E-4
1583287941025,6.005944E-4,5.40975E-4,-9.170929E-4
1583287941075,-0.0036259019,-1.8058904E-4,0.0010286123
1583287941125,0.0036583077,0.0015984923,-0.0017821651
1583287941175,0.0010428722,9.82435E-4,0.0021102168
1583287941225,-0.0028709862,-0.0015398874,-3.045583E-4
1583287941275,0.0029580258,3.1516096E-4,-0.0012537381
1583287941325,-0.0064414153,-0.0026962874,0.0024041464
1583287941375,-0.0015472183,-0.0021584681,0.001097159
1583287941425,8.588322E-4,0.0016930862,-0.00270034
1583287941475,0.007797596,0.002500809,-0.00295573
1583287941525,0.0055293506,0.003821418,-0.002208718
1583287941575,0.0059685744,0.003339284,-0.0026491876
1583287941625,9.04157E-4,0.0035812887,-0.002379709
1583287941675,0.007378752,0.0014693798,-7.7928184E-4
1583287941725,0.0023734258,-4.0859682E-4,0.0020022881
1583287941775,0.00469492,-0.0021128883,4.0413206E-4
1583287941825,0.0065338644,-0.0014904123,-5.1918766E-4
1583287941875,0.00661812,-3.1558424E-4,6.2272185E-4
1583287941925,-9.848343E-4,0.001959999,-0.0022189051
1583287941974,0.01033882,0.0041495464,-0.0013869968
1583287942025,0.011299335,-0.0010643746,-0.002786269
1583287942075,0.008316186,2.3338618E-4,-0.0035504615
1583287942125,0.006327588,-0.0032452005,0.0018166136
1583287942175,-7.753921E-4,-0.0010110461,-5.9217773E-4
1583287942225,0.0013875072,0.0014644326,-0.00291021
1583287942275,0.014503511,2.4676463E-4,-5.181413E-5
1583287942325,-0.0038695377,3.8390746E-4,-0.0014622449
1583287942375,0.009155481,0.0034494647,-0.0037294643
1583287942425,0.009096316,-0.0025512776,2.6250724E-4
1583287942475,0.0031250736,0.0026206176,-0.0029305685
1583287942525,0.0016284143,-2.4746126E-4,-2.0005787E-4
1583287942575,0.006744137,0.0014008195,-0.0012536359
1583287942625,-0.0070619313,0.0010361387,-0.0012297286
1583287942675,0.0037168881,0.0010231142,-0.0016639535
1583287942725,-0.0035489975,3.7465943E-4,-4.1771494E-4
1583287942775,-0.0039385725,3.6818115E-4,0.0013955277
1583287942825,-0.0024735527,3.8894825E-5,-3.3671642E-4
1583287942875,-0.012372221,3.6029192E-4,-9.748412E-4
1583287942925,-0.0021374198,-0.0045165806,0.004796144
1583287942975,-0.0066405544,-0.0023272014,-2.6866747E-4
1583287943025,-0.0067024515,3.001853E-4,-2.8508483E-4
