Time,accX,accY,accZ
1583286768462,3.7002208,-2.2060316,8.946657
1583286768513,4.0399613,-2.3184783,8.831569
1583286768562,4.2471795,-2.0814629,8.668396
1583286768612,4.489423,-1.2780285,8.63446
1583286768663,4.7776237,0.30316395,8.668615
1583286768712,4.972648,0.68293536,8.713702
1583286768762,4.7717957,-0.5263587,8.81864
1583286768812,4.5368557,-0.28250992,8.936812
1583286768862,4.230273,-2.5628057,8.494531
1583286768912,4.6492376,-0.9722152,9.196083
1583286768962,7.393005,4.530436,9.661472
1583286769012,7.514407,4.9653883,5.6038337
1583286769062,8.887633,6.1840053,3.8556893
1583286769113,15.740938,6.7739363,5.254847
1583286769163,24.512829,0.4344604,5.897392
1583286769213,27.928308,-4.790646,5.723955
1583286769263,23.35857,-13.11388,2.4832375
1583286769313,16.918867,-17.886528,1.2158015
1583286769363,13.517824,-19.837082,-2.5465016
1583286769412,9.721182,-19.292013,-7.147946
1583286769462,11.227085,-13.41056,-6.3306136
1583286769512,13.367425,-5.122494,-5.6885767
1583286769562,8.611376,4.81461,-5.050353
1583286769613,2.3597262,9.764978,-2.2184112
1583286769662,3.3876657,10.612382,2.2194111
1583286769712,6.458498,8.583303,3.8710213
1583286769762,8.742524,7.146654,7.970073
1583286769813,12.411274,5.2476697,12.758538
1583286769863,17.616732,2.8153882,16.007156
1583286769912,24.30474,-2.027693,16.770098
1583286769962,27.435373,-9.828829,15.478033
1583286770013,24.327717,-18.59745,12.460964
1583286770062,19.696692,-21.553307,8.160497
1583286770113,14.743051,-21.713583,2.7853024
1583286770162,12.342369,-17.241634,-1.8379225
1583286770212,11.6923065,-11.395348,-5.1288543
1583286770263,12.469733,-5.181718,-5.2378063
1583286770313,10.38801,0.47884429,-3.9074829
1583286770363,6.7784567,4.1507645,-1.975874
1583286770413,3.4615166,6.8217945,-0.12794459
1583286770463,3.3430924,7.535275,1.9292762
1583286770512,5.4035673,6.185231,3.5430756
1583286770563,9.016112,4.6040807,9.309131
1583286770612,12.6839,4.322207,17.243189
1583286770662,17.38802,0.7002021,21.10984
1583286770713,23.99797,-5.0871735,20.689398
