Time,rotX,rotY,rotZosboxe
1583286588762,0.3148896,-1.4914356,1.0620971
1583286588813,0.727713,-3.7184098,1.874293
1583286588862,0.3533982,-4.9205,2.1323493
1583286588912,0.083560556,-5.646041,2.2990246
1583286588962,0.2079527,-5.3545775,2.2207465
1583286589013,-0.8536589,-4.652272,1.8608731
1583286589062,-1.0728067,-3.4027932,1.2357545
1583286589113,-0.47705913,-1.2757603,0.4862585
1583286589162,0.26490718,0.8898575,-0.34571698
1583286589213,0.33683217,2.6783116,-0.93791664
1583286589263,0.2587353,3.7645328,-1.4948788
1583286589313,-0.0051439404,4.3280115,-1.8001701
1583286589362,-0.5538016,4.550422,-1.7736261
1583286589412,-0.811593,4.3933344,-1.5063388
1583286589462,-0.42412746,3.7854633,-1.2410071
1583286589512,-0.0023381412,3.0599134,-1.08015
1583286589562,7.5306E-4,1.4778553,-0.44512463
1583286589613,-0.106977604,-0.39335838,0.52008295
1583286589662,0.48384255,-2.1990552,1.1405241
1583286589713,0.85087585,-3.1306796,1.3936294
1583286589762,0.8811001,-3.8040555,1.429076
1583286589812,0.91675615,-4.1124177,1.4067295
1583286589862,0.59415233,-4.0779996,1.3545803
1583286589913,-0.100438885,-3.865777,1.2408425
1583286589963,-0.48888713,-3.3086815,1.1459932
1583286590013,-0.28845763,-2.4146788,1.0077071
1583286590062,-0.28183013,-1.0322936,0.7217378
1583286590113,0.26374364,-0.00308719,0.62936956
1583286590163,0.3923167,0.53816503,0.92234457
1583286590212,-0.06369956,0.9064176,0.9484255
1583286590262,0.089231,1.1253111,0.627622
1583286590312,0.86627114,1.2463208,0.18362494
1583286590362,0.6351528,1.2028326,-0.2992807
1583286590412,-0.03781925,0.8111779,-0.827557
1583286590462,-0.416834,0.39441505,-1.3112565
1583286590512,-0.705055,0.16834375,-1.6519294
1583286590563,-0.7398691,-0.19952567,-1.9636697
1583286590612,-0.6017171,-0.3257825,-1.6825495
1583286590662,0.511833,-0.5750776,-0.7817024
1583286590713,1.1185007,-1.3649083,0.495816
1583286590763,2.2952693,-1.3480784,1.7268734
1583286590813,3.9147632,-0.193979,2.3100946
1583286590862,3.4543576,0.32144618,2.0412354
1583286590913,2.7075744,0.14361867,1.487254
1583286590963,2.3243084,-0.38967413,0.9359223
1583286591012,2.1963892,-1.1321317,0.68780786
1583286591063,1.5212787,-1.6356244,0.62716925
1583286591112,1.5710988,-1.6754953,0.72673
