Time,rotX,rotY,rotZosboxe
1583286788763,1.148264,3.0825539,-0.628963
1583286788813,0.93809456,3.625529,-0.9855593
1583286788863,0.5345064,3.7008798,-1.2309214
1583286788912,-0.015455973,3.7302094,-1.2927132
1583286788963,-0.4642948,3.7582204,-1.4454428
1583286789013,0.10881527,3.4837875,-2.2775028
1583286789063,1.2884438,2.520335,-3.5944161
1583286789112,0.9724089,1.270882,-4.220282
1583286789162,0.9699831,0.04383725,-4.2918696
1583286789213,1.5274012,-1.3873149,-3.9694064
1583286789262,2.3787458,-2.5005546,-3.3555503
1583286789313,3.9988968,-3.305058,-1.9189748
1583286789362,4.420145,-3.5790827,0.2510101
1583286789413,3.1141074,-2.8455656,2.219964
1583286789462,1.9507496,-1.943727,3.4271
1583286789512,0.84724367,-1.3303354,4.0280743
1583286789562,0.5002057,-1.219355,3.6672933
1583286789613,3.0303924,-1.1836566,2.3979049
1583286789663,10.157693,-0.023997037,0.2897726
1583286789712,7.4654613,-0.012339709,0.2089774
1583286789762,4.66978,-1.2855147,0.72107446
1583286789812,3.8611658,-1.3479893,0.05315906
1583286789863,0.90549374,-0.602645,-0.08178899
1583286789913,-0.80617994,-0.018395191,-0.13433695
1583286789962,-0.73032904,0.16489321,0.17459962
1583286790013,-0.9275378,0.23848245,0.23957315
1583286790063,-0.79921985,0.16947982,0.09241626
1583286790113,-0.20294103,0.07609501,-0.086419605
1583286790163,0.049225353,0.04523394,-0.12128254
1583286790213,-0.045072082,0.049845286,-0.07485536
1583286790263,-0.12449512,0.034645367,-0.024774391
1583286790312,-0.08983398,-0.0069607873,0.009276237
1583286790362,0.008385654,-0.057348184,0.005116417
1583286790412,0.012879073,-0.055741668,-0.011826598
1583286790462,-0.0073679304,-0.023392064,-0.00764699
1583286790512,-0.015312004,-0.009654706,0.0027487911
1583286790563,-0.050149012,0.0040997164,0.008213878
1583286790612,-0.030858027,0.0036703334,0.0034003574
1583286790662,-0.017249329,0.008279059,-0.0029947804
1583286790713,0.016568413,-0.002117773,-0.010994738
1583286790762,0.0013394915,-0.0060991687,-0.009364229
1583286790812,-0.016557815,-0.003138755,-0.0029793652
1583286790862,-0.017388104,-2.3409026E-4,2.1392107E-4
1583286790912,-0.021702133,0.010601604,0.0027659172
1583286790963,-0.015975568,0.0049745403,-0.0036223698
1583286791013,-0.0028463278,-0.0017006523,-0.0061777914
1583286791062,-0.002219656,-0.0017599617,-0.0031887798
1583286791112,0.0030304913,0.0021811058,-0.0014737896
1583286791163,0.008098368,0.0032140801,-0.0035397382
1583286791213,-0.0077316696,0.0026419768,-0.0041118413
1583286791262,0.0030024217,-0.0012220661,-0.0037619516
1583286791313,-0.0070314645,0.0046093483,0.0018324433
1583286791363,-0.008247756,0.009830758,0.0015813801
1583286791413,-0.0021049983,6.460096E-4,-0.0031715147
1583286791463,-0.0060119336,-0.0014613229,-0.0011755447
1583286791513,0.004746259,-0.0018589175,-4.7073932E-4
1583286791562,0.0020649126,0.0021490804,-0.002813412
1583286791612,0.0012168917,0.0021490804,-0.0041443696
1583286791661,0.0052064657,0.0012667789,-0.003722437
1583286791712,-0.0024053098,0.0031253654,-0.0013210233
1583286791763,6.2352215E-4,0.003225342,-7.034922E-4
1583286791812,-0.0010304945,0.007230458,-7.8094564E-4
1583286791862,0.0035429166,0.00404492,-0.0021424023
1583286791913,-0.001309999,-0.0040331786,-0.004500868
1583286791962,-1.3555912E-4,0.0016281786,-0.0016701892
1583286792012,0.0023459517,0.007251183,0.0011413135
1583286792063,-0.0042676157,0.004581105,-0.0011077132
1583286792113,0.0016772605,-0.0042409194,-0.0044857115
1583286792162,-0.0010461963,-0.0011283974,-0.0019834768
1583286792212,-0.002482215,0.0036199754,0.001379367
