Time,accX,accY,accZ
1583287128462,25.84306,-3.0300355,19.589449
1583287128513,28.23936,-10.333492,19.451666
1583287128562,26.034447,-17.948053,16.406445
1583287128613,19.541515,-20.797825,7.95922
1583287128662,13.646908,-18.489227,2.119143
1583287128713,10.627825,-11.611376,-1.1509035
1583287128762,10.682056,-7.926859,-4.2830477
1583287128813,11.082352,-2.4277818,-3.763503
1583287128863,8.762892,1.0244799,-3.3327818
1583287128912,5.1176424,3.3066494,-2.6163237
1583287128963,5.4252377,3.9431183,-0.3489201
1583287129013,6.092148,3.8317857,1.3840839
1583287129063,7.834589,2.5543058,2.3595948
1583287129113,9.1592865,0.8181611,5.317304
1583287129163,11.272679,-2.4712267,9.449596
1583287129213,12.943707,-8.309453,12.917095
1583287129263,16.81763,-13.477509,9.624294
1583287129313,18.684078,-15.149515,40.14126
1583287129362,4.7889953,-3.1086013,7.804197
1583287129412,6.5985603,-3.9725065,1.3945777
1583287129463,7.429012,-8.273407,3.5897794
1583287129512,6.866345,-6.2275367,3.951276
1583287129562,7.9144716,-4.8538656,4.1799593
1583287129612,9.960205,-4.423521,3.0884771
1583287129663,11.325675,-2.5183957,4.7382674
1583287129712,18.673878,-1.5720377,6.659833
1583287129763,19.526909,2.0318646,2.035943
1583287129813,10.362902,10.357024,-13.004452
1583287129862,11.838097,3.3777947,-6.023446
1583287129912,10.940416,1.6785457,-5.292004
1583287129962,9.15613,1.1164247,-3.1614342
1583287130012,6.651674,0.62402433,-2.3446205
1583287130063,6.0378084,-0.42346096,-2.1608968
1583287130112,6.083421,-0.1052483,-1.2908418
1583287130162,3.66133,0.06854597,-0.76744854
1583287130212,0.98943245,0.042540863,0.53889024
1583287130262,2.7935665,0.18923613,0.6083251
1583287130313,13.712555,-0.8648808,-2.3765507
1583287130363,19.614462,-3.538196,-5.4335494
1583287130412,15.161287,-3.855158,-1.5273864
1583287130463,11.802982,-4.2773213,3.794908
1583287130512,7.8182135,-2.941593,4.4655275
1583287130562,5.2060943,-1.585299,3.2562437
1583287130613,6.970974,-1.9368701,2.6688895
1583287130663,8.62614,-1.630099,1.2428136
1583287130712,8.085017,-3.0383096,0.61093485
1583287130762,8.694876,-3.0455794,0.29831326
1583287130813,10.845379,-2.2192013,0.029371247
1583287130862,12.971762,-1.299468,-0.1387322
1583287130912,15.282476,-0.36950988,-0.6304749
1583287130963,11.04125,1.3773506,0.29255554
1583287131012,12.1191025,3.2254398,-0.9480804
1583287131063,8.793268,3.0446894,0.16794801
1583287131112,7.0101895,1.6754975,2.111417
1583287131162,7.207389,0.6868231,2.1719978
1583287131212,8.5028515,-0.0155392885,1.645459
1583287131263,9.286956,-1.1172416,1.4967909
1583287131312,9.840518,-1.6307179,2.0375752
1583287131362,12.162826,-1.9522617,2.2364833
1583287131412,15.232386,-2.2656968,2.6001859
1583287131462,15.565903,-1.8357382,3.4678516
1583287131512,12.286672,-1.2729203,3.6921618
1583287131563,14.536088,-0.87501895,1.3081428
1583287131612,14.740252,-0.08628589,-0.21026471
1583287131662,13.447842,0.97195905,0.98541677
1583287131712,11.231822,0.52239186,1.5952873
1583287131763,8.952469,-0.23179024,0.5438116
1583287131812,6.9514337,-0.6278989,-0.31144512
1583287131863,6.209139,-0.9262476,-0.030607166
1583287131913,7.1262746,-0.74746436,0.37938562
1583287131963,8.183847,-0.40888765,0.6419722
1583287132012,11.400638,-0.015215725,0.82471687
1583287132062,14.000328,-0.86176944,2.5253506
1583287132112,15.824591,-0.4541319,2.2904823
1583287132163,14.291288,0.07607849,-0.08965775
1583287132213,11.944872,-0.5406753,2.0893774
1583287132263,9.06177,-1.9479512,1.4240483
1583287132313,9.23876,-2.0572958,0.45541316
1583287132363,9.445846,-2.0512698,0.25318834
1583287132413,9.318031,-2.4599047,0.2805756
1583287132463,10.389148,-2.1616497,0.624208
1583287132513,12.113275,-2.7029672,1.1281029
1583287132563,12.340677,-3.1624584,1.6739558
1583287132613,12.359169,-3.1304014,2.358769
1583287132663,15.320255,-2.7658958,1.2044768
1583287132713,12.392461,-1.3374809,0.323473
1583287132762,11.600857,-0.8668973,0.3999207
1583287132812,11.152553,-0.2684132,1.2698388
1583287132863,9.386842,0.17305204,1.2310811
1583287132912,7.672515,0.0046233535,0.32078597
1583287132962,7.856565,-0.9431226,0.16375183
1583287133013,10.816826,-0.84446704,-0.26645625
1583287133062,12.00213,0.34449157,-1.0343884
1583287133113,11.177564,0.23135194,0.15119666
1583287133162,11.825416,-0.74919444,0.509385
1583287133213,11.620184,-1.4815321,1.2004656
1583287133263,13.019759,-0.3645156,2.3340962
1583287133312,12.758124,-1.1720207,2.9768019
1583287133362,11.113114,-2.4049265,3.0826864
1583287133413,9.313012,-5.7389426,1.9992037
1583287133463,6.810857,-4.601413,-0.15675731
1583287133512,4.9427905,-4.683799,-2.1983354
1583287133563,3.8016212,-8.734639,-2.7576356
1583287133613,3.592464,-9.280507,-3.3974652
1583287133663,6.849529,-7.579967,1.9904847
1583287133713,9.675602,-8.976865,4.954937
1583287133762,10.640685,-9.545547,4.5006194
1583287133812,8.435304,-3.09126,-0.3227322
1583287133863,8.5875025,-1.3251504,-1.431225
1583287133913,8.6335335,-0.26904368,-2.4005198
1583287133963,9.3981495,-2.0002608,-0.47055197
1583287134012,7.4975643,-5.911641,0.6104333
1583287134062,5.450508,-6.194123,0.3222773
1583287134112,5.252101,-6.5909166,0.49430758
1583287134163,6.4231753,-7.9719,-0.027662307
1583287134212,7.841794,-7.3766813,-1.3007094
1583287134263,10.399714,-6.3594923,-2.7790542
1583287134313,13.594754,-8.071225,-2.2570255
1583287134363,15.131792,-2.4350734,-0.008760929
1583287134412,14.599691,2.4128397,1.0080409
1583287134463,13.16958,1.2679317,-1.1122093
1583287134513,11.394373,-2.0698776,0.109539926
1583287134563,7.7096252,-0.7110771,1.2871878
1583287134612,5.099798,-2.6016855,1.940741
1583287134663,4.5200195,-3.1238534,2.6435978
1583287134713,3.5138597,-3.0055752,1.3088509
1583287134763,3.0673113,-4.318428,0.16963094
1583287134813,4.8488016,-6.1502056,-0.3753557
1583287134862,8.555785,-7.6827807,0.66038215
1583287134913,12.180519,-6.705639,0.814397
1583287134962,13.0995655,-4.58961,1.019826
1583287135013,12.571727,-4.1718173,0.3518294
1583287135063,12.568159,-5.7350187,0.19706497
1583287135113,10.454763,-3.5410438,-1.0033501
1583287135162,10.320574,-0.7747309,0.8040448
1583287135212,10.54408,0.24875864,2.7105832
1583287135262,10.154003,0.020414367,1.8260738
1583287135312,9.172456,-1.0327588,1.7818028
1583287135362,9.3010025,-1.2870823,1.667424
1583287135413,10.565233,-0.8725473,0.7953456
1583287135462,11.895278,-0.20091556,0.45090103
1583287135513,12.369243,-0.7136947,1.0753716
1583287135562,10.908848,-0.96598524,1.6647568
1583287135612,8.552521,0.24303764,-0.18398373
1583287135663,9.611606,-0.07976869,-0.57627034
1583287135713,10.3270855,-0.8494439,-0.26992127
1583287135762,9.704548,-1.5090411,-0.6081978
1583287135812,9.717639,-2.2454042,-0.95342934
1583287135863,9.504324,-2.4802606,-0.80735624
