Time,accX,accY,accZ
1583288495062,0.35401595,9.46876,5.051207
1583288495112,0.054630622,9.262825,5.7351274
1583288495162,-0.26575184,7.6756926,6.2094445
1583288495213,-0.5794563,7.276903,6.0124507
1583288495262,-0.27358308,7.205734,5.937707
1583288495312,0.023093253,6.9184403,5.074869
1583288495363,-1.2516708,9.083247,6.132773
1583288495413,-1.210553,8.881591,5.8262997
1583288495462,-0.5343408,8.154579,6.0070205
1583288495513,-0.2819024,8.136931,6.1298585
1583288495562,-0.41576558,8.391591,6.1446757
1583288495612,-0.24863258,8.478731,5.830857
1583288495662,-0.4452936,7.2467318,5.7937546
1583288495713,-1.2254472,9.094412,5.739877
1583288495762,-1.0528988,8.437295,6.0515895
1583288495812,-0.8971427,7.781718,5.738915
1583288495862,-1.1207134,8.604258,5.3556194
1583288495912,-1.1758702,8.788629,5.7352595
1583288495962,-0.80059665,8.316632,5.9836917
1583288496012,-0.6036534,7.586521,6.5167966
1583288496062,-0.9857906,8.205933,5.741341
1583288496113,-1.0680081,8.837943,5.096754
1583288496163,-1.5668728,8.541749,5.5493584
1583288496212,-1.7868459,6.848194,7.6961265
1583288496263,-0.717385,6.9808292,7.4672394
1583288496312,-0.38888448,7.7129774,6.0454855
1583288496363,-0.73434776,7.92696,5.7983136
1583288496413,-0.5863626,7.994418,6.418692
1583288496462,-0.89970344,8.1508,6.4176235
1583288496512,-1.1499712,6.808096,5.99319
1583288496563,-0.9963805,6.032264,7.5283427
1583288496613,0.17035294,7.4012704,7.868714
1583288496662,1.6142105,7.560606,6.6741743
1583288496713,1.5872523,7.6317415,5.8315144
1583288496762,-0.74591756,7.8981853,6.4803185
1583288496813,-1.3210142,7.6443825,7.083731
1583288496863,-0.9714432,7.4952126,6.8570976
1583288496913,-0.8204356,7.374417,6.64931
1583288496962,-0.8745997,7.459763,6.716727
1583288497012,-0.9456172,7.365545,6.8776026
1583288497062,-1.1555905,7.429935,7.1405277
1583288497113,-1.0125072,7.3799987,6.8903217
1583288497163,-0.78960764,7.552666,6.777027
1583288497212,-0.4123379,7.6053853,7.1194153
1583288497263,0.19527262,6.2356277,7.4040313
1583288497313,0.3384844,6.141521,8.018168
1583288497363,0.5135918,7.100772,7.7770457
1583288497412,-0.27441466,7.253195,7.106547
1583288497462,-1.6356788,7.365144,6.8897953
1583288497512,-2.0429423,6.73816,6.487099
1583288497563,-2.1244216,7.089989,6.706556
1583288497613,-1.1023899,7.4357853,6.864505
1583288497662,-0.3203818,7.6915665,7.0364304
1583288497712,-0.38546813,7.2445064,7.200598
1583288497762,-0.41582155,7.2684135,6.8295903
1583288497813,-0.3839417,7.731301,6.6360054
1583288497863,-0.46093637,7.598095,6.5930624
1583288497912,-0.55625576,7.767532,6.517605
1583288497963,-0.4442294,7.8792458,6.4332066
1583288498012,-0.37593105,7.7917495,6.4215465
1583288498062,-0.44976574,8.020987,6.323406
1583288498112,-0.46359214,8.025615,6.284085
1583288498163,-0.41783103,8.04805,6.2834644
