Time,rotX,rotY,rotZosboxe
1583286618762,0.010912642,-0.012764411,-0.0015932238
1583286618812,0.001436303,-0.0026893886,0.0016325689
1583286618862,-5.1968545E-4,0.0016205637,-3.1267712E-4
1583286618913,-3.8771803E-4,-0.002114411,-0.0029819403
1583286618962,0.0016386664,-0.002114411,-0.0036392426
1583286619012,7.8708085E-4,-0.002114411,-0.001363846
1583286619062,0.0045283595,-0.0056008073,-1.9586273E-4
1583286619112,0.004024795,-0.0070236744,-0.0015309011
1583286619163,5.593995E-4,-0.0029455284,-0.0014943876
1583286619212,0.0021043988,-0.001049411,-0.0011151643
1583286619263,8.3890115E-4,2.309028E-4,8.5479673E-4
1583286619312,-0.003641758,0.00488814,-9.109806E-4
1583286619363,-8.166186E-6,-0.0045225825,-7.7937124E-4
1583286619412,0.0025440585,-0.0025886279,0.0018901494
1583286619462,0.0046602334,7.301974E-4,-0.00129036
1583286619513,0.006434456,-0.001049411,-0.0026257392
1583286619562,0.0043412237,-0.0039115753,-0.0025296228
1583286619613,0.008694994,-0.0062947227,-0.0041507883
1583286619663,0.0025440585,-0.0054226527,-0.0017994607
1583286619712,0.0034648394,-0.0015098015,-5.0164293E-5
1583286619763,0.0032131998,-0.0050361278,-0.0015110227
1583286619812,0.0025440585,-0.0063744104,-0.002180164
1583286619862,0.0026996918,-0.008971311,0.0010148361
1583286619912,0.0048860735,-0.013402097,1.6349228E-4
1583286619962,0.008891192,-0.018046545,-0.0032022982
1583286620013,0.0051703095,-0.023017408,-0.007207413
1583286620063,-0.009954084,-0.0019644313,-0.019742258
1583286620112,-0.21326229,0.15083688,-0.0721115
1583286620162,-0.5609788,0.6056694,-0.20819892
1583286620212,-0.9370614,0.89186704,-0.3243977
1583286620262,-1.8543164,0.9467683,-0.42119643
1583286620313,-1.457635,1.3283671,-1.1139407
1583286620362,-0.019696891,1.5472313,-2.3441393
1583286620412,-1.3046556,0.8063452,-3.188175
1583286620462,-3.8480716,0.7298725,-3.5230222
1583286620512,-4.9557576,1.6250465,-3.3446462
1583286620563,-3.9372993,2.8952563,-2.9157045
1583286620612,-3.465775,3.589729,-2.2062275
1583286620662,-3.5539505,3.8977776,-1.3387083
1583286620713,-3.6819928,3.9436517,-0.36594945
1583286620762,-2.3286545,3.4730313,0.42093775
1583286620812,-0.38657027,2.1479588,0.88236266
1583286620862,-0.84889096,0.3088206,1.437681
1583286620912,-0.86270326,-1.6151917,2.4064996
1583286620962,-0.20218465,-3.2997386,2.8451116
1583286621013,-1.1303935,-4.3212466,2.7087193
1583286621062,-0.91243964,-4.992082,2.3994029
1583286621113,0.02429078,-5.520943,2.1708558
1583286621162,-0.22053486,-5.2448444,1.6751668
1583286621213,-0.74006575,-4.2523055,1.075311
1583286621262,-0.5413896,-2.8202217,0.89256793
1583286621313,0.070534416,-0.98170155,0.47396103
1583286621362,0.17705762,1.068471,-0.33496878
1583286621413,0.17322946,2.7953448,-0.9954235
1583286621462,-0.20819016,3.863476,-1.2824669
1583286621512,-0.26771995,4.5771546,-1.4509478
1583286621562,-0.59067,4.9771934,-1.3876537
1583286621613,-0.83755535,4.94144,-1.0184911
1583286621663,-0.06047723,4.187776,-0.8235894
1583286621713,-0.13828377,2.8191557,-0.67794967
1583286621763,0.021413356,0.79229057,-0.33700398
1583286621813,0.3538855,-1.3588341,0.2273226
1583286621863,0.7163039,-2.975182,0.6891978
1583286621913,0.7659889,-4.107742,0.81408185
1583286621963,0.52779514,-4.989625,0.91068256
1583286622012,0.91638374,-5.476346,1.3767359
1583286622062,0.2470249,-4.817219,1.4651928
1583286622112,-1.0177785,-3.649446,1.1566899
1583286622162,-1.0047208,-2.1832807,0.8334966
1583286622212,0.33430386,-0.2409059,0.2011797
1583286622262,0.5765261,1.46524,-0.43990135
1583286622312,0.9810086,2.785122,-0.9673642
1583286622363,0.77851266,3.8134046,-1.3350451
1583286622413,0.16267046,4.556714,-1.5099137
1583286622463,-0.32512417,4.9330387,-1.2724555
1583286622513,-0.9721132,5.0528784,-0.9595501
1583286622563,-0.10337502,4.7574687,-0.9918442
1583286622612,-0.03632871,3.854563,-0.8366052
1583286622663,-0.47221583,2.183875,-0.53126585
