Time,rotX,rotY,rotZosboxe
1583287969325,0.0061488375,8.434993E-4,7.5074146E-4
1583287969375,0.010697836,0.001822242,0.0056789876
1583287969425,-0.0084429635,0.0023196395,0.0067713675
1583287969475,-0.007000329,-8.074804E-4,-8.0872E-4
1583287969525,0.013311344,-0.0024253163,-0.004491194
1583287969574,-0.023671638,0.0064982697,0.009254694
1583287969625,0.012055215,-0.0051777815,-0.008671602
1583287969675,0.011296527,0.0012304666,0.005219582
1583287969724,-0.0033181957,8.855723E-4,1.1574803E-4
1583287969775,-0.0014707062,0.0011790926,0.0027883672
1583287969825,0.0018608877,-0.0038078683,-0.005522917
1583287969875,0.008975582,0.0016890918,0.0033181221
1583287969925,0.0015318173,-0.0021073637,-0.0024677059
1583287969975,-0.002040723,0.0015478735,0.010989506
1583287970025,-0.002223399,0.0066604055,0.019916104
1583287970075,0.050267965,0.002131096,0.0080758445
1583287970125,0.051568106,0.00138256,0.0060322913
1583287970175,0.012573744,0.005291685,0.011427479
1583287970225,0.03382614,0.002357573,0.007999564
1583287970275,0.041680366,5.1158294E-4,6.4732553E-4
1583287970325,0.06794467,-0.0132591855,-0.024990099
1583287970375,0.0827905,-0.013193058,-0.024375195
1583287970425,0.009617531,0.0017189081,0.00228864
1583287970474,-0.021937165,0.007989743,0.014867043
1583287970525,0.008318543,0.0032035122,0.009132853
1583287970575,-0.014165265,0.0055334577,0.011339592
1583287970625,0.02080468,-0.006961256,-0.011722102
1583287970675,-0.026999794,-0.0028802785,-0.002997565
1583287970725,-0.006921108,9.2837727E-4,7.537999E-4
1583287970775,-0.0063844183,0.0047296784,0.010488857
1583287970825,-0.058405392,0.010260645,0.01796317
1583287970875,-0.024657227,0.006130188,0.01341871
1583287970925,-0.014479417,0.013564183,0.026348552
1583287970975,-0.1406153,0.046408564,0.084842525
1583287971025,-0.027256634,0.13455635,0.15651612
1583287971075,0.6858192,0.715452,0.1932653
1583287971125,0.20738149,0.831389,0.39654005
1583287971175,-0.07421434,0.38151595,0.5848416
1583287971224,-0.49265045,0.56681603,0.58643985
1583287971275,-0.45586562,0.35067275,0.16806935
1583287971325,-0.20913124,0.082701795,-0.25923273
1583287971375,-0.2669943,-0.17466679,-0.48046705
1583287971425,0.04471654,-0.3417388,-0.6734506
1583287971475,-0.23053098,-0.28114572,-0.7771178
1583287971525,-0.79461664,-0.10295438,-0.5869265
1583287971575,-0.53811944,-0.1471896,-0.13323812
1583287971625,0.07713814,0.12664904,-0.20209204
1583287971674,-0.8558984,0.24132016,-0.29947716
