Time,accX,accY,accZ
1583286958462,-3.6940398,-4.133048,7.6637077
1583286958512,-4.8102345,-3.606708,8.018775
1583286958563,-4.533036,-3.2655587,8.267225
1583286958612,-3.301515,-3.0340436,8.232859
1583286958663,-3.6526973,-3.374686,8.122705
1583286958712,-3.698334,-4.0015187,8.410956
1583286958762,-3.8224742,-4.520989,7.9272666
1583286958812,-3.5613518,-5.0363617,7.3392835
1583286958862,-3.1605241,-5.8817124,6.6118484
1583286958913,-3.5051801,-6.3040442,6.314908
1583286958963,-3.4379106,-7.253466,6.254935
1583286959012,-3.1503386,-7.6287746,5.651376
1583286959062,-2.9598181,-7.1208754,5.7645106
1583286959113,-3.1169267,-7.161647,5.459735
1583286959162,-3.2289972,-7.2179484,5.5659513
1583286959212,-3.359965,-6.7655234,5.5039005
1583286959263,-3.1938453,-7.595496,5.369075
1583286959313,-3.362608,-7.3313923,5.374794
1583286959362,-3.61322,-7.4049444,5.0195246
1583286959412,-3.6200354,-7.7405286,4.7436337
1583286959462,-3.4848082,-7.6040053,4.1961884
1583286959513,-3.3625314,-7.658231,3.7309322
1583286959563,-3.1107395,-8.269291,3.6995792
1583286959613,-3.2655158,-8.166462,3.461113
1583286959662,-3.3585718,-8.250123,3.0850914
1583286959713,-3.3928123,-8.350386,2.580113
1583286959763,-3.3799472,-8.311215,2.2419856
1583286959813,-2.9334924,-9.21947,2.1317768
1583286959863,-3.0958223,-9.8588705,1.4092714
1583286959912,-3.539014,-9.873073,1.0808593
1583286959962,-3.8553915,-10.120069,0.6382061
1583286960013,-4.108745,-9.975364,-0.14883201
1583286960062,-4.2808356,-9.440008,-0.7260086
1583286960113,-4.4341936,-8.833785,-1.4882776
1583286960163,-4.214272,-8.285866,-1.9058803
1583286960212,-4.2986655,-7.9261255,-2.697931
1583286960262,-4.1836553,-7.73325,-2.8150773
1583286960312,-4.1751084,-7.2744513,-2.4436185
1583286960363,-4.263015,-6.9435472,-2.1455636
1583286960413,-4.3988214,-6.9525404,-1.9012812
1583286960462,-4.7446337,-7.2474027,-2.0344281
1583286960513,-5.0790033,-7.525821,-1.8878726
1583286960563,-5.2020125,-7.400251,-1.7558552
1583286960613,-4.995197,-7.648101,-1.8238615
1583286960663,-4.7486906,-7.9330983,-1.475736
1583286960713,-4.6887975,-8.213506,-1.3093345
1583286960763,-4.7210817,-7.8086863,-1.7800244
1583286960813,-4.6040936,-8.00781,-1.694753
1583286960862,-4.376009,-7.7273026,-1.3407276
1583286960912,-4.200357,-6.6059866,-1.0270547
