Time,accX,accY,accZ
1583286828463,5.664132,0.9720007,8.073365
1583286828512,5.370919,0.59949136,7.675386
1583286828562,5.531484,-0.22541782,8.2918
1583286828613,5.752784,0.46600428,7.6769457
1583286828662,5.7459397,2.9256718,8.323258
1583286828713,5.589553,4.2999864,8.491411
1583286828762,5.463859,4.2731423,8.457803
1583286828812,5.499569,2.7425585,8.076845
1583286828863,5.680705,1.221172,8.135754
1583286828913,5.6825495,0.8069296,8.254608
1583286828962,5.56758,1.3409636,8.266447
1583286829012,5.5777764,1.3505245,8.525604
1583286829062,5.561196,1.2614683,8.338612
1583286829112,5.477658,1.2022319,8.343536
1583286829162,5.517756,1.1774246,8.359549
1583286829212,5.571864,1.2815595,8.367158
1583286829263,5.557125,1.3020053,8.35602
1583286829312,5.6129203,1.32173,8.332644
1583286829362,5.6164927,1.343364,8.286658
1583286829413,5.5721326,1.3489124,8.314971
1583286829462,5.5632653,1.3749157,8.330202
1583286829513,5.550641,1.351708,8.340441
1583286829562,5.569594,1.2604399,8.321439
1583286829612,5.567771,1.2740035,8.3243
1583286829662,5.55984,1.3274839,8.312464
1583286829713,5.5405602,1.403477,8.378668
1583286829763,5.548368,1.2774065,8.338917
1583286829813,5.584294,1.200169,8.291158
1583286829862,5.5736065,1.3724364,8.313004
1583286829912,5.5620656,1.4276825,8.310751
1583286829962,5.5486784,1.2266195,8.277763
1583286830012,5.5979714,1.411171,8.297011
1583286830062,5.6801596,1.5369737,8.303969
1583286830112,5.7534533,1.586067,8.2205515
1583286830163,5.7833867,1.6362183,8.222159
1583286830213,5.7782745,1.6221627,8.180972
1583286830262,5.6775513,1.5736697,8.232096
1583286830312,5.67263,1.5582618,8.302746
1583286830363,5.7427754,1.6309887,8.10844
1583286830413,5.7693806,1.502533,8.178159
1583286830463,5.7788835,1.5954328,8.162089
1583286830512,5.7533226,1.5773919,8.2237625
1583286830562,5.756153,1.535343,8.229556
1583286830612,5.749182,1.5928437,8.174872
1583286830663,5.7849975,1.579539,8.1697645
1583286830712,5.703901,1.6025586,8.2259865
1583286830763,5.7043943,1.6183875,8.246955
1583286830812,5.738062,1.3429313,8.218347
1583286830862,5.6835957,1.5067633,8.219522
1583286830913,5.6834726,1.6623803,8.220145
1583286830962,5.7733035,1.5079945,8.298647
1583286831013,5.7301674,1.3654839,8.207916
1583286831063,5.665905,1.4195288,8.290798
1583286831112,5.6197386,1.3091537,8.301261
1583286831163,5.63974,1.2675072,8.263273
1583286831212,5.658523,1.2762403,8.2912035
1583286831263,5.6656084,1.2809944,8.288421
1583286831312,5.6374226,1.1868637,8.285429
1583286831362,5.61601,1.254987,8.337499
1583286831412,5.624082,1.2442247,8.34218
1583286831463,5.609764,1.2345369,8.34345
1583286831512,5.612767,1.2825971,8.323928
1583286831563,5.6457553,1.1679268,8.368169
1583286831613,5.602061,0.9390535,8.291095
1583286831662,5.5616765,1.031296,8.328346
1583286831712,5.6140957,1.1743313,8.382393
1583286831763,5.6561584,1.0644659,8.276032
1583286831812,5.636275,1.1022873,8.334468
1583286831862,5.5986323,1.0335766,8.341186
1583286831912,5.610087,1.110409,8.204431
1583286831963,5.6105957,0.78551704,8.2393055
1583286832013,5.619702,1.1714118,8.382404
1583286832062,5.6710243,1.6066123,8.395458
1583286832112,5.618558,1.5722642,8.299722
1583286832162,5.6516137,1.3145467,8.309375
1583286832212,5.6255913,1.0867734,8.293779
1583286832262,5.5851254,1.1755135,8.301199
1583286832312,5.630182,1.3857718,8.34218
1583286832363,5.6380463,1.2821792,8.287243
1583286832413,5.675812,1.3236849,8.313532
1583286832463,5.6353426,1.4361501,8.2707815
1583286832512,5.6772795,1.3584491,8.3582945
1583286832563,5.660145,1.2505815,8.294768
1583286832612,5.68634,1.2193927,8.318766
1583286832663,5.6462855,1.2131238,8.348301
1583286832712,5.6048717,1.2810009,8.338361
1583286832762,5.5745187,1.0285212,8.286004
1583286832812,5.5498347,0.9906334,8.370747
1583286832862,5.5318303,0.9337783,8.357417
1583286832912,5.5162296,1.0384138,8.374131
1583286832962,5.5471826,0.9127363,8.411717
1583286833013,5.5698414,0.8350587,8.365691
1583286833062,5.5494485,0.8726019,8.358236
1583286833113,5.6026354,0.8503521,8.442998
1583286833162,5.5543013,0.8730896,8.409609
1583286833213,5.5511136,0.8296941,8.347093
1583286833262,5.5661283,0.8737339,8.396414
1583286833312,5.572362,0.7911227,8.3801155
1583286833362,5.5349536,0.67724895,8.369894
1583286833412,5.5394187,0.6461241,8.398461
1583286833462,5.577428,0.7048837,8.370776
