Time,rotX,rotY,rotZosboxe
1583287989362,-1.0919535,3.6366603,-3.3244245
1583287989412,-1.3845416,3.086615,-3.6969428
1583287989463,-1.7573481,2.6648188,-3.2793655
1583287989512,0.40476376,2.019667,-2.781744
1583287989563,2.9468231,0.9477996,-2.988474
1583287989612,3.2351182,0.0026944042,-3.6602328
1583287989662,1.8602697,-0.61219287,-3.3907428
1583287989712,0.7106918,-0.9278937,-1.8625855
1583287989763,0.6620799,-0.9857061,-0.16192926
1583287989812,-0.380588,-1.0476441,1.1494129
1583287989862,-0.9992881,-0.041927837,2.2667277
1583287989912,-1.1322806,0.9295993,3.0435495
1583287989962,-1.0505718,1.4524131,3.1274457
1583287990012,-0.89098233,1.7331142,2.5489304
1583287990063,-0.4981149,1.605587,1.6809835
1583287990112,-0.60525405,1.614978,0.8460295
1583287990163,-1.4420044,1.3786707,0.22495644
1583287990212,-1.7275264,1.1033406,-0.09869004
1583287990300,0.14319783,0.43111995,-0.32209837
1583287990350,-0.062150404,-0.6212939,-0.9221203
1583287990400,0.7564114,-0.7842249,0.64296246
1583287990450,2.204625,-1.1324296,0.5809226
1583287990500,0.13811342,-0.31971523,-0.227789
1583287990550,-1.0120347,0.10860074,-0.6880044
1583287990600,-1.0400283,0.027845923,-0.5583872
1583287990650,-0.63692874,-0.10689095,-0.080676645
1583287990700,-0.25722468,-0.14485878,0.030940594
1583287990750,-0.16876361,-0.1283619,-0.23200026
1583287990800,-0.19211297,0.07393846,-0.21333067
1583287990850,-0.72723454,0.2122199,-0.22198997
1583287990900,-0.38296542,0.41980627,0.098357975
1583287990950,0.12056551,0.8607395,0.13872339
1583287991000,-0.91733336,0.7012239,-0.061269652
1583287991050,-0.24639906,0.4885925,-0.20780443
1583287991100,0.033757444,0.28410912,0.012939619
1583287991149,-0.27980757,0.20540476,0.0051175277
1583287991200,-0.113784194,0.056400713,0.09353537
1583287991250,0.6707205,-0.067526944,0.1541454
1583287991300,1.3394446,-0.19522026,0.1303324
1583287991350,1.1312543,-0.25771853,0.16596772
1583287991399,0.947513,-0.33219564,0.4948731
1583287991450,0.7858041,-0.4647551,1.2232575
1583287991500,1.1519333,-0.23641507,2.3038366
1583287991549,1.4920604,0.2672591,3.3782046
1583287991600,2.3783586,1.1479574,3.9255893
1583287991650,3.326113,2.199292,3.8139927
1583287991700,3.2962775,3.2177613,3.1456192
1583287991750,2.738796,3.3843658,2.312143
1583287991800,2.147084,2.870457,1.3367841
1583287991850,1.7821689,1.6513963,0.58307636
1583287991900,1.0828519,0.52893287,0.09420262
1583287991950,0.40393537,0.048537,-0.082212545
1583287992000,-0.3807824,0.08217751,-0.14411211
1583287992050,-0.6151161,4.0678773E-5,-0.122703515
1583287992100,-0.9871577,-0.2030763,-0.17270672
1583287992150,-0.84606105,-0.3349693,-0.21539338
1583287992200,-0.8255529,-0.37126538,-0.18401365
1583287992250,-1.1791863,-0.3168133,-0.16973712
1583287992300,-1.9711299,-0.94989127,-0.36330163
1583287992350,-3.2066915,-1.7983016,-0.8833219
