Time,accX,accY,accZ
1583286410438,-4.2628937,-1.7286812,8.099867
1583286410487,-4.235325,-1.9918702,8.288893
1583286410538,-4.0561914,-2.6107812,8.559904
1583286410588,-4.058723,-2.8485374,8.2736435
1583286410637,-3.9409642,-2.8236074,7.966778
1583286410688,-3.9674602,-2.9942153,7.463437
1583286410737,-3.513563,-2.5534482,7.3338046
1583286410787,-2.837833,-3.5715659,8.423243
1583286410838,-2.3187463,-2.9996817,10.487825
1583286410888,-2.3250675,-2.7074285,11.303959
1583286410937,-2.6148071,-2.8912098,9.341438
1583286410987,-2.5924609,-3.041202,8.446919
1583286411038,-2.5352426,-1.9211551,9.50451
1583286411087,-3.7812366,-3.1888645,8.643691
1583286411137,-4.4620166,-5.453244,7.255287
1583286411187,-4.932435,-5.374893,6.8796334
1583286411237,-4.9142227,-3.0868337,6.844965
1583286411287,-4.7762604,-3.0112529,7.1681776
1583286411338,-3.6069913,-3.159646,8.457656
1583286411387,-2.0948706,-1.3291802,9.380012
1583286411437,-1.2596728,-0.8093037,11.925265
1583286411488,-2.49997,-1.751575,10.599667
1583286411538,-3.5614684,-2.3956745,9.643825
1583286411587,-4.544005,-2.899362,8.627651
1583286411637,-4.8838463,-4.096588,6.2787104
1583286411688,-4.7619333,-4.7756143,6.459012
1583286411738,-4.260944,-2.4403548,6.7656217
1583286411787,-3.5045903,-2.153276,8.274148
1583286411838,-1.8661239,-1.0846949,10.340569
1583286411887,-1.23688,0.41773129,13.232293
1583286411937,-2.8668053,-1.7032963,9.859665
1583286411987,-3.5044415,-1.7942462,8.68186
1583286412037,-4.267167,-2.1310277,8.878107
1583286412088,-4.5188494,-1.5310252,8.417881
1583286412138,-3.9886105,-2.4931471,7.5908628
1583286412187,-3.9621916,-2.4692678,8.019625
1583286412237,-4.1053023,-2.485511,7.978766
1583286412287,-4.3046837,-2.7235858,8.004254
1583286412338,-4.4167256,-3.396316,8.336703
1583286412388,-4.5134287,-3.9763856,7.809213
1583286412438,-4.594927,-4.0679107,7.7256346
1583286412488,-4.765164,-4.5181646,7.423506
1583286412537,-4.6554227,-4.342551,7.3079495
1583286412588,-4.7031703,-4.061372,7.645629
