Time,rotX,rotY,rotZosboxe
1583286848762,0.064884976,0.0583095,0.037241507
1583286848813,0.004035657,0.06776729,0.023216095
1583286848862,0.002334366,0.033768043,0.0027703817
1583286848912,-0.018008696,-0.0059526265,-0.007414178
1583286848962,-0.04532043,-0.01913663,7.4615073E-4
1583286849012,-0.032569434,-0.026356693,0.0014817943
1583286849062,-0.018124387,-0.008653568,0.009425458
1583286849112,0.002174173,0.014714562,0.019496137
1583286849163,0.010582851,0.041408807,0.028056968
1583286849213,0.0020681773,0.03325067,0.014884841
1583286849263,-0.007911336,0.006812215,1.328697E-4
1583286849313,-0.033819184,-0.0036191465,0.0062602577
1583286849362,-0.018784406,-0.0076450463,0.0055823466
1583286849413,-0.009762071,-0.0034548286,0.006917385
1583286849463,-0.008765124,0.005021806,0.01085835
1583286849512,0.0034501166,0.009796831,0.015314341
1583286849563,-0.0021939215,-0.0032496843,0.0036028638
1583286849613,0.0018873527,-0.017428882,-0.0055587357
1583286849663,0.03423005,-0.032979418,-0.009112611
1583286849712,0.12319364,-0.050779115,-0.023678891
1583286849762,0.19445352,-0.061890274,-0.014506053
1583286849813,0.13344878,-0.01584756,0.028137973
1583286849863,0.040807072,0.036031492,0.037135057
1583286849913,0.05657733,0.05550193,0.029332813
1583286849963,0.08380771,0.050530277,0.024740718
1583286850012,0.09310608,0.014121542,0.011765505
1583286850062,0.09647352,-0.026699234,-0.005866426
1583286850113,0.07135312,-0.04200979,0.009508625
1583286850162,0.15654716,0.003705589,0.059615966
1583286850212,0.21934329,0.025792284,0.069484316
1583286850262,0.24165978,0.030644823,0.07457672
1583286850312,0.24064158,0.05711709,0.15177155
1583286850362,0.1851562,0.07177003,0.2211611
1583286850413,0.12830621,0.07143573,0.24374339
1583286850463,0.053357076,0.026334707,0.20776992
1583286850513,0.01809546,-0.050788037,0.17838971
1583286850563,-0.010665815,-0.04206591,0.08593938
1583286850613,0.16808204,-0.04642795,-0.08185432
1583286850662,0.2831017,-0.0936872,-0.101934165
1583286850713,0.13873099,-0.11587926,0.05047927
1583286850762,0.26744655,-0.04559592,0.025404073
1583286850813,0.03252513,0.020178068,-0.031101435
1583286850863,-0.19824773,0.10545419,-0.07018811
1583286850913,-0.5913317,0.11063419,-0.042183608
1583286850963,-0.30068725,0.027319547,-0.066288784
1583286851013,-0.40712652,0.00631883,-0.095119864
1583286851062,-0.56451285,0.032879177,-0.038236395
1583286851113,-0.6150119,0.03349187,-0.0032455714
1583286851163,-0.4843642,0.008569488,-0.050044872
1583286851212,-0.48507476,-0.019343097,-0.030905366
1583286851263,-0.27987406,-0.0037083551,-0.01722691
1583286851313,-0.16313961,-0.007336354,-0.027622294
1583286851362,-0.081118554,-0.011032058,-0.033510603
1583286851413,0.08219186,-0.025609873,-0.044567592
1583286851463,0.11841764,-0.02990951,-0.06748656
1583286851513,0.1301086,-0.012509523,-0.063050166
1583286851562,0.42674622,-0.0026918799,-0.05528251
1583286851612,0.6615853,0.012582402,-0.05652251
1583286851662,0.49575868,-0.009429028,0.029137626
1583286851712,0.33527836,-0.08199753,0.0342063
1583286851763,0.2458075,-0.09272579,0.06167265
1583286851812,0.11547741,-0.08693238,0.073038094
1583286851862,0.25972855,-0.09362936,0.020068737
1583286851912,0.34276038,-0.07793505,0.07627508
1583286851963,0.30283287,-0.0713571,0.057532743
1583286852013,0.048661023,-0.023070835,0.018527105
1583286852063,-0.1670616,0.0177134,0.0074388497
