Time,accX,accY,accZ
1583286499687,10.306303,-1.6321231,9.91082
1583286499737,14.3056755,-2.0013058,11.617116
1583286499788,17.07013,-4.563439,11.391075
1583286499838,17.43394,-9.613146,9.650237
1583286499888,15.404321,-14.721046,7.299801
1583286499937,13.152165,-18.125288,4.581603
1583286499988,10.943702,-18.82754,2.1808567
1583286500038,10.175643,-16.743925,-0.10614991
1583286500087,10.233586,-13.025916,-2.7318008
1583286500137,10.843442,-8.479846,-3.138869
1583286500188,12.564091,-3.4513025,-2.5874736
1583286500237,9.466061,3.7212362,-2.0479813
1583286500288,4.886039,10.231562,0.5160507
1583286500338,3.3918352,11.891975,3.0039055
1583286500388,6.7035193,6.9074636,6.2453012
1583286500437,9.581088,3.9138288,10.077317
1583286500488,13.503199,2.0849226,14.58129
1583286500537,17.224817,-1.5043179,18.179026
1583286500587,21.666763,-6.225744,18.582592
1583286500638,23.626238,-13.052937,15.618585
1583286500688,20.616943,-19.628407,9.923852
1583286500738,15.190821,-23.023834,4.111849
1583286500788,10.780343,-20.90001,0.20050555
1583286500837,8.851146,-17.607313,-3.3377662
1583286500887,9.995441,-12.245094,-4.8619494
1583286500937,12.719845,-6.551175,-3.9889371
1583286500987,12.5761175,-0.49440706,-2.6286254
1583286501037,7.535588,3.9874425,-0.7000662
1583286501087,4.3328047,6.6363554,2.7848933
1583286501138,3.2655826,7.4007506,4.4938507
1583286501187,5.52868,5.3300796,5.0975766
1583286501237,9.229197,2.6465693,7.3305645
1583286501287,12.4530735,1.6071396,11.895852
1583286501337,17.519512,-1.2322059,15.829586
1583286501387,22.117226,-5.2237744,18.079195
1583286501438,25.214918,-10.827703,16.62741
1583286501488,23.86438,-17.251583,11.667672
1583286501537,19.609356,-20.693277,5.5009656
1583286501588,15.03339,-18.260979,0.556727
1583286501637,10.940373,-13.927863,-2.6035151
1583286501687,7.5768995,-11.417574,-5.2968373
1583286501737,8.215785,-8.398632,-4.637496
1583286501787,10.247969,-5.7264566,-2.451555
1583286501837,9.75899,-4.78245,-0.1978721
1583286501888,7.627502,-4.16689,1.8292017
1583286501937,6.0118937,-3.3963256,3.0979123
1583286501987,4.899777,-2.7039554,2.8591642
1583286502037,5.0826964,-2.5766633,5.3268027
1583286502087,5.5239167,-6.0387964,7.924791
1583286502138,4.768934,-5.570339,9.708463
1583286502187,2.3871837,-6.5826025,10.0821085
1583286502238,1.2806501,1.0709763,8.207407
1583286502287,16.36461,-7.574474,25.278927
1583286502338,12.546343,-13.336576,27.656473
1583286502388,0.3730166,1.5713398,2.330288
1583286502437,5.357022,-1.2321717,3.644086
1583286502487,8.967733,-10.083386,9.392469
1583286502538,5.7598624,-5.6779003,6.521195
1583286502587,5.577541,-2.7323384,5.3981757
1583286502637,5.874186,-4.2948823,8.931434
1583286502688,4.6439233,-1.4977872,8.999563
