Time,accX,accY,accZ
1583286005387,0.4552944,0.06992721,9.917392
1583286005438,0.46484092,0.07116465,9.930655
1583286005487,0.45899418,0.06643333,9.931967
1583286005538,0.46739063,0.0671377,9.9372225
1583286005587,0.46191072,0.071524106,9.933203
1583286005637,0.44337618,0.062256835,9.925858
1583286005687,0.47068837,0.069962695,9.932483
1583286005738,0.44973195,0.058204208,9.939627
1583286005787,0.45958883,0.07049642,9.957531
1583286005838,0.47088385,0.0648625,9.927854
1583286005888,0.45470586,0.071789764,9.935592
1583286005937,0.45571822,0.051047288,9.921205
1583286005988,0.4603743,0.066516094,9.947355
1583286006037,0.46543714,0.07089182,9.9295635
1583286006087,0.4541376,0.0696535,9.9343
1583286006138,0.4628429,0.06490953,9.918631
1583286006187,0.46477214,0.06363475,9.934604
1583286006238,0.45581833,0.068448365,9.951838
1583286006288,0.45936853,0.064262986,9.933387
1583286006337,0.46768162,0.0553766,9.918471
1583286006388,0.4541327,0.0693083,9.924782
1583286006438,0.45303068,0.08262482,9.975006
1583286006487,0.41464403,0.054490596,9.898941
1583286006537,0.4902318,0.0454457,9.886687
1583286006588,0.4713162,0.09098745,9.972435
1583286006637,0.41968185,0.047295697,9.919324
1583286006688,0.47142348,0.05916504,9.923913
1583286006737,0.47499505,0.06717815,9.923199
1583286006788,0.4425815,0.066089004,9.932207
1583286006838,0.45819208,0.058924567,9.931634
1583286006888,0.45209575,0.06784271,9.9345455
1583286006937,0.44632804,0.076658584,9.963072
1583286006988,0.46496278,0.058304254,9.904318
1583286007037,0.46374127,0.061307155,9.956845
1583286007088,0.4436108,0.04956564,9.934268
1583286007137,0.4535983,0.1014321,9.936869
1583286007187,0.4517092,0.042418696,9.924312
1583286007238,0.44759524,0.08022276,9.966048
1583286007288,0.49452603,0.056211583,9.897778
1583286007338,0.3963689,0.057327162,9.929484
1583286007388,0.47601286,0.054340664,9.93749
1583286007438,0.45591623,0.05275128,9.940237
1583286007487,0.44707954,0.08238604,9.953641
1583286007537,0.4102136,0.036208298,9.877989
1583286007588,0.44011715,0.06683895,9.945123
1583286007637,0.49875295,0.06194237,9.925763
1583286007687,0.37861615,0.0659617,9.934622
1583286007737,0.51445955,0.055860747,9.933579
1583286007787,0.42997095,0.0764895,9.954948
1583286007838,0.45916647,0.049584206,9.900863
1583286007888,0.5047592,0.07762705,9.968428
1583286007938,0.3748796,0.0528113,9.916097
1583286007988,0.47183812,0.060024906,9.928636
1583286008037,0.4383156,0.060833555,9.923428
1583286008087,0.43290773,0.05797056,9.925298
1583286008137,0.47996867,0.07358217,9.975827
1583286008187,0.43993166,0.04741942,9.911061
1583286008238,0.45866153,0.051382855,9.916826
1583286008287,0.44559383,0.060005352,9.942841
1583286008337,0.43194443,0.048654202,9.938004
1583286008387,0.46806124,0.05244786,9.936554
1583286008437,0.44058034,0.054437622,9.937361
1583286008487,0.4485925,0.04917921,9.940193
1583286008537,0.4643694,0.06419926,9.934541
1583286008588,0.43417552,0.041896895,9.910204
1583286008638,0.4460744,0.050136704,9.930999
1583286008687,0.4594052,0.03820413,9.915715
1583286008738,0.44243938,0.0522784,9.942143
1583286008788,0.43402892,0.042995118,9.9319315
1583286008838,0.4541631,0.06242534,9.932813
1583286008887,0.4469909,0.036517143,9.901852
1583286008937,0.43583724,0.05763737,9.94985
