Time,accX,accY,accZ
1583287631250,3.696106,1.1280686,9.251973
1583287631300,3.683519,1.2285961,9.282676
1583287631350,3.5521183,1.8487477,9.319911
1583287631400,3.3922195,1.49424,9.361303
1583287631449,3.3777006,0.9796507,9.375891
1583287631500,3.4438446,0.974947,9.390128
1583287631550,3.2717323,1.5629774,9.900759
1583287631600,2.901959,2.228936,10.578289
1583287631650,6.3476634,3.8614964,10.387442
1583287631700,5.235116,3.9022965,9.990047
1583287631750,4.4750834,2.5591836,7.952474
1583287631800,3.4814887,1.7683136,7.1303453
1583287631850,2.7123253,0.66051507,7.7068157
1583287631900,2.8385234,-0.2754373,9.114928
1583287631950,3.1897807,-0.32474172,10.272148
1583287632000,3.2269566,0.2665267,10.2067175
1583287632050,3.9846613,1.5061537,10.004063
1583287632100,4.938816,2.654386,9.000383
1583287632150,6.282875,3.0888634,7.426319
1583287632200,7.8387976,3.8790832,6.507684
1583287632250,9.4562435,4.0698853,5.0134444
1583287632299,9.91544,3.3544166,3.7817652
1583287632350,10.05887,1.8294048,3.5840802
1583287632400,9.707664,3.3791652,3.7368526
1583287632450,9.336512,2.1490686,3.4851222
1583287632500,10.1947775,1.6754496,3.0446343
1583287632550,11.090878,0.43705708,2.095335
1583287632600,9.674742,1.2868197,1.2352836
1583287632650,8.274667,0.88329494,1.1884876
1583287632700,6.6222177,-0.7419111,4.385243
1583287632750,5.0040264,0.029393226,7.4440746
1583287632800,1.9312918,1.0119767,9.368431
1583287632850,-1.0968741,2.3951569,9.9344845
1583287632900,-1.2885416,3.1662488,8.944376
1583287632950,-1.9935696,-0.33042735,11.257723
1583287633000,-1.9349678,-3.1751513,10.421242
1583287633049,-1.6847843,-2.1648955,10.492075
1583287633099,-1.4662647,-2.4075418,10.01759
1583287633150,-1.3889832,-1.9823483,10.267594
1583287633200,-1.2084273,-1.4038374,11.08453
1583287633250,-1.0108119,-0.5962055,10.086038
1583287633300,-1.2574674,-1.5984356,10.52483
1583287633350,-1.601213,-1.6181026,10.7014675
1583287633400,-1.8206112,-2.6822996,10.930788
1583287633450,-1.5388958,-2.0252423,11.272632
1583287633500,-0.85617715,-0.25995758,11.040547
1583287633550,-0.16439797,1.0332836,10.082172
1583287633600,0.5059207,1.1469578,9.07966
1583287633650,0.7731627,1.7478502,8.831183
1583287633700,1.1390991,2.6103392,8.3757105
1583287633750,1.390276,3.7897415,8.243158
1583287633800,1.8141426,5.57791,7.5214863
1583287633850,2.1026044,6.2157855,7.3717184
1583287633899,2.3129966,5.9421115,7.682171
