Time,accX,accY,accZ
1583286473988,0.2761115,0.1846375,9.985493
1583286474009,0.2856935,0.1702645,9.990284
1583286474029,0.2617385,0.2085925,9.947165
1583286474049,0.345581,0.258898,9.959143
1583286474068,0.3910955,0.3643,9.9735155
1583286474088,0.364745,0.4625155,9.937583
1583286474108,0.345581,0.531985,9.94477
1583286474128,0.3096485,0.5439625,9.918419
1583286474148,0.2809025,0.5247985,9.963934
1583286474168,0.2425745,0.4433515,9.925606
1583286474188,0.1611275,0.4337695,9.94477
1583286474208,0.1515455,0.4577245,9.8681135
1583286474228,0.091658,0.455329,9.853741
1583286474248,0.110822,0.3643,9.8154125
1583286474268,0.062912,0.3643,9.824994
1583286474288,0.0221885,0.3283675,9.899255
1583286474307,0.0365615,0.244525,9.966329
1583286474327,0.0700985,0.1942195,9.9735155
1583286474345,0.0748895,0.2038015,9.956747
1583286474366,0.0078155,0.225361,9.925606
1583286474386,-0.047281,0.249316,9.90165
1583286474406,-0.0257215,0.1223545,9.959143
1583286474426,0.0557255,0.096004,10.007052
1583286474445,0.082076,0.182242,10.042985
1583286474465,0.106031,0.230152,9.99268
1583286474486,0.10124,0.2469205,9.939979
1583286474505,0.120404,0.2996215,9.980702
1583286474525,0.1275905,0.3092035,9.937583
1583286474545,0.0748895,0.306808,9.882486
1583286474564,0.0940535,0.26848,9.90165
1583286474585,0.110822,0.191824,9.959143
1583286474605,0.120404,0.2133835,9.985493
1583286474625,0.110822,0.2421295,9.978307
1583286474645,0.115613,0.249316,9.932792
1583286474664,0.1227995,0.2229655,9.92321
1583286474685,0.19706,0.1942195,10.076522
1583286474705,0.259343,0.2181745,10.2370205
1583286474725,0.3863045,0.1031905,10.371168
1583286474744,0.48452,0.0600715,10.464593
1583286474750,0.49993587,0.052398086,10.591136
1583286474813,1.2686434,-0.31295133,11.509857
1583286475013,-1.0172201,-0.8903441,10.181934
1583286475062,-0.2531774,-0.17591439,10.03673
1583286475113,-1.0050081,-0.46301717,9.598764
1583286475162,-2.230839,-0.90180224,8.975161
1583286475212,-3.256583,-0.865978,8.962614
1583286475263,-3.5738828,-0.97306615,8.967224
1583286475313,-3.6566076,-1.458146,9.134093
1583286475362,-3.2123773,-1.6845086,9.684979
1583286475413,-2.8640501,-1.3282443,9.514978
1583286475462,-2.8751411,-1.3524371,9.290406
1583286475512,-2.8311963,-1.5286713,9.329549
1583286475562,-2.6540253,-1.3801688,9.276612
1583286475612,-2.5972548,-1.4760779,9.5292
1583286475662,-2.5386183,-1.5654918,9.527347
1583286475713,-2.526482,-1.6786761,9.53301
1583286475763,-2.5023541,-1.4852985,9.27555
