Time,accX,accY,accZ
1583286808462,-6.4866743,-1.9207611,2.0618737
1583286808512,-5.9275246,-2.3814962,1.5667768
1583286808562,-5.624591,-3.9401808,1.1764835
1583286808613,-5.608846,-4.3677998,0.9378155
1583286808663,-5.2410564,-4.9255066,0.35525763
1583286808712,-3.7943118,-7.6033654,0.8598823
1583286808762,-2.9734342,-8.221928,4.4747076
1583286808812,-0.6863084,-8.818354,4.618594
1583286808862,1.6189431,-15.147073,4.5637836
1583286808912,1.9920914,-23.720348,7.7682667
1583286808963,0.00342983,-5.8222504,1.9169247
1583286809013,1.6599637,-5.244134,2.4506269
1583286809062,3.875886,-10.500507,6.8993793
1583286809113,3.3479664,-8.075687,5.3820567
1583286809162,2.520715,-6.6700163,4.9241643
1583286809212,2.0204847,-7.404024,6.4758472
1583286809263,1.7197558,-7.9658217,6.1341786
1583286809312,1.8702879,-7.8188224,5.0268655
1583286809363,2.3335402,-8.141145,4.653911
1583286809412,2.7410495,-8.281156,4.852281
1583286809462,2.3172305,-7.751309,4.923777
1583286809512,2.102133,-7.8303213,5.25444
1583286809562,2.1029088,-8.071894,4.9697337
1583286809613,2.2189846,-8.273934,4.6059284
1583286809662,2.238026,-8.160464,4.6340723
1583286809713,2.2320886,-8.071607,4.9162407
1583286809763,2.2822924,-8.014382,4.9430666
1583286809812,2.3471065,-8.008615,4.952279
1583286809862,2.248499,-8.112093,4.8893733
1583286809912,2.247866,-8.058408,4.919528
1583286809962,2.343667,-8.074981,4.870017
1583286810013,2.3284101,-8.080276,4.856224
1583286810062,2.2128108,-8.095185,4.9143424
1583286810112,2.3278067,-8.07498,4.8590555
1583286810163,2.3174505,-8.089554,4.8651285
1583286810212,2.2358818,-8.075833,4.9183874
1583286810262,2.2852304,-8.054341,4.893409
1583286810312,2.2703233,-8.093549,4.8825
1583286810363,2.2736592,-8.039782,4.89752
1583286810413,2.3538914,-8.022009,4.9228344
1583286810462,2.32442,-8.063069,4.897451
