Time,rotX,rotY,rotZosboxe
1583286718762,0.009624364,0.008685496,-0.072348565
1583286718813,0.018698739,-0.0038510188,-0.064112246
1583286718862,0.013064998,0.0052881036,-0.04390782
1583286718912,0.018825965,8.229213E-5,-0.042778675
1583286718962,0.067196466,-0.011924908,-0.03738142
1583286719013,0.030288609,-0.013374699,-0.021246195
1583286719062,0.025367605,-0.009022355,-0.017827787
1583286719112,-0.019329416,-0.008019388,-0.020174198
1583286719162,-0.042682722,-0.005919449,-0.008816496
1583286719213,-0.098673694,-0.008458711,0.0050840396
1583286719262,-0.16270836,-0.004778918,-0.0032852609
1583286719313,-0.2814866,-0.009697732,0.021471377
1583286719362,-0.1883725,6.853044E-4,0.011548961
1583286719413,-0.1243138,-0.005621613,0.020641062
1583286719463,-0.19637841,-0.0077726627,0.024943162
1583286719512,-0.12769656,-0.009459757,0.012638468
1583286719563,-0.073373854,-0.014447711,0.0067444043
1583286719612,-0.16738008,-0.017310783,0.018180773
1583286719663,-0.17851977,-0.015245855,0.0123947635
1583286719713,-0.103283234,-0.00807638,-8.3626993E-4
1583286719763,-0.16030964,-0.0106712,0.0016274475
1583286719813,-0.21100542,-0.017704995,0.009604011
1583286719862,-0.19189449,-0.019354874,0.020709388
1583286719913,-0.20948458,-0.027590917,0.03475967
1583286719963,-0.16119286,-0.022650694,0.028513614
1583286720013,-0.24782974,-0.025619166,0.03861183
1583286720063,-0.29020986,-0.028031407,0.068949446
1583286720112,-0.26421145,-0.04572618,0.11948119
1583286720163,-0.27933845,-0.057037763,0.27695608
1583286720213,-0.1377199,0.06772783,0.634326
1583286720262,-0.18912566,0.032078423,0.86666554
1583286720312,0.9631794,0.098049596,0.2386392
1583286720363,2.753742,0.042389184,0.282205
1583286720412,2.3825817,-0.20562999,0.75335294
1583286720462,1.1553845,-0.22989076,1.2499337
1583286720512,0.09264212,-0.15248214,1.8330837
1583286720563,0.20958818,-0.13181347,2.3827386
1583286720613,0.8118089,-0.078519516,2.7517579
1583286720662,1.3197619,-0.09435146,3.0253744
1583286720712,0.93169683,-0.13518392,3.07558
1583286720762,0.481534,-0.1529401,2.9078436
1583286720812,0.29883784,-0.1610222,2.5412416
1583286720862,0.32492843,-0.11164837,1.9952812
1583286720912,0.22594821,-0.02402453,1.3433013
1583286720962,0.075216174,0.07066117,0.7301697
1583286721013,0.027859276,0.15739922,0.3800106
1583286721062,-0.14262562,0.16366364,0.23464984
1583286721113,-0.032097545,0.11933504,0.23170742
1583286721163,-0.10206224,0.0755708,0.19082126
1583286721213,-0.13481729,0.028497761,0.106594816
