Time,accX,accY,accZ
1583286778462,2.7949817,-10.207818,-5.988296
1583286778513,2.016531,-11.214927,-4.935594
1583286778563,1.6964914,-11.504691,-2.2977529
1583286778613,0.13313949,-11.735506,0.52607113
1583286778662,-1.9216179,-9.544479,3.352882
1583286778712,-3.5780177,-9.3725395,4.7939425
1583286778762,-4.7743464,-6.9876275,5.113117
1583286778812,-5.6962986,-4.372429,4.4691153
1583286778862,-5.4212914,-2.8287468,4.760741
1583286778913,-4.82594,-3.4386747,5.3204823
1583286778963,-2.8997698,-3.2907279,5.284973
1583286779012,-0.043557405,-3.193617,6.6939454
1583286779062,2.1989546,-2.3843098,7.419381
1583286779113,2.9661708,-0.85045314,8.460985
1583286779163,3.0440617,-0.5899397,9.849933
1583286779212,2.8912663,0.09099014,9.804828
1583286779262,3.1373544,-1.3469493,9.967397
1583286779313,2.371457,-0.08956665,9.835851
1583286779362,2.1164322,0.390062,10.502213
1583286779413,2.3737428,0.8783418,10.456523
1583286779462,2.4450672,0.11904031,10.202361
1583286779512,1.9913675,0.90438926,9.856347
1583286779562,2.219415,1.0129989,9.522512
1583286779613,2.3185773,1.206599,9.350119
1583286779662,2.3813643,1.6986258,9.209925
1583286779713,2.3272963,2.368646,9.1534
1583286779762,2.3029847,2.6065655,9.330817
1583286779813,2.427688,2.852025,10.19379
1583286779863,2.2642996,2.6612773,10.197463
1583286779913,2.2535386,2.618233,9.979445
1583286779963,2.2771516,2.416525,9.713643
1583286780013,2.1296134,2.3430946,9.698912
1583286780063,1.7735168,2.314428,9.685935
1583286780113,1.930022,1.8590862,9.38361
1583286780163,1.8158646,1.9382354,9.405485
1583286780213,1.7451246,1.9351515,9.670652
1583286780263,1.9725113,1.9214475,9.559115
1583286780313,1.8637996,1.8155824,9.442857
1583286780363,1.7838141,2.223725,9.5484085
1583286780413,1.9796644,2.3193955,9.685726
1583286780463,2.03092,2.0877988,10.031908
1583286780512,1.9773097,2.0825615,9.7370615
1583286780562,2.0390396,1.4447538,9.733448
1583286780612,1.8402219,1.2728945,9.599474
1583286780662,1.6974176,0.38958383,9.852706
1583286780712,1.4554334,0.8603701,9.6038
1583286780762,1.2808858,1.4180933,10.407589
1583286780813,0.6483849,1.6394029,10.085989
1583286780862,-0.098031566,2.8505392,9.414534
1583286780912,0.6694994,1.9697745,10.952666
1583286780963,0.97253925,1.9627193,11.179805
1583286781012,1.1668007,3.3564136,10.045627
1583286781062,0.48088917,2.1258118,11.247458
1583286781112,-0.5194004,2.8320649,11.449171
1583286781162,-2.4116666,1.2333146,9.644331
1583286781213,-4.454216,-1.3848168,7.3671756
1583286781262,-5.8932376,-1.5124857,5.733055
1583286781313,-7.359539,-2.7958417,4.377132
1583286781362,-7.875589,-2.389245,3.3116
1583286781413,-8.755197,-1.5894923,2.9200773
1583286781463,-9.102271,-1.1551294,2.5673592
1583286781512,-9.140441,-0.31075898,2.6364985
1583286781563,-9.133136,-0.25833923,2.80401
1583286781612,-9.241342,0.0120792985,3.1110835
1583286781663,-9.500525,-0.25406915,3.071589
1583286781712,-9.5807705,-0.502953,2.9965808
1583286781762,-9.147865,-0.11416033,3.1002843
1583286781813,-8.667251,0.06817415,3.0729613
1583286781862,-8.293385,0.7959685,3.3004453
1583286781912,-7.650613,0.5545017,2.8677278
1583286781963,-6.12423,0.4763591,2.3925729
1583286782013,-4.993991,0.21672511,2.2558746
1583286782062,-4.648434,-0.46696514,1.2705923
1583286782113,-4.9217033,-0.776176,1.1248809
1583286782162,-3.1716852,-3.8812082,0.51633155
1583286782213,-1.256555,-10.7946205,-1.3078121
1583286782262,-0.18077472,-12.732331,-2.4635417
1583286782312,2.2416394,-17.67651,-3.3629518
1583286782363,4.7079177,-22.506817,-2.5650487
1583286782412,3.405485,-8.854241,-0.52330565
1583286782462,2.946184,-5.039154,-2.0003355
1583286782513,4.455006,-8.500772,-2.5585976
1583286782563,4.6364737,-10.138841,-2.2924902
1583286782612,3.5216124,-8.049593,-1.5225909
1583286782663,3.0048115,-8.489871,-1.8059696
1583286782712,3.0505984,-9.097929,-1.8437765
1583286782763,3.1006067,-8.754736,-2.1002007
1583286782812,3.2744293,-8.755598,-2.2180037
1583286782863,3.3950524,-8.801605,-1.9228767
1583286782913,3.4041073,-8.705536,-1.79239
1583286782962,3.4542196,-8.726393,-1.8597316
1583286783013,3.43414,-8.733708,-1.8583146
1583286783063,3.386975,-8.797541,-1.8634306
1583286783113,3.4289703,-8.744568,-1.8922997
1583286783162,3.459731,-8.730388,-1.9069165
1583286783212,3.4002578,-8.790953,-1.8867543
1583286783263,3.3930962,-8.749334,-1.8860441
1583286783312,3.4345822,-8.746969,-1.8794212
1583286783363,3.427338,-8.728393,-1.8800083
1583286783413,3.4476476,-8.783903,-1.8552696
1583286783463,3.4256997,-8.750888,-1.828473
1583286783512,3.3921733,-8.780969,-1.8429172
1583286783563,3.4047754,-8.773709,-1.8467377
1583286783612,3.4278698,-8.716412,-1.859862
1583286783662,3.3847456,-8.786052,-1.8485727
1583286783712,3.3565989,-8.786635,-1.8631448
1583286783762,3.4050746,-8.762699,-1.8792746
1583286783813,3.3942564,-8.783717,-1.8564658
1583286783863,3.3744748,-8.773118,-1.8250289
1583286783912,3.3594294,-8.784002,-1.8578324
1583286783962,3.3400068,-8.796092,-1.8765846
1583286784013,3.4068966,-8.762822,-1.8392295
1583286784063,3.3898144,-8.776238,-1.854946
1583286784112,3.3472857,-8.783957,-1.8657913
1583286784163,3.3419104,-8.790167,-1.86265
1583286784212,3.3655696,-8.781627,-1.8364654
1583286784263,3.378594,-8.76209,-1.8425584
1583286784313,3.3494608,-8.795441,-1.857572
1583286784363,3.3721724,-8.758727,-1.8527097
1583286784412,3.369893,-8.777642,-1.8517313
1583286784462,3.3281598,-8.814138,-1.8718692
1583286784512,3.3437316,-8.760309,-1.8896637
1583286784562,3.4058688,-8.784506,-1.8678921
1583286784612,3.3620784,-8.773835,-1.8517183
1583286784663,3.3384838,-8.786949,-1.8712431
1583286784712,3.3615155,-8.78941,-1.8585644
1583286784763,3.3246117,-8.772586,-1.823724
1583286784813,3.321458,-8.806638,-1.8852583
1583286784862,3.3405309,-8.78255,-1.898423
1583286784913,3.3463445,-8.792903,-1.8850061
1583286784962,3.3493476,-8.772219,-1.86197
1583286785012,3.3311024,-8.781513,-1.8523396
1583286785062,3.3201149,-8.806352,-1.8674239
1583286785113,3.3453696,-8.7745695,-1.8737597
1583286785163,3.3680758,-8.764482,-1.8587981
1583286785213,3.3338125,-8.804321,-1.8672999
1583286785262,3.33327,-8.783671,-1.8738481
1583286785312,3.359944,-8.783273,-1.851514
1583286785363,3.3868866,-8.782208,-1.8321207
1583286785413,3.3614273,-8.779867,-1.8488207
1583286785462,3.3316987,-8.792316,-1.8591285
1583286785513,3.3402832,-8.783371,-1.8392755
1583286785563,3.3379703,-8.802186,-1.8204871
1583286785612,3.3608787,-8.779366,-1.8558928
1583286785663,3.3801968,-8.785914,-1.8491117
1583286785712,3.3321505,-8.82253,-1.7727785
1583286785762,3.3528938,-8.753961,-1.7340106
1583286785812,4.5758142,-8.692419,1.0938762
1583286785863,8.426618,-11.2649975,2.001244
1583286785913,12.17405,-15.075121,1.5125313
1583286785963,11.519687,-8.092357,10.377963
1583286786012,10.000265,-4.785056,2.4356308
1583286786062,15.438657,-6.7738185,-4.317375
1583286786113,23.119967,-7.3402567,-3.8083262
1583286786162,26.220907,-5.968104,-7.8135233
1583286786212,14.868276,-5.663293,-8.297723
1583286786263,8.718699,-9.173797,-9.566511
1583286786312,5.4864306,-10.556022,-11.889081
1583286786362,3.604577,-11.401703,-14.341319
1583286786412,4.0192266,-12.645027,-15.331297
1583286786463,9.149185,-12.755056,-14.355524
1583286786512,16.96842,-12.50517,-13.147953
1583286786562,24.868166,-10.709301,-10.15009
1583286786613,26.16671,-9.090931,-3.4477553
1583286786662,21.685507,-6.674152,1.8718343
1583286786713,15.86134,-4.2660875,10.221858
