Time,accX,accY,accZ
1583286549688,-1.3234341,0.18213625,9.8795185
1583286549737,-1.3856672,-0.03917278,9.858651
1583286549787,-1.3756561,0.0029742047,9.739174
1583286549838,-1.3442411,0.02282942,10.023124
1583286549888,-1.3817946,-0.13575052,9.884061
1583286549937,-1.3885179,-0.18815994,9.76822
1583286549987,-1.4319726,-0.15133347,9.738102
1583286550037,-1.4610893,-0.22337763,9.80129
1583286550087,-1.4194701,-0.067953914,9.823264
1583286550137,-1.4292037,-0.1459687,9.785756
1583286550188,-1.418125,-0.14594567,9.785682
1583286550238,-1.3776588,-0.16982538,9.687925
1583286550288,-1.3815745,-0.15671138,9.751923
1583286550338,-1.3481594,-0.19482772,9.807912
1583286550388,-1.2799525,-0.25145295,9.975138
1583286550438,-1.3885255,-0.28840834,9.882423
1583286550488,-1.3828512,-0.20068038,9.770202
1583286550537,-1.3411934,-0.22421987,9.807148
1583286550588,-1.3797143,-0.2273885,9.780805
1583286550638,-1.326134,-0.1422973,9.938615
1583286550687,-1.33866,-0.12552127,9.811844
1583286550737,-1.3484956,-0.23060001,9.791305
1583286550787,-1.3036864,-0.26310122,9.82318
1583286550838,-1.3045356,-0.18302575,9.805065
1583286550887,-1.3172684,-0.13173956,9.857122
1583286550937,-1.3497218,-0.107921466,9.8221245
1583286550988,-1.3212106,-0.15144695,9.836776
1583286551038,-1.3162897,-0.2592603,9.778113
1583286551088,-1.3360983,-0.23343252,9.769481
1583286551137,-1.3457278,-0.17293227,9.864926
1583286551188,-1.3569846,-0.25863105,9.843971
1583286551237,-1.4050654,-0.23644924,9.761341
1583286551287,-1.3536702,-0.1768661,9.73265
1583286551338,-1.3786285,-0.11829856,9.810358
1583286551387,-1.4790331,-0.22226027,9.811806
1583286551438,-1.4952997,-0.08509897,9.888952
1583286551487,-1.384705,-0.28000775,9.813521
1583286551537,-1.3972455,-0.3306072,9.787186
1583286551588,-1.3549633,-0.2039668,9.850924
1583286551638,-1.304321,-0.27952316,9.88387
1583286551688,-1.4120903,-0.19441229,9.732951
1583286551738,-1.4396116,-0.16099235,9.769732
1583286551787,-1.4893823,-0.2174139,9.755293
1583286551837,-1.5383095,-0.19521952,9.752561
1583286551888,-1.4400636,-0.30117247,9.912988
1583286551937,-1.4169421,-0.3219288,9.852453
1583286551987,-1.3999624,-0.2043697,9.750801
1583286552038,-1.4155679,-0.1673071,9.735972
1583286552087,-1.4370846,-0.17196393,9.798658
1583286552138,-1.4492215,-0.15242442,9.861214
1583286552188,-1.44525,-0.1818749,9.824492
1583286552238,-1.5344077,-0.13766587,9.712362
1583286552288,-1.4881551,-0.12383926,9.777786
1583286552338,-1.4487206,-0.25608525,9.830077
1583286552387,-1.510794,-0.31017825,9.76558
1583286552438,-1.4708601,-0.21390411,9.885835
1583286552487,-1.4886769,-0.269633,9.764987
1583286552538,-1.4408803,-0.25291088,9.784271
1583286552587,-1.444367,-0.2539938,9.759042
1583286552637,-1.4257551,-0.22408381,9.887987
1583286552688,-1.4446386,-0.19719091,9.845448
1583286552737,-1.4328104,-0.2402964,9.71304
1583286552787,-1.4898679,-0.25445315,9.737928
1583286552838,-1.5062846,-0.20509118,9.932394
1583286552887,-1.4856516,-0.28434518,9.861582
1583286552937,-1.489372,-0.28020132,9.776861
1583286552987,-1.4701408,-0.22699365,9.7783785
1583286553038,-1.4700886,-0.17053357,9.746461
1583286553087,-1.443166,-0.22007857,9.785432
1583286553138,-1.4321858,-0.22150894,9.843245
1583286553187,-1.4224061,-0.20811644,9.705206
1583286553238,-1.4780674,-0.31731188,9.679694
1583286553288,-1.534047,-0.24791068,9.822846
1583286553337,-1.6085025,-0.21716204,9.770419
1583286553388,-1.6075195,-0.19562829,9.87562
1583286553438,-1.5583696,-0.18103068,9.916682
1583286553488,-1.48048,-0.15653908,9.759277
1583286553537,-1.50943,-0.19334616,9.683854
1583286553587,-1.5610623,-0.2273885,9.794311
1583286553637,-1.6230013,-0.27752504,9.802788
1583286553687,-1.5609725,-0.22449963,9.790028
1583286553737,-1.5346338,-0.21381764,9.73312
1583286553788,-1.5635864,-0.16219464,9.790185
1583286553838,-1.5621433,-0.20986255,9.7496395
1583286553888,-1.5396775,-0.21869247,9.822484
1583286553938,-1.546496,-0.18017837,9.731462
1583286553988,-1.551655,-0.21650513,9.770869
1583286554038,-1.6154184,-0.14502648,9.741286
1583286554087,-1.596452,-0.1434488,9.8234625
1583286554137,-1.58739,-0.13615182,9.827395
1583286554187,-1.6007982,-0.123510264,9.78885
1583286554237,-1.5542561,-0.2098284,9.751868
1583286554287,-1.5485243,-0.12648103,9.686883
1583286554337,-1.6144172,-0.12620324,9.762425
1583286554387,-1.5756148,-0.13181067,9.897812
1583286554438,-1.578417,-0.11391087,9.795585
1583286554487,-1.5482115,-0.103421316,9.873129
1583286554538,-1.5507423,-0.11163863,9.755363
1583286554587,-1.5826703,-0.06411645,9.707699
1583286554638,-1.5560607,-0.03531524,9.785066
1583286554688,-1.5511292,-0.07129798,9.750825
1583286554737,-1.5506907,-0.1064311,9.775684
1583286554788,-1.5244799,-0.13309132,9.8640995
1583286554838,-1.6071843,-0.05520282,9.796681
1583286554888,-1.5623354,-0.05734514,9.832973
1583286554937,-1.5145308,-0.14894485,9.785427
1583286554987,-1.5340438,-0.11507302,9.718742
1583286555038,-1.4830562,-0.088791035,9.82649
1583286555088,-1.5137187,-0.07890606,9.767143
1583286555138,-1.5567421,-0.05230789,9.78448
1583286555187,-1.5746576,-0.16733399,9.790267
1583286555238,-1.6093266,-0.13760327,9.810621
1583286555288,-1.5654783,-0.11142276,9.806773
1583286555337,-1.5396775,-0.13892144,9.76651
1583286555387,-1.5547088,-0.097793385,9.739749
1583286555437,-1.5491507,-0.077561036,9.757594
1583286555488,-1.495487,-0.20469505,9.768948
1583286555538,-1.3935124,-0.43714416,9.928002
1583286555588,-1.4351922,-0.3591554,10.083518
1583286555637,-1.5300233,0.77309895,9.702803
1583286555688,-1.392053,0.27288508,9.751648
1583286555737,-1.2141058,-0.18983993,9.818595
1583286555787,-1.221188,-0.018308103,9.664617
1583286555838,-1.159234,0.2176363,10.173892
1583286555888,-1.278132,-0.051639915,10.092645
1583286555937,-1.7611253,-0.49664107,10.199791
1583286555987,-1.9991205,-0.7224422,9.726205
1583286556038,-2.0050461,-0.9178141,9.161713
1583286556088,-2.0201929,-0.8566819,9.250136
1583286556138,-2.0446103,-0.88306403,9.196312
1583286556187,-2.2537467,-1.0062622,9.287604
1583286556238,-2.2306218,-0.93100595,9.550481
1583286556287,-2.2190428,-0.7331469,9.73878
1583286556338,-2.2075937,-0.81562805,9.82162
1583286556387,-2.0799346,-0.63197476,9.822784
1583286556438,-2.0136206,-0.7336424,9.693967
1583286556487,-1.978157,-0.7320021,9.620706
1583286556538,-2.0019548,-0.7471252,9.508864
1583286556587,-2.0094106,-0.79060996,9.446605
1583286556638,-2.097829,-0.91206026,9.51973
1583286556687,-2.144212,-0.9756073,9.638602
1583286556738,-2.208966,-1.0252155,9.738876
1583286556787,-2.1652222,-0.9809735,9.67871
1583286556838,-2.177594,-0.9369714,9.654399
1583286556887,-2.0496986,-0.91444516,9.71582
1583286556937,-1.7016494,-0.6283674,9.916227
1583286556987,-1.3902222,-0.47100812,9.50901
