Time,rotX,rotY,rotZosboxe
1583288389462,0.42062163,2.521538,-3.6480522
1583288389513,0.91044587,1.5317093,-3.9041464
1583288389562,1.3562119,0.43763795,-3.941995
1583288389613,2.0704436,-0.6420035,-3.893993
1583288389662,3.2000766,-2.1417396,-3.6949148
1583288389713,3.8907666,-3.8856614,-3.1722426
1583288389762,3.5157087,-5.274472,-1.8433083
1583288389812,1.82965,-5.2196,-0.008866785
1583288389862,0.4500969,-4.2370753,1.3856022
1583288389913,0.5526484,-3.2263317,2.8291283
1583288389962,1.9561883,-2.2052221,4.451141
1583288390013,2.2590415,-0.79571915,5.18098
1583288390063,2.050146,1.7797858,4.6933393
1583288390113,1.8996711,4.392935,3.438067
1583288390163,1.4454372,6.3160014,1.6075733
1583288390212,-0.5678526,7.126568,-0.2688945
1583288390263,-1.5822372,6.893722,-1.3070604
1583288390312,-0.6256858,6.0399027,-1.8091975
1583288390362,-0.5340258,4.761705,-1.7902745
1583288390413,-1.6149306,2.8086135,-1.0174505
1583288390462,-1.9646294,0.7589472,-0.6647713
1583288390513,-2.4243083,-0.9469806,-1.7983422
1583288390563,-1.0352793,-1.7419525,-4.0981064
1583288390613,3.2438338,-2.2488782,-6.2672234
1583288390663,4.9630866,-2.4997804,-6.733884
1583288390712,0.62769574,-1.2150828,-5.072266
1583288390763,-1.7321538,1.8456584,-2.848484
1583288390813,-1.0540208,3.9964008,-2.4899118
1583288390863,-1.6155676,5.2212124,-1.8326486
1583288390913,-2.5969787,5.824367,-0.54439616
1583288390963,-3.195523,5.51387,0.48410606
1583288391012,-4.7729244,4.0127463,0.79077417
1583288391062,-5.5199943,2.0938735,0.6962154
1583288391113,-2.947605,0.94860584,0.48547438
1583288391163,-2.0107589,0.70561254,0.18036136
1583288391213,-2.4902606,0.58650917,0.12163894
1583288391262,-1.5069768,0.97379833,-0.22505383
1583288391313,-0.60970944,1.2751124,-0.51771104
1583288391362,-0.52165407,1.5974607,-0.6009348
1583288391412,-0.5145241,1.7204058,-0.34038997
1583288391462,-0.11697419,1.7206278,0.10836495
1583288391512,0.0045415834,1.4699332,0.5892217
1583288391563,0.05125374,1.1234256,0.9790993
1583288391613,-0.68512595,0.8724855,1.0930007
1583288391662,-1.0965252,0.536613,1.275854
1583288391712,-0.8387321,0.43058679,1.0721043
1583288391762,-0.9516485,0.7441255,0.5953712
1583288391813,-0.80216885,1.4340227,0.32688075
1583288391862,0.70781595,2.2652879,0.55377674
1583288391912,2.9720201,2.9159381,0.8817929
1583288391962,2.9724865,3.1207345,0.70427036
1583288392012,0.11375134,2.9161992,0.60989726
1583288392062,-0.3573016,2.8222482,1.2580162
1583288392113,-0.6694096,2.339107,1.6984771
1583288392163,-1.0208223,1.2963045,1.3256582
1583288392212,-0.9698152,0.96092695,0.8998196
1583288392263,-0.90830934,1.1385002,0.5959112
1583288392312,-0.29249036,1.4918954,0.4812738
1583288392362,0.14740758,1.4054064,-0.19412412
1583288392412,-0.06341502,1.1321203,-0.7826854
1583288392462,-0.011986092,0.65404016,-0.7243179
1583288392512,-0.7003332,0.06891207,-0.889361
1583288392563,-0.5802387,-0.39914018,-1.2248167
1583288392613,0.08967146,-0.7022563,-1.2974049
1583288392663,-0.41697606,-0.8985892,-1.7236313
1583288392712,-0.68608505,-0.8750335,-2.1586194
1583288392763,-1.045764,-0.70775104,-2.5185914
