Time,accX,accY,accZ
1583286065388,0.41800544,0.06146,9.955404
1583286065438,0.46610722,0.051696822,9.931598
1583286065488,0.48393306,0.06489983,9.943958
1583286065537,0.39461002,0.0552805,9.949099
1583286065588,0.5594029,0.06696626,9.951518
1583286065637,0.42134383,0.055703104,9.941012
1583286065688,0.4576591,0.0599327,9.939587
1583286065738,0.50550985,0.07247816,9.9310055
1583286065787,0.34121072,0.050589327,9.94477
1583286065837,0.52838606,0.07456027,9.932985
1583286065887,0.4261689,0.06564364,9.933911
1583286065938,0.46985835,0.061790153,9.938195
1583286065987,0.5303723,0.07709616,9.905673
1583286066037,0.36871392,0.057807118,9.977858
1583286066088,0.54661053,0.08123285,9.899583
1583286066137,0.40935367,0.062016755,9.970376
1583286066187,0.38029397,0.036120296,9.945672
1583286066237,0.5335087,0.083501495,9.920269
1583286066288,0.37818396,0.039539613,9.965175
1583286066337,0.5182345,0.11572699,9.911424
1583286066387,0.48623466,0.036731772,9.934514
1583286066437,0.42431283,0.06645535,9.9388
1583286066487,0.4953958,0.052972555,9.941508
1583286066538,0.42738095,0.06642514,9.945353
1583286066588,0.4417499,0.07161321,9.898385
1583286066637,0.47846413,0.050623707,9.945844
1583286066688,0.43974566,0.067216456,9.923867
1583286066737,0.44105664,0.04159622,9.970136
1583286066787,0.49597493,0.06597805,9.939192
1583286066837,0.42969537,0.05336076,9.934779
1583286066888,0.49423048,0.06976865,9.940704
1583286066938,0.45385277,0.064981066,9.911419
1583286066988,0.41692427,0.052295443,9.959993
1583286067037,0.49534997,0.068416096,9.924379
1583286067088,0.40947098,0.03776683,9.948395
1583286067138,0.48708102,0.091124326,9.937548
1583286067187,0.51228446,0.05405388,9.938542
1583286067237,0.39719903,0.060255155,9.961124
1583286067288,0.5109312,0.06234108,9.919869
1583286067337,0.42683703,0.074062526,9.977046
1583286067388,0.4500101,0.060200498,9.912203
1583286067437,0.4955078,0.07137594,9.949673
1583286067487,0.39517215,0.061396725,9.942655
1583286067537,0.5237994,0.07597354,9.958926
1583286067588,0.45630482,0.050129034,9.939746
1583286067638,0.45326817,0.053993445,9.917847
1583286067687,0.4889255,0.086959094,9.980503
1583286067738,0.41505888,0.034452617,9.9170685
1583286067788,0.4777107,0.05902595,9.944958
1583286067838,0.46305233,0.068687595,9.9448805
1583286067888,0.43759912,0.0600715,9.939041
1583286067937,0.48792493,0.041838605,9.934039
1583286067988,0.4526836,0.082586184,9.949879
1583286068038,0.44490606,0.04747872,9.925111
1583286068087,0.49579948,0.0707076,9.948862
1583286068137,0.42536682,0.048240867,9.950193
1583286068188,0.46074653,0.055015095,9.924719
1583286068237,0.47513944,0.07167081,9.957958
1583286068287,0.41864622,0.037488908,9.931513
1583286068338,0.5253772,0.058750752,9.9246435
1583286068388,0.43786368,0.06575683,9.943947
1583286068438,0.4506003,0.051491078,9.933226
1583286068487,0.50168264,0.058494765,9.927213
1583286068538,0.38630986,0.06422334,9.958343
1583286068587,0.49434537,0.06013234,9.925606
1583286068637,0.4433833,0.0648625,9.941294
