Time,rotX,rotY,rotZosboxe
1583288439462,-3.4455009,0.46403763,-1.3709697
1583288439513,-3.1484551,0.64510477,-0.12220446
1583288439563,-1.3955733,0.8445536,0.71089745
1583288439612,0.17801644,0.58940053,0.69087017
1583288439663,0.49543867,-0.033723496,0.371836
1583288439712,-0.5879201,-0.31882957,0.12297183
1583288439763,0.4124468,-1.126476,0.522371
1583288439813,2.0849934,-1.1332434,0.89074594
1583288439863,2.2604582,-0.9789606,0.77447844
1583288439913,1.0323539,-1.3133848,0.2451911
1583288439962,0.5386702,-1.3495717,-0.31993395
1583288440013,0.8877163,-1.0982212,-0.5881036
1583288440062,1.3591039,-0.7837148,-0.4023841
1583288440112,1.5865529,-0.50870866,-0.06905864
1583288440162,1.3994857,-0.3079171,-0.019601092
1583288440212,0.98616755,-0.2247172,-0.09425926
1583288440262,1.1196083,-0.41412035,-0.030862566
1583288440312,2.152937,-0.8388649,0.114198096
1583288440362,2.6906147,-1.3737082,0.48743516
1583288440412,2.589526,-1.9734182,0.9645683
1583288440463,2.4251108,-2.5623689,1.5439014
1583288440512,2.256936,-2.9151108,1.9124155
1583288440562,2.0018606,-3.2483058,2.0339458
1583288440613,1.7834675,-3.4464712,2.0676622
1583288440662,1.8060349,-3.5521207,2.0254738
1583288440713,2.6583443,-3.6841705,2.1373355
1583288440762,3.8171263,-3.351786,2.5078328
1583288440812,3.5279527,-2.3238416,2.1885092
1583288440862,1.7075677,-1.0529505,0.9274045
1583288440913,0.5674209,-0.114547394,-0.34147608
1583288440962,0.13176477,1.4465185,-1.233917
1583288441013,0.27330646,2.6671782,-1.8835256
1583288441062,0.28050503,3.3280783,-2.5365567
1583288441113,-0.7518391,3.8994455,-2.857516
1583288441163,-1.4938182,4.3258176,-2.6489418
1583288441213,-1.8409168,4.79023,-2.3118038
1583288441262,-1.8231186,4.6347485,-2.02095
1583288441312,-0.83315194,3.7821834,-1.5744382
1583288441362,-0.16145025,2.8830767,-1.3138094
1583288441412,0.010147868,1.8716152,-0.99835587
1583288441463,-0.48032486,0.6239693,-0.8662705
1583288441513,-0.7400038,-1.5613077,-0.43752238
1583288441562,0.027033223,-1.3097358,-0.45339295
1583288441612,-0.23879756,-3.1464643,-0.404714
1583288441662,0.9328709,-3.994002,-0.37240878
1583288441712,1.4549168,-4.5799913,-0.075886354
1583288441762,2.451794,-4.955271,0.59671843
1583288441812,2.8772297,-4.8557262,1.2360762
1583288441862,2.6214714,-4.859173,1.6902511
1583288441912,2.4865613,-4.847949,2.0398855
1583288441962,2.6218934,-4.829823,2.2784197
1583288442013,3.4616585,-4.65528,2.5553129
1583288442062,4.510244,-4.2078424,2.6067238
1583288442112,2.7121773,-2.2108002,1.2529337
1583288442163,-0.35296306,0.3238792,-0.94787323
