Time,rotX,rotY,rotZ,DT,Hour
1582925929898.0,0.450758,0.4339797,-0.03670627,2020-02-28 15:38:49.898000-06:00,2020-02-28 15:00
1582925929947.0,0.38586828,0.37917942,-0.30263686,2020-02-28 15:38:49.947000-06:00,2020-02-28 15:00
1582925929997.0,1.2656139,1.6561983,-0.48312489999999997,2020-02-28 15:38:49.997000-06:00,2020-02-28 15:00
1582925930048.0,2.1704586,-1.3765924999999999,1.5933466,2020-02-28 15:38:50.048000-06:00,2020-02-28 15:00
1582925930097.0,4.547369000000001,-2.9660394,1.5302209,2020-02-28 15:38:50.097000-06:00,2020-02-28 15:00
1582925930147.0,2.0205834,0.28461173,-0.42264494,2020-02-28 15:38:50.147000-06:00,2020-02-28 15:00
1582925930198.0,0.05337757,1.420519,1.2569385,2020-02-28 15:38:50.198000-06:00,2020-02-28 15:00
1582925930247.0,0.75461614,0.45039806,0.45183370000000006,2020-02-28 15:38:50.247000-06:00,2020-02-28 15:00
1582925930298.0,-0.22883037,0.5700885,0.6779525,2020-02-28 15:38:50.298000-06:00,2020-02-28 15:00
1582925930347.0,0.20944698,0.9820291999999999,0.80462563,2020-02-28 15:38:50.347000-06:00,2020-02-28 15:00
1582925930397.0,1.5360018,1.7128710999999999,0.43384612,2020-02-28 15:38:50.397000-06:00,2020-02-28 15:00
1582925930448.0,-0.059379607,1.4523145,-1.1406761,2020-02-28 15:38:50.448000-06:00,2020-02-28 15:00
1582925930497.0,-1.6924976000000003,0.03704131,-0.6229835,2020-02-28 15:38:50.497000-06:00,2020-02-28 15:00
1582925930547.0,-0.92245567,-0.96566916,-0.75467277,2020-02-28 15:38:50.547000-06:00,2020-02-28 15:00
1582925930597.0,-2.0552154,-3.9745212,-2.4677667999999997,2020-02-28 15:38:50.597000-06:00,2020-02-28 15:00
1582925930647.0,-6.659217,-7.826941499999999,-2.1913142000000003,2020-02-28 15:38:50.647000-06:00,2020-02-28 15:00
1582925930697.0,-4.4813843,-6.876573599999999,-2.1470133999999996,2020-02-28 15:38:50.697000-06:00,2020-02-28 15:00
1582925930747.0,-5.451109400000001,-4.0236187,-1.7998883,2020-02-28 15:38:50.747000-06:00,2020-02-28 15:00
1582925930797.0,-6.2449675000000004,-3.5876273999999997,-0.48182467,2020-02-28 15:38:50.797000-06:00,2020-02-28 15:00
1582925930847.0,-3.8489102999999996,-1.0181352,0.24160810000000002,2020-02-28 15:38:50.847000-06:00,2020-02-28 15:00
1582925930898.0,2.9010441000000005,-0.5644744,-0.42533356,2020-02-28 15:38:50.898000-06:00,2020-02-28 15:00
1582925930947.0,0.07516993,0.13563505,0.54415774,2020-02-28 15:38:50.947000-06:00,2020-02-28 15:00
1582925930997.0,0.19520587,1.0765042999999999,0.6065176,2020-02-28 15:38:50.997000-06:00,2020-02-28 15:00
1582925931047.0,0.047338948,0.09200731,1.0743951999999999,2020-02-28 15:38:51.047000-06:00,2020-02-28 15:00
1582925931097.0,-0.1599777,-0.69022036,1.3854173,2020-02-28 15:38:51.097000-06:00,2020-02-28 15:00
1582925931147.0,-0.3508696,-2.03838,0.14830144,2020-02-28 15:38:51.147000-06:00,2020-02-28 15:00
1582925931198.0,0.11733949,-0.38270820000000005,0.5222173999999999,2020-02-28 15:38:51.198000-06:00,2020-02-28 15:00
1582925931247.0,1.0177706,1.0515491000000001,0.36903027,2020-02-28 15:38:51.247000-06:00,2020-02-28 15:00
1582925931298.0,1.0937885,0.7053734,0.26404652,2020-02-28 15:38:51.298000-06:00,2020-02-28 15:00
1582925931347.0,1.7592584,0.58294237,0.0028955801,2020-02-28 15:38:51.347000-06:00,2020-02-28 15:00
