Time,rotX,rotY,rotZ,DT,Hour
1582686000034.0,-0.7898330688476562,-1.2857303619384766,-0.4695091247558594,2020-02-25 21:00:00.034000-06:00,2020-02-25 21:00
1582686000084.0,-0.4818587303161621,-1.4675278663635254,-0.7596044540405273,2020-02-25 21:00:00.084000-06:00,2020-02-25 21:00
1582686000134.0,-0.31371307373046875,-1.4505634307861328,-0.9627809524536133,2020-02-25 21:00:00.134000-06:00,2020-02-25 21:00
1582686000184.0,0.10125350952148438,-1.1639556884765625,-0.9789137840270996,2020-02-25 21:00:00.184000-06:00,2020-02-25 21:00
1582686000234.0,0.042067527770996094,-0.8565559387207031,-0.8538064956665039,2020-02-25 21:00:00.234000-06:00,2020-02-25 21:00
1582686000284.0,0.2281477451324463,-0.6414729356765747,-0.6462030410766602,2020-02-25 21:00:00.284000-06:00,2020-02-25 21:00
1582686000334.0,0.10334014892578125,-0.5912261009216309,-0.3967571258544922,2020-02-25 21:00:00.334000-06:00,2020-02-25 21:00
1582686000384.0,-0.4698476791381836,-0.4199676513671875,-0.09160423278808594,2020-02-25 21:00:00.384000-06:00,2020-02-25 21:00
1582686000434.0,-0.6518301963806152,-0.12285137176513672,0.18375635147094727,2020-02-25 21:00:00.434000-06:00,2020-02-25 21:00
1582686000484.0,-0.6743936538696289,0.0566859245300293,0.2779347896575928,2020-02-25 21:00:00.484000-06:00,2020-02-25 21:00
1582686000534.0,-0.4272613525390625,0.12782078981399536,0.28474748134613037,2020-02-25 21:00:00.534000-06:00,2020-02-25 21:00
1582686000584.0,-0.24718189239501953,0.09948348999023438,0.2475566864013672,2020-02-25 21:00:00.584000-06:00,2020-02-25 21:00
1582686000634.0,-0.22524690628051758,0.04374927282333374,0.19115829467773438,2020-02-25 21:00:00.634000-06:00,2020-02-25 21:00
1582686000684.0,-0.24763727188110352,0.04423367977142334,0.11189842224121094,2020-02-25 21:00:00.684000-06:00,2020-02-25 21:00
1582686000734.0,-0.19032502174377441,0.05418708920478821,0.035311222076416016,2020-02-25 21:00:00.734000-06:00,2020-02-25 21:00
1582686000784.0,-0.1531468629837036,0.05368906259536743,-0.00439763069152832,2020-02-25 21:00:00.784000-06:00,2020-02-25 21:00
1582686000834.0,-0.13198983669281006,0.06465983390808105,-0.018166450783610344,2020-02-25 21:00:00.834000-06:00,2020-02-25 21:00
1582686000884.0,-0.10879504680633545,0.07862579822540283,-0.01876005530357361,2020-02-25 21:00:00.884000-06:00,2020-02-25 21:00
