Time,accX,accY,accZ
1582682664442,0.949247,5.29903,-8.340082
1582682664461,0.863009,5.164882,-8.467044
1582682664481,0.8414495,5.1529045,-8.459857
1582682664502,0.8606135,5.136136,-8.399969
1582682664522,0.853427,5.1576953,-8.414343
1582682664542,0.652205,5.0091743,-8.488603
1582682664561,0.5156615,5.0283384,-8.273008
1582682664581,0.642623,5.208001,-8.162815
1582682664601,0.795935,5.231956,-8.340082
1582682664621,0.5444075,5.0906215,-8.490998
1582682664641,0.5779445,5.1864414,-8.500581
1582682664661,0.8845685,5.217583,-8.134069
1582682664681,0.470147,5.045107,-8.555677
1582682664701,0.398282,4.8271165,-8.732944
1582682664721,0.748025,5.0283384,-8.59161
1582682664740,0.77198,5.1529045,-8.699407
1582682664761,0.786353,4.992406,-8.546095
1582682664781,0.6977195,4.9085636,-8.658684
1582682664800,0.604295,4.9804287,-8.649101
1582682664820,0.647414,5.222374,-8.546095
1582682664841,0.949247,5.318194,-8.323314
1582682664860,0.728861,4.9852195,-8.284986
1582682664880,0.5827355,4.978033,-8.510162
1582682664901,0.8893595,5.198419,-8.373619
1582682664920,0.776771,5.2439337,-8.500581
1582682664940,0.609086,5.303821,-8.502976
1582682664960,0.7552115,5.2295604,-8.467044
1582682664981,1.0378805,5.150509,-8.380806
1582682665000,1.136096,5.0187564,-8.469439
1582682665020,0.9947615,5.112181,-8.785645
1582682665040,0.589922,5.174464,-8.888652
1582682665060,0.6258545,5.2966347,-8.658684
1582682665080,0.81989,5.184046,-8.505371
1582682665100,0.652205,5.093017,-8.76169
1582682665119,0.810308,5.145718,-8.76169
1582682665140,0.982784,4.982824,-8.730549
1582682665160,1.092977,4.9277277,-8.629937
1582682665180,0.8893595,5.1337404,-8.804809
1582682665200,1.01153,5.275075,-8.71378
1582682665220,1.2151475,5.1529045,-8.352059
1582682665239,0.6498095,5.1624866,-8.613169
1582682665260,0.700115,5.284657,-8.455066
1582682665279,0.661787,5.2295604,-8.479021
1582682665299,0.6258545,5.2103963,-8.52214
1582682665320,0.8414495,5.1529045,-8.368828
1582682665340,0.6210635,5.2199783,-8.548491
1582682665360,0.656996,5.2535157,-8.318522
1582682665379,0.6258545,5.0666666,-8.337687
1582682665400,0.4917065,5.01157,-8.627542
1582682665419,1.0091345,5.3637085,-7.9352427
1582682665439,0.9564335,5.6344,-7.9352427
1582682665459,0.6354365,5.528998,-8.124487
1582682665479,0.67616,5.7853165,-7.760371
1582682665499,0.633041,5.610445,-7.9591975
1582682665519,0.728861,5.509834,-8.210725
1582682665539,0.661787,5.533789,-8.241866
1582682665558,0.7600025,5.514625,-8.105323
1582682665578,0.738443,5.4930654,-8.098137
1582682665599,0.5875265,5.5313935,-8.222702
1582682665619,0.316835,5.519416,-8.136464
1582682665639,0.163523,5.562535,-8.47423
1582682665658,0.153941,5.840413,-9.027591
1582682665678,0.6018995,5.648773,-9.619279
1582682665698,1.380437,5.691892,-6.8237305
1582682665718,3.21539,4.7360873,-6.404518
1582682665738,3.517223,3.291601,-9.1282015
1582682665758,-0.4521205,5.8715544,-7.9064965
1582682665778,1.1959835,4.906168,-9.513877
1582682665798,1.5936365,5.361313,-8.376015
1582682665818,2.0871096,5.337358,-6.8812227
1582682665838,0.4869155,3.7491415,-7.7723484
1582682665858,-2.7182634,2.3980794,-8.790436
1582682665878,-3.151849,3.511987,-9.070709
1582682665898,-3.429727,2.5178545,-10.251691
1582682665918,-1.877443,3.056842,-10.17264
1582682665938,-2.7038906,2.534623,-8.948539
1582682665958,-3.659695,0.349927,-8.649101
1582682665978,-2.1625075,-0.651392,-7.4273963
1582682665998,-1.7169445,1.6602654,-8.335291
1582682666017,-3.0153055,0.474493,-11.15719
1582682666037,-0.655738,-0.7448165,-10.014537
1582682666058,2.0344086,0.1702645,-7.674133
1582682666078,1.9577525,-0.0692855,-8.764086
1582682666098,1.174424,-2.0719235,-8.320918
1582682666117,1.3349226,-0.167501,-7.56394
1582682666137,-1.1132785,2.2974684,-12.477111
1582682666157,-2.965,2.1345744,-16.175762
1582682666177,-1.772041,1.844719,-9.660003
1582682666197,-1.5157225,2.1489475,-9.791755
1582682666217,-1.230658,1.4207155,-10.819425
1582682666237,-0.167056,1.2626125,-7.2836666
1582682666257,-0.488053,1.0709724,-8.680243
1582682666277,-2.744614,2.237581,-10.65653
1582682666297,-2.351752,2.5082724,-9.813314
1582682666317,-0.0688405,2.577742,-9.91153
1582682666337,-0.694066,3.473659,-8.924584
1582682666356,-1.6929895,2.8340604,-8.555677
1582682666377,-1.556446,3.008932,-10.982319
1582682666397,-1.0366225,3.133498,-9.808523
1582682666417,-0.358696,3.0352826,-8.694616
1582682666437,-1.0893235,2.889157,-9.303073
1582682666457,-1.4007385,2.8053145,-9.453989
1582682666477,-0.7635355,3.258064,-8.977285
1582682666497,-0.5287765,3.1358936,-8.629937
1582682666517,-1.019854,3.008932,-9.370147
1582682666537,-1.211494,3.416167,-9.954649
1582682666556,-0.9599665,3.7778876,-9.377334
1582682666576,-0.876124,3.397003,-9.362961
1582682666596,-0.9120565,3.2652504,-9.156947
1582682666615,-0.9264295,3.4664724,-8.946143
1582682666636,-0.789886,3.2748325,-9.094665
1582682666656,-0.7299985,3.258064,-8.972494
1582682666676,-1.058182,3.521569,-9.712704
1582682666696,-0.895288,3.660508,-9.389311
1582682666716,-0.5718955,3.5431285,-8.907816
1582682666735,-0.52159,3.4712634,-8.804809
1582682666756,-0.861751,3.5000095,-9.034777
1582682666776,-0.5383585,3.3946075,-9.224022
1582682666796,-0.3131815,3.3658614,-9.2336035
1582682666816,-0.4808665,3.440122,-9.353378
1582682666835,-0.3898375,3.3706524,-9.346192
1582682666855,-0.114355,3.114334,-9.188089
1582682666876,-0.1598695,3.305974,-9.104246
1582682666896,-0.28204,4.0222287,-8.728153
1582682666916,-0.320368,4.019833,-9.365356
1582682666935,-0.152683,3.5048006,-9.238395
1582682666955,-0.334741,3.90964,-9.382125
1582682666975,-0.3802555,4.0318103,-10.19899
1582682666995,0.3144395,3.5095916,-9.928299
1582682667015,0.9085235,3.1742215,-9.085082
1582682667035,0.6929285,4.0988846,-7.6382003
1582682667055,0.791144,4.839094,-8.13886
1582682667075,0.010211,3.9359906,-8.926979
1582682667095,-0.698857,1.2194935,-8.982076
1582682667115,-0.195802,0.091213,-8.692221
1582682667135,1.461884,1.667452,-7.640596
1582682667155,1.073813,1.4446706,-7.396255
1582682667175,-0.3994195,0.6254095,-9.31505
1582682667194,0.1227995,1.0086895,-8.687429
1582682667214,0.67616,2.2016485,-10.711627
1582682667235,0.565967,1.1188825,-10.407398
1582682667255,0.43661,1.8950245,-9.262349
1582682667275,-0.1646605,1.6890115,-9.24079
1582682667294,0.3000665,1.820764,-9.137783
1582682667314,1.136096,2.644816,-7.61185
1582682667335,1.1672375,3.061633,-8.253844
1582682667354,1.380437,2.8532245,-8.900629
1582682667375,1.758926,2.9682086,-9.106642
1582682667395,2.4991355,3.6676946,-9.765405
1582682667415,2.779409,4.359994,-10.496032
1582682667434,1.73018,4.1659584,-9.976209
1582682667454,2.6716115,4.288129,-8.962912
1582682667474,3.9316444,3.7443504,-8.833555
1582682667494,2.444039,2.4364076,-9.300677
1582682667514,1.902656,1.7752495,-10.778701
1582682667534,3.383075,2.7957325,-10.393025
1582682667551,4.350857,3.9982736,-9.906739
1582682667574,4.552079,3.3371155,-10.309183
1582682667594,5.5126743,3.234109,-10.651739
1582682667614,5.390504,2.764591,-11.552447
1582682667634,4.0705833,3.090379,-12.548976
1582682667654,4.4586544,3.2125494,-12.206419
1582682667674,5.093462,3.1071475,-11.878236
1582682667693,5.03597,2.7909415,-9.851643
1582682667713,4.379603,2.4603624,-8.994054
1582682667733,3.028541,1.99324,-10.031305
1582682667754,2.0966916,2.108224,-10.021723
1582682667773,2.6572385,2.4364076,-8.074182
1582682667793,3.1986215,1.5884005,-7.75558
1582682667813,2.5374634,1.8471144,-8.198748
1582682667833,1.548122,1.9764715,-8.239471
1582682667854,0.901337,1.154815,-8.055017
1582682667873,0.4964975,1.5931915,-8.031062
1582682667893,0.9612245,2.620861,-7.837027
1582682667913,1.045067,2.534623,-7.4273963
1582682667933,1.1432825,2.180089,-7.765162
1582682667953,1.4307425,1.5836095,-8.764086
1582682667973,1.4594885,1.0422266,-8.711385
1582682667993,1.950566,1.106905,-8.840741
1582682668013,2.2356305,1.08295,-9.252768
1582682668032,2.309891,0.388255,-9.257559
1582682668053,2.774618,-0.3184175,-9.992977
1582682668072,2.3410325,-0.268112,-10.074424
1582682668092,1.984103,0.1702645,-10.196594
1582682668112,2.1158555,0.383464,-10.361884
1582682668132,2.0823185,0.1271455,-9.604906
1582682668152,2.060759,-0.3663275,-8.387992
1582682668172,1.950566,-0.656183,-8.938957
1582682668193,2.1206465,-0.8598005,-9.834874
1582682668213,2.1733475,-0.6633695,-9.870807
1582682668233,1.9864985,-0.435797,-9.489922
1582682668253,2.0008714,-0.3423725,-9.439616
1582682668273,1.8715146,-0.0740765,-9.866015
1582682668293,1.0762085,-0.1555235,-9.947462
1582682668313,0.8366585,-0.5388035,-9.858829
1582682668333,1.2726395,-0.6058775,-9.568974
1582682668352,1.648733,-0.45017,-9.444407
1582682668572,1.49063,-0.177083,-9.271932
1582682668593,1.509794,0.0792355,-10.036096
1582682668613,1.3732505,-0.1603145,-9.751032
