Time,rotX,rotY,rotZosboxe
1582682710521,-0.2845879,1.6789627,-1.0015507
1582682710571,1.6701773,1.883816,-1.5352565
1582682710621,1.2600838,1.8333303,-0.95332396
1582682710671,0.6941689,2.4369051,-0.9497583
1582682710722,-0.52531785,2.1110637,-1.3931819
1582682710771,-2.8316493,-7.4165314E-4,0.37140948
1582682710821,-3.9778528,-1.3603668,0.5856311
1582682710872,-0.6898527,-1.9159002,-0.36580452
1582682710921,-0.52037543,-3.3942237,0.26383942
1582682710972,-2.0537167,-4.1903353,0.55572844
1582682711021,-2.3649676,-4.4036937,-0.35500857
1582682711072,-0.5142696,-5.9544244,-2.1553197
1582682711121,3.525417,-5.842063,-2.1259286
1582682711171,4.1111646,-3.993831,-0.8942481
1582682711221,3.8150973,-4.3693423,0.37089887
1582682711271,6.1411915,-8.49015,0.04104326
1582682711321,3.570069,-4.350117,-0.51801115
1582682711372,0.26780108,-0.60958683,-0.11977061
1582682711422,-1.2669277,-1.0462581,0.15826766
1582682711472,-0.068721086,0.22245926,0.0049572233
1582682711522,1.3426712,0.8911115,-0.2829957
1582682711572,-0.8275299,0.39576694,-0.22728522
1582682711622,-0.930451,-0.25166914,-0.1491128
1582682711672,-1.2108202,-0.8933953,0.16555375
1582682711722,-1.1284152,-1.0168035,0.47706896
1582682711771,0.10247461,-0.26402512,0.18971956
1582682711821,0.3564018,-0.29873163,0.14602518
1582682711871,0.19945598,-0.51847064,0.3687358
1582682711922,0.0037600726,-0.3760003,0.27219868
1582682711972,-0.30818048,0.020276386,-0.009853239
1582682712022,-0.43249628,-0.0643931,-0.045279786
1582682712072,-0.099729955,-0.13027337,0.09290515
1582682712122,-0.17372869,0.05315511,0.056714594
1582682712171,-0.2324888,0.07726646,-0.006370034
