Time,accX,accY,accZ
1582683821896,-8.989723,-2.186901,3.1207385
1582683821946,-8.987131,-1.9835117,3.240952
1582683821997,-9.000169,-1.950934,3.2039216
1582683822046,-9.060523,-2.2990458,2.9333618
1582683822096,-8.946507,-2.1952734,3.2077093
1582683822146,-8.973321,-2.078724,3.265746
1582683822196,-8.963435,-1.988433,3.1375957
1582683822246,-9.030144,-1.9888586,3.1067092
1582683822297,-8.983248,-2.2373521,3.0199876
1582683822346,-8.89777,-2.1884024,3.3511567
1582683822396,-8.894607,-2.524789,3.2036176
1582683822446,-8.870812,-2.3232365,3.382485
1582683822497,-8.885867,-2.3075666,3.3288913
1582683822546,-8.930268,-2.259024,3.18883
1582683822597,-8.909507,-2.291516,3.201187
1582683822647,-8.913949,-2.4037392,3.1962245
1582683822696,-8.925104,-2.5017061,3.1138086
1582683822747,-8.873824,-2.269139,3.3924732
1582683822797,-8.912917,-2.1862872,3.3199308
1582683822846,-8.963407,-2.1170607,3.198974
1582683822896,-8.972781,-2.0713885,3.1301699
1582683822946,-8.947642,-2.0605516,3.393033
1582683822997,-8.949058,-2.2185185,3.1917317
1582683823046,-8.81137,-1.7722083,3.720785
1582683823097,-8.8046465,-1.9006152,3.8422973
1582683823147,-8.951243,-0.98315513,3.8869505
1582683823197,-8.807828,-0.47544658,3.552674
1582683823246,-8.886676,-1.6866543,2.2095468
1582683823297,-8.747621,-2.501464,1.3919407
1582683823346,-8.405715,-3.6794953,-0.032809347
1582683823396,-6.6556263,-4.08343,-0.45408678
1582683823447,-2.2927163,-5.7914314,0.74375963
1582683823496,-1.2672819,-8.084749,4.927594
1582683823546,-1.8467358,-7.173933,10.010492
1582683823596,-0.23525614,-3.3795226,11.671346
1582683823647,1.6129948,-3.372666,9.98024
1582683823697,2.516782,-2.254721,8.128328
1582683823747,4.203333,-3.8673487,8.520804
1582683823797,5.530573,-5.926268,5.906648
1582683823846,6.227114,-7.450117,2.8625576
1582683823896,9.483913,-10.322838,3.4941766
1582683823946,14.324678,-8.364869,2.9336562
1582683823996,16.414824,-8.944137,0.42890942
1582683824047,11.405951,-8.247614,-0.74761075
1582683824097,6.8109455,-7.285132,3.068204
1582683824147,7.013349,-7.39534,3.2872462
1582683824196,7.3479786,-8.155672,1.5966495
1582683824246,7.855927,-6.2252264,3.140664
1582683824297,8.167812,-5.02166,3.8408616
1582683824346,7.8374977,-4.791019,3.785497
1582683824396,7.3811345,-4.4982452,3.9688067
1582683824446,7.240229,-4.381183,4.4946175
1582683824496,7.3913317,-4.185802,4.8316803
1582683824547,7.4075346,-4.939422,4.9544616
1582683824596,7.4639792,-5.364747,4.7361183
1582683824646,7.280808,-5.3572955,4.5332594
1582683824697,7.2368135,-5.209408,4.010272
1582683824746,7.3481603,-5.170703,3.6856983
1582683824796,7.490872,-5.069723,3.5103083
1582683824846,7.323768,-5.271013,3.6296809
1582683824897,7.291101,-5.4723086,3.9069192
1582683824946,7.298696,-5.531035,4.110325
1582683824997,7.3204327,-5.6900353,4.347167
1582683825046,7.207822,-5.3850007,4.5600934
1582683825096,7.344644,-5.4897995,4.2787867
1582683825146,7.205849,-5.2652516,4.1871243
1582683825196,7.1731896,-5.0057697,4.194183
1582683825247,7.059159,-5.180172,4.1440372
1582683825297,7.0492477,-5.1781945,4.0563316
1582683825346,7.097618,-5.3773546,4.207642
1582683825396,7.093701,-5.5399694,4.5195394
1582683825446,7.198791,-5.741476,4.602381
1582683825496,7.1040697,-5.7635183,4.4105964
1582683825547,6.9981675,-5.737585,4.226623
1582683825596,6.8377347,-5.8821197,4.114983
1582683825646,7.0103674,-5.799345,4.1111746
1582683825696,7.0121555,-6.028239,4.10036
1582683825747,6.8169913,-5.920106,4.21844
1582683825796,6.8445,-5.807453,4.143547
1582683825847,6.760844,-5.7973824,4.023944
1582683825896,6.5775657,-5.6072993,4.025062
1582683825946,6.6982946,-5.733271,4.0432677
1582683825996,6.5751667,-5.7871304,4.2111325
1582683826046,6.4776564,-5.515362,4.4289393
1582683826096,6.4878516,-5.7666936,4.892836
1582683826146,6.443881,-6.018096,4.540021
1582683826196,6.42032,-6.1133785,4.5369124
1582683826247,6.5667405,-5.834152,4.9036093
1582683826296,6.360081,-6.055359,4.6759653
1582683826346,6.3564506,-6.1193104,4.6936793
1582683826396,6.36033,-6.1760406,4.6663446
1582683826447,6.2816772,-6.4397407,5.386328
1582683826496,6.2180557,-6.602489,5.68731
1582683826546,6.183865,-6.84547,5.58508
1582683826596,6.0370297,-6.99816,5.695127
1582683826646,5.8513727,-7.0546536,5.264872
1582683826697,5.5377336,-6.762563,4.5257325
1582683826746,5.4497313,-6.450615,4.1791854
1582683826796,5.10632,-6.8580546,4.4164925
1582683826846,4.919103,-7.585979,4.6117325
1582683826897,4.811805,-7.631687,4.4946384
1582683826947,4.753728,-7.944123,4.090713
1582683826996,4.0042458,-7.956842,3.8941326
1582683827046,4.3366575,-8.498058,3.547769
1582683827096,3.7870069,-8.183233,3.13409
1582683827146,3.7259119,-8.417562,2.5536697
1582683827196,3.5801847,-9.630012,1.2065856
1582683827246,2.871974,-9.301099,0.87501955
1582683827296,2.8116426,-8.744351,0.38574985
1582683827346,2.5194404,-8.464422,-0.036220744
1582683827396,2.125886,-8.011491,-0.14979601
1582683827447,1.7498859,-7.205532,0.21352409
1582683827497,1.9663231,-7.408709,0.7954642
1582683827546,1.6692233,-7.6551633,1.0687411
1582683827596,2.1501255,-8.136343,1.2699876
1582683827646,2.0766244,-8.9534445,1.4872476
1582683827696,2.3155353,-9.622704,1.4425737
1582683827747,2.4134066,-9.817428,1.3163595
1582683827796,2.5612206,-9.481464,1.0487883
1582683827846,2.7262204,-9.325719,0.77638435
1582683827896,2.8523421,-8.98049,0.63117415
1582683827947,2.966557,-8.717666,0.7951822
1582683827996,2.9450054,-8.877819,0.8514563
1582683828047,3.0903385,-9.188186,0.9600386
1582683828096,3.3169456,-9.209183,1.14583
1582683828146,3.3685732,-9.513336,1.032318
1582683828196,3.6072316,-9.489706,0.7380052
1582683828247,3.5199397,-9.6171055,0.6297502
1582683828296,3.581402,-9.536843,0.44646806
1582683828346,3.6636808,-9.434308,0.45940736
1582683828396,3.6220737,-9.366532,0.42071632
1582683828446,3.5664425,-9.148284,0.409457
1582683828496,3.4858677,-9.281502,0.44498605
1582683828547,3.4737382,-9.122319,0.542432
1582683828596,3.317898,-9.139318,0.5490261
1582683828647,3.3575733,-9.202384,0.6315276
1582683828697,3.3268323,-9.030681,0.6791212
1582683828746,3.2842937,-8.949008,0.7855093
1582683828797,3.0882714,-9.131747,0.72234946
1582683828846,2.9979997,-9.122485,0.75171393
1582683828897,3.0185235,-9.062682,0.6474347
1582683828947,3.040765,-8.898429,0.5962254
1582683828996,2.9914348,-8.966945,0.56535804
1582683829047,2.9076424,-9.009079,0.5616529
1582683829096,2.9766247,-8.920562,0.5820311
1582683829146,2.855468,-9.079955,0.6265742
1582683829197,2.803379,-9.242303,0.48790807
1582683829246,2.797691,-9.153731,0.37698808
1582683829296,2.670112,-9.169676,0.2759281
1582683829347,2.724508,-8.924529,0.27562195
1582683829396,2.8036387,-8.769946,0.15210027
1582683829447,2.950634,-8.556985,0.13473284
1582683829496,2.8759851,-8.57533,-0.12426874
1582683829547,2.9857268,-8.618712,-0.9391608
1582683829597,3.057459,-9.303614,-1.7353607
1582683829646,3.0224607,-8.912197,-2.822269
1582683829696,3.048818,-8.715362,-3.894006
1582683829747,3.016577,-8.222316,-4.386187
1582683829796,3.2035744,-7.775552,-4.645776
1582683829847,3.1395707,-7.6656857,-4.6921453
1582683829896,3.2207284,-7.58298,-4.8928614
1582683829946,3.23919,-7.500448,-5.0739307
1582683829996,3.2850525,-7.4429216,-5.2189384
1582683830047,3.2527866,-7.1518974,-5.40587
1582683830096,3.2995133,-6.9775753,-5.91992
1582683830147,3.2992742,-6.519842,-6.3828444
1582683830196,3.2249818,-6.074833,-6.909858
1582683830246,3.426102,-5.8142467,-7.1248116
1582683830297,3.4870207,-5.2344174,-7.216982
1582683830347,3.679928,-4.8683076,-7.520921
1582683830396,3.723374,-4.583763,-7.686796
1582683830446,3.8737411,-4.304331,-7.6925344
1582683830496,3.9996529,-4.280448,-7.7984037
1582683830546,4.0011463,-4.3039203,-7.8717175
1582683830596,4.0609818,-4.1582217,-8.014137
1582683830646,4.0826683,-4.0716853,-7.9389987
1582683830697,4.1627393,-4.042764,-7.925193
