Time,accX,accY,accZ
1582685750171,-2.8346903,-8.877107,3.4224167
1582685750221,-2.6151283,-9.744348,1.3281739
1582685750271,-2.8013139,-11.05259,-1.4385892
1582685750321,-4.2922845,-10.688159,-2.8253746
1582685750371,-5.550628,-9.684356,-3.1107414
1582685750421,-6.5886464,-7.884802,-2.3097694
1582685750471,-7.048552,-7.110089,-1.4159636
1582685750522,-6.7339473,-6.0229397,-0.6413047
1582685750572,-6.604764,-5.386303,-0.21638763
1582685750622,-6.415731,-4.935236,0.61786646
1582685750671,-6.4430094,-4.6351485,0.724506
1582685750721,-6.728402,-4.780868,0.58014643
1582685750772,-7.272698,-4.840357,0.4564884
1582685750821,-7.67882,-4.8880467,0.66048324
1582685750871,-7.957615,-4.8972125,0.7890145
1582685750922,-8.081979,-5.1298203,0.61663324
1582685750971,-8.091984,-4.988145,0.4681393
1582685751021,-8.08187,-4.9207883,0.6845106
1582685751071,-7.9919744,-4.8371906,0.87727106
1582685751122,-7.8236136,-4.719112,0.83463573
1582685751172,-7.9909186,-4.7800055,0.34516105
1582685751221,-8.100996,-4.8669496,-0.16598268
1582685751271,-7.997034,-4.9569235,0.6905166
1582685751322,-7.587843,-5.407289,1.1258887
1582685751371,-6.8288336,-5.5432267,1.8724358
1582685751421,-6.414266,-5.792207,3.3337688
1582685751471,-6.121102,-5.54353,2.6419628
1582685751522,-6.2810144,-4.882777,0.26999748
1582685751572,-6.2444515,-4.636264,-2.1809225
1582685751621,-5.48038,-4.6335535,-2.0614567
1582685751671,-4.0423455,-7.025437,-0.50941604
1582685751721,-4.563548,-16.83128,1.552077
1582685751771,-5.560009,-15.044588,2.4055634
1582685751821,-2.1907005,-8.076648,0.67090625
1582685751871,-3.7606313,-9.014144,1.7961158
1582685751921,-2.6939669,-8.9712305,3.3480368
1582685751972,-2.38642,-9.194687,2.9388063
1582685752022,-2.808123,-8.651066,3.0947812
1582685752071,-2.7239432,-8.821684,3.0665104
1582685752122,-2.5993462,-8.773473,2.8220727
1582685752171,-2.640792,-8.949494,2.9093041
1582685752221,-2.5780299,-8.883171,3.0867379
1582685752272,-2.6015968,-8.573909,3.6187568
1582685752321,-2.6479933,-8.201042,4.247746
1582685752372,-2.5882394,-8.081111,4.669181
1582685752421,-2.772375,-7.7129993,5.0279417
1582685752472,-2.773387,-7.4019647,5.4080753
1582685752521,-2.7991605,-7.145672,5.650246
1582685752571,-2.8567746,-7.1729507,5.6025352
1582685752621,-2.7720761,-7.2877507,5.514206
1582685752671,-2.68549,-7.4711204,5.530764
1582685752721,-2.6417267,-7.476246,5.6135416
1582685752771,-2.6122744,-7.354541,5.698178
1582685752821,-2.6247814,-7.256993,5.7599077
1582685752871,-2.535989,-7.250922,5.8964453
1582685752921,-2.5527875,-7.1525126,5.9892926
1582685752972,-2.5228906,-7.12502,5.954429
1582685753022,-2.4809341,-7.13928,6.021097
1582685753072,-2.4263992,-7.106896,6.0753613
1582685753121,-2.4335027,-7.0323963,6.153057
1582685753171,-2.4291415,-6.9983587,6.1777563
1582685753222,-2.3660007,-6.9847517,6.2500377
1582685753272,-2.3507268,-6.961296,6.306183
1582685753322,-2.3227215,-6.9304714,6.2791553
1582685753372,-2.3123083,-6.956722,6.3230624
1582685753421,-2.2920556,-6.996209,6.299648
1582685753472,-2.2899506,-6.953459,6.219267
1582685753521,-2.2682962,-6.991453,6.2692237
1582685753572,-2.2699418,-6.9811764,6.2669706
1582685753621,-2.2365396,-7.1279187,6.173368
1582685753672,-2.2199996,-7.150051,6.1566586
1582685753721,-2.2060158,-7.194417,6.0422463
1582685753772,-2.2184386,-7.210173,6.0632463
1582685753821,-2.232963,-7.1995707,6.03714
1582685753872,-2.231977,-7.2363667,5.9547606
1582685753921,-2.2571926,-7.2373548,5.9425945
1582685753972,-2.2246563,-7.401345,5.852664
1582685754021,-2.215786,-7.444918,5.764644
1582685754072,-2.234719,-7.4292717,5.720233
