Time,rotX,rotY,rotZosboxe
1582683962922,0.0069220606,-0.0046327496,0.051368747
1582683962971,0.007353836,-0.0055715013,0.037469927
1582683963022,-0.008659846,-0.009718146,0.03194336
1582683963072,-0.03778963,-0.009005472,0.04906004
1582683963122,-0.063897155,5.4606702E-5,0.054428704
1582683963172,-0.035048567,-0.0021124845,0.043380793
1582683963221,-0.0064123357,-0.009777775,0.049110644
1582683963271,-0.01844016,-0.0038120467,0.058307312
1582683963322,-0.023281135,-2.2887066E-4,0.05108429
1582683963371,-0.012735291,-0.008623358,0.04306625
1582683963421,-0.01946145,-0.015768949,0.047936007
1582683963472,-0.03263441,-0.013210833,0.043687977
1582683963522,-0.008564333,-0.010772074,0.02640723
1582683963572,-0.005209731,-0.009957749,0.036048505
1582683963621,0.0015142392,-0.007584855,0.03931181
1582683963672,0.0055211643,-0.007824358,0.03612699
1582683963721,0.015116344,-0.008894414,0.029995974
1582683963772,0.018867455,-0.0030183848,0.01904308
1582683963821,0.02498908,-0.001984574,0.016169548
1582683963871,0.007529926,-0.0035458468,0.020130862
1582683963922,-0.0028707385,2.4818815E-4,0.018233843
1582683963972,-0.0010068899,0.005503279,0.013126665
1582683964021,-0.006760792,0.0035540469,0.013841082
1582683964071,-0.0061836564,0.0017311433,0.0144774215
1582683964122,-0.0029260488,6.9224974E-4,-8.0506457E-4
1582683964172,0.004965159,0.0018246192,-0.0048520034
1582683964221,0.002793895,0.005330923,-1.720665E-4
1582683964272,0.011549981,0.005893463,0.0051905494
1582683964321,0.0035825055,0.0028222501,0.0035437308
1582683964371,0.011773163,0.003972654,0.004337621
1582683964421,0.009466793,0.004112931,0.008814769
1582683964472,-7.189453E-4,0.0027873223,0.007501523
1582683964521,0.0068633794,4.9832836E-4,0.013510195
1582683964571,0.020961499,-0.0030872654,0.016258266
1582683964621,0.025766345,-0.002713113,0.013107539
1582683964671,0.04251502,-0.0092498325,0.014340703
1582683964722,0.05624545,-0.0139645375,0.004649046
1582683964771,0.04692369,-0.0062260143,0.009965691
1582683964822,0.0072396323,9.7577367E-4,0.01607718
1582683964871,-0.009771623,0.0038125794,-0.0019245064
1582683964921,-0.0022374904,0.0028222501,0.0037603555
1582683964971,-0.010630302,0.0040470604,-0.007948316
1582683965021,0.005772068,0.012074241,-0.06288538
1582683965072,0.032868434,0.02518725,-0.13313857
1582683965122,0.0439078,0.0241101,-0.14970471
1582683965171,0.038308647,0.04086493,-0.04088065
1582683965222,-0.059055522,0.06923914,0.08974069
1582683965271,-0.16588283,0.043695092,0.10973696
1582683965321,-0.02620472,0.0017718938,0.025465325
1582683965371,0.16861266,-0.042830683,-0.017722081
1582683965422,0.14877763,-0.09633826,0.046528198
1582683965471,-0.09335352,-0.11930929,0.2167786
1582683965521,-0.57468826,-0.17913592,0.6180437
1582683965571,-1.0279355,-0.20359433,1.1688362
1582683965622,-0.6281457,0.027255666,1.3079997
1582683965671,-0.1375511,0.18913905,0.8726597
1582683965721,0.045403972,0.18528165,0.49907905
1582683965772,0.5050665,0.18477039,0.35768902
1582683965822,0.85483444,0.26139048,0.067803286
1582683965871,1.1987234,0.25176054,-0.12493957
1582683965922,2.8803961,0.64019734,-0.44067878
