Time,rotX,rotY,rotZosboxe
1582685102922,-2.8552866,-2.6829,-1.7757055
1582685102972,-2.247493,-2.7347806,-3.4621823
1582685103021,-1.8113576,-3.7914875,-4.495547
1582685103071,-3.1017199,-4.0999517,-4.218095
1582685103121,-0.44149345,-3.0844886,-3.2905116
1582685103172,0.47057095,-2.839719,-2.2891898
1582685103222,0.06926739,-1.7193164,-1.1111785
1582685103271,-2.3941844,-0.955857,-0.76840544
1582685103322,3.0761766,-1.5386786,-0.068278074
1582685103371,4.1479254,1.3755063,0.4864177
1582685103422,1.9635689,0.6830432,-0.1753623
1582685103471,0.25569966,0.23223203,-0.54267955
1582685103522,-1.5911081,-0.41206062,-0.356059
1582685103571,-1.623834,-0.80024296,-0.021553982
1582685103621,-2.4050076,0.6728355,0.29781237
1582685103672,-0.99724185,-0.4319728,-0.5620898
1582685103721,0.6596538,-0.09291526,-0.068915196
1582685103772,0.8755134,0.15728992,-0.013610203
1582685103822,0.4079571,0.01471921,-0.11235139
1582685103871,0.12268912,0.061261363,-0.073171414
1582685103922,0.1353386,0.14324214,-0.002134562
1582685103972,0.2963543,0.05519337,-0.033946544
1582685104021,0.28471202,0.057234865,-0.055962566
1582685104072,0.1521168,0.02150574,-0.018683473
1582685104121,0.01174046,-0.0345409,-0.004874753
1582685104171,0.012125724,0.0051941546,-0.007825942
1582685104222,0.07323773,-0.03741204,-0.013004284
1582685104271,0.05706331,-0.09172846,-0.009150645
1582685104321,0.0024079941,-0.070732065,8.011735E-4
1582685104372,-0.007046376,-0.040501125,-0.014495296
1582685104422,0.028273048,0.020337645,-0.024490392
1582685104471,0.059966154,0.011273519,-0.009622441
1582685104521,0.033673298,0.022788215,0.004265634
1582685104571,0.0066913045,0.019234866,-0.007037025
1582685104621,0.017866265,0.009451716,-0.012804339
1582685104672,0.040949967,-0.0065872194,-0.009176578
1582685104721,0.0326332,-0.023966718,-0.001068482
1582685104772,0.008482419,-0.010736416,-0.0029209338
1582685104821,0.001642388,0.0025614463,-0.0064460165
1582685104871,0.011339963,0.002177394,-0.0068735173
1582685104922,0.014588079,-0.014974468,-0.008208557
1582685104971,0.024556283,-0.031439494,-0.008890942
1582685105022,0.024576616,0.008293661,-0.007968248
1582685105072,0.040748786,0.01906116,-0.003481347
1582685105122,0.03563255,-0.0049648164,0.00535183
1582685105172,0.003593368,0.011053901,0.0020121955
1582685105221,0.002755188,0.0014987066,-0.0059980415
1582685105272,0.022184474,0.008648311,-0.0034225835
1582685105321,0.037024815,-0.0061354684,-8.457964E-4
1582685105371,0.020005876,-0.0072131064,0.001075732
1582685105422,-0.0011663657,0.010712458,-0.0012126728
